mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
19.93283,31.304857,26.651423,18.241112,0.0,0.0
20.04791,29.992294,25.517187,19.10346,0.0,0.0
20.178614,27.165533,26.969543,22.477076,0.0,0.0
19.476557,26.49443,28.596628,19.91929,0.0,0.0
18.445961,26.917862,28.136,16.92452,0.0,0.0
17.85494,27.64769,24.103502,15.019763,0.0,0.0
18.599005,28.198631,23.617111,14.068738,0.0,0.0
19.556776,27.009125,23.075226,14.115085,0.0,0.0
20.348131,28.652758,24.70794,11.671127,0.0,0.0
19.434502,27.673706,23.888994,12.691545,0.0,0.0
18.661108,28.193453,25.301413,13.422704,0.0,0.0
18.049536,27.278427,25.807732,19.113497,0.0,0.0
17.694677,28.047981,24.570175,17.55364,0.0,0.0
17.851212,28.601309,24.061989,16.079515,0.0,0.0
17.343338,28.967964,21.7349,10.918892,0.0,0.0
17.817562,30.268883,21.917028,12.320221,0.0,0.0
17.880537,30.159248,22.138186,14.712735,0.0,0.0
18.342997,29.105272,21.660349,13.5860405,0.0,0.0
18.162252,27.706205,21.50649,11.759419,0.0,0.0
17.530533,26.076063,19.563576,10.414389,0.0,0.0
17.272028,29.103643,23.987762,14.447723,0.0,0.0
17.652876,28.653877,23.704157,15.572098,0.0,0.0
20.244913,30.292784,24.430334,16.271917,0.0,0.0
20.835943,29.348215,23.255539,15.3992,0.0,0.0
20.322859,28.680025,23.99648,16.118086,0.0,0.0
20.626892,30.738016,25.125021,17.029758,0.0,0.0
20.170181,30.34617,23.514582,14.789543,0.0,0.0
20.39395,30.545235,24.52073,14.009143,0.0,0.0
18.364172,27.765131,23.892393,12.756877,0.0,0.0
18.337103,26.469912,23.459137,14.160748,0.0,0.0
18.126497,27.853407,21.985458,11.840682,0.0,0.0
19.392939,31.26063,22.52323,9.446747,0.0,0.0
20.656088,31.689417,22.56054,7.409378,0.0,0.0
21.958725,31.404379,22.245316,9.831745,0.0,0.0
20.369421,28.362694,21.513489,15.127541,0.0,0.0
20.603952,29.691689,20.28577,15.356187,0.0,0.0
20.017862,30.715174,22.869766,16.375525,0.0,0.0
20.235685,29.740728,26.27201,17.948637,0.0,0.0
18.740698,27.712488,30.289795,20.391169,0.0,0.0
19.33961,27.83806,29.365517,17.581324,24.354488,0.0
19.811537,28.86912,27.168495,13.239117,22.090242,0.1766962
20.095587,28.824324,26.014635,13.274048,19.872866,0.1766962
18.383808,27.370094,25.572908,15.499153,17.65959,0.0
19.589388,30.305395,26.112627,13.028157,0.0,0.0
20.299223,30.771751,23.478989,8.785167,0.0,0.0
21.77635,32.00048,22.914675,7.1746483,0.0,0.0
20.3111,29.973715,20.909569,11.7615,0.0,0.0
20.246878,31.304382,21.289984,13.874013,0.0,0.0
20.264448,30.791603,24.006006,14.086639,0.0,0.0
19.586777,30.029999,25.797022,12.528504,0.0,0.0
20.259338,29.148315,26.464705,12.78762,0.0,0.0
19.98438,28.608107,24.257477,14.3259325,0.0,0.0
20.962608,28.08036,22.47629,15.577394,0.0,0.0
19.50326,28.726126,22.989885,16.445093,0.0,0.0
18.823984,29.434723,22.154108,12.014922,0.0,0.0
18.953451,30.813942,21.874266,9.718724,0.0,0.0
19.39221,29.987799,21.56244,9.087262,0.0,0.0
19.60996,30.115446,24.28858,15.7668495,0.0,0.0
19.999832,30.236357,26.135843,16.706892,0.0,0.0
21.44468,32.40637,25.565002,17.082888,0.0,0.0
21.416792,33.499638,21.181236,10.73771,0.0,0.0
22.122396,33.127155,18.55199,11.255254,0.0,0.0
20.946047,30.832125,18.591612,11.349082,0.0,0.0
21.263067,29.731773,19.509205,14.217857,0.0,0.0
20.391531,30.896896,20.166435,14.407917,0.0,0.0
20.158407,30.582567,20.359697,14.100116,0.0,0.0
20.404703,30.598442,22.775436,15.375125,0.0,0.0
20.595407,29.73496,23.806047,13.250466,0.0,0.0
20.395409,30.59923,24.922018,13.284677,0.0,0.0
20.291353,30.84635,23.406347,14.129003,0.0,0.0
20.818632,33.029938,25.347956,16.571083,0.0,0.0
21.744232,36.066612,24.415596,15.241402,0.0,0.0
21.51262,35.004467,24.587029,13.11262,0.0,0.0
20.264357,32.90726,23.426706,13.443257,0.0,0.0
18.875465,30.103241,23.278536,16.346785,0.0,0.0
19.069242,31.261652,24.315058,16.44577,0.0,0.0
18.262573,28.779322,22.819946,15.90252,0.0,0.0
17.21694,28.851608,24.799204,14.896774,0.0,0.0
15.372809,26.138388,23.458033,16.365541,0.0,0.0
16.088547,27.238691,22.422651,13.777,0.0,0.0
16.634363,25.6261,20.277412,12.96154,0.0,0.0
17.20302,27.440107,22.229166,12.738244,0.0,0.0
16.24608,26.958511,24.406454,14.148903,0.0,0.0
17.051575,28.935629,25.176445,13.164708,0.0,0.0
16.960014,29.3443,24.203217,12.717502,0.0,0.0
16.323347,29.350088,21.15454,10.007325,0.0,0.0
15.184016,28.008097,21.964548,12.042461,0.0,0.0
14.627782,25.515427,23.134424,10.335074,0.0,0.0
12.972755,22.869593,30.45415,10.620101,38.79035,0.0
13.309625,18.795963,32.06954,6.406406,38.55561,0.0
15.938458,17.60256,32.463245,-0.5182524,38.10072,0.0
20.421799,18.022995,27.260305,-6.230743,37.802963,0.0
20.964201,22.633944,21.326193,-12.361852,0.0,0.0
20.045954,25.269266,13.568147,-12.230873,0.0,0.0
19.563204,28.9823,8.051899,-12.042962,0.0,0.0
17.047636,28.152624,4.500215,-5.394945,0.0,0.0
11.713974,30.436682,-0.35791078,0.67091227,0.0,0.0
4.13887,30.67749,-4.56728,7.2323737,0.0,0.0
-1.2818781,33.046825,-5.274797,7.9260077,0.0,0.0
-4.4051423,33.11493,0.71591234,9.540132,40.56842,0.0
-2.21636,33.752827,4.8388286,6.896321,40.513058,0.0
4.608719,31.296913,2.2367733,2.315138,40.389164,0.0625907
13.202502,28.002512,-3.0136583,-8.395192,40.23547,0.048627328
20.172335,25.03682,-7.0728374,-16.639465,40.03245,0.023992203
25.687555,25.6878,-6.2017646,-23.95056,39.787506,0.008730075
29.46121,23.894518,-8.707513,-24.560678,39.013783,0.0033081563
32.118214,24.224092,-7.8346887,-23.452452,38.33424,0.0044348114
32.763386,22.780182,-8.195396,-19.658968,37.707558,0.014234756
33.53449,25.613806,-4.307444,-17.359724,37.627224,0.022188814
34.20004,26.955133,-2.3506637,-15.327133,37.406223,0.025247084
34.42072,28.488432,-2.7282057,-18.143358,37.193737,0.02215144
34.11255,26.131035,-5.6359534,-20.963263,36.95293,0.015779011
33.822464,24.964188,-7.546804,-22.040815,36.818745,0.025620876
33.98389,23.429947,-7.2452965,-20.077646,36.744793,0.034339726
33.917435,22.704935,-5.9160085,-15.776908,36.733593,0.036415312
35.35556,17.898243,-11.065448,-14.966591,36.731884,0.028448815
34.964417,9.4757805,-14.625705,-17.427042,36.700596,0.023955474
