mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
18.850216,25.590708,16.541636,13.686127,0.0,0.0
20.489302,27.85733,17.596445,12.1919775,0.0,0.0
22.58313,28.803377,15.010343,10.027832,0.0,0.0
22.452223,30.64283,17.769526,11.802999,0.0,0.0
21.247833,28.843222,17.886452,14.183604,0.0,0.0
20.344124,29.615532,19.423084,12.611642,0.0,0.0
21.06851,30.176645,17.967863,9.656248,0.0,0.0
23.22196,32.382748,16.417648,6.2810082,0.0,0.0
24.573156,34.50221,17.586113,7.687187,0.0,0.0
24.38801,33.691753,19.769205,12.022671,0.0,0.0
23.810919,33.495876,19.832388,12.810061,0.0,0.0
21.761423,30.582169,19.041006,15.217656,0.0,0.0
23.03408,32.77733,20.061117,14.948624,0.0,0.0
22.984747,31.488306,18.99901,15.647586,0.0,0.0
23.95102,31.406311,22.168707,17.56291,0.0,0.0
22.191772,30.479818,22.090387,17.410822,0.0,0.0
20.70668,31.563375,23.319399,17.739185,0.0,0.0
20.754265,33.32092,22.306427,15.96454,0.0,0.0
21.144747,31.606293,22.014038,14.890519,0.0,0.0
21.863304,32.019573,24.304884,13.746212,0.0,0.0
22.30453,32.44634,24.112627,14.360367,0.0,0.0
21.63259,32.774185,22.534203,13.286006,0.0,0.0
20.435781,29.12945,17.261263,12.700042,0.0,0.0
19.692432,26.344786,13.92344,7.466947,0.0,0.0
20.866976,27.952608,13.843463,8.061576,0.0,0.0
21.921751,29.433424,14.976589,8.606711,0.0,0.0
21.92227,29.766993,15.593972,10.756732,0.0,0.0
21.082514,27.961313,13.195328,11.478622,0.0,0.0
21.365866,27.95253,15.858081,12.089725,0.0,0.0
20.746832,27.914566,17.522863,15.08224,0.0,0.0
21.207993,30.020586,19.206614,13.495236,0.0,0.0
20.034063,30.407732,17.194696,14.434814,0.0,0.0
18.597862,31.912445,17.18673,11.255867,0.0,0.0
15.434654,31.161888,18.250742,11.761887,0.0,0.0
14.184806,31.84258,20.108492,12.870857,0.0,0.0
15.163151,31.022308,20.836084,12.272564,0.0,0.0
17.262907,29.045166,19.24791,11.717557,0.0,0.0
15.493076,22.234222,22.8497,9.49323,0.0,0.0
13.858434,16.74022,21.979094,6.6331916,0.0,0.0
14.358111,13.973892,24.203428,5.9863906,0.0,0.0
17.70271,15.414471,18.565939,3.618121,0.0,0.0
21.99043,17.48131,15.5367,3.676088,0.0,0.0
25.111563,16.315638,7.782088,-1.0686077,0.0,0.0
27.8038,10.346253,1.3635851,-1.9446602,0.0,0.0
29.201796,4.050217,-1.8135362,-2.8935318,27.701036,0.0
29.553213,-1.0225171,-2.66145,-2.675047,27.752542,0.0
30.223997,-1.8873054,-2.071767,-6.0909295,27.894777,0.0
31.244776,-4.253685,-2.2380521,-6.1062627,28.08207,0.011549724
31.297628,-8.120559,-2.568909,-6.1047554,28.282946,0.007947746
32.672596,-8.23422,-3.3228397,-0.63806134,28.429688,0.009271006
32.64945,-7.467548,-4.293796,2.3011456,28.4897,0.0071485317
33.398617,-4.499617,-4.353832,7.6549096,28.493902,0.009094986
33.54001,-2.4108632,-3.0506966,6.806681,28.462889,0.007105936
35.49519,0.54119605,-1.6829938,6.660341,28.375498,0.0037302652
38.37158,4.1709566,-0.52838445,4.9650474,28.206533,0.0018627128
40.91147,9.435995,2.3738782,1.8841366,27.982294,0.0023966332
41.662792,13.809155,3.0190303,-2.7205794,27.78084,0.003584234
41.847694,18.538548,2.193636,-8.998569,27.655106,0.008629211
41.36505,20.299862,-1.4823302,-13.866929,27.73909,0.007852384
40.21445,22.412012,-1.6364836,-14.661174,27.753717,0.008933687
37.404568,22.366323,-0.9994747,-12.691551,27.700834,0.004538626
35.336567,21.367647,1.9826897,-8.90227,27.528198,0.005626825
34.18538,19.802452,1.3504515,-8.569762,27.494858,0.009006362
35.54069,18.024582,2.395579,-11.974521,27.575544,0.01728482
36.273388,17.395437,-0.46407065,-17.943874,27.667282,0.019621914
36.428013,14.692571,-3.9106903,-26.213758,27.751053,0.014951191
34.341213,10.361782,-10.48309,-37.823254,27.842012,0.0070150476
33.418125,7.0091596,-14.911267,-43.350086,27.964989,0.005635304
33.38298,3.5210989,-17.233011,-42.223434,28.1048,0.004744627
34.152786,-0.08821583,-15.341441,-33.359722,28.249039,0.004264724
34.77695,-4.7007127,-11.974141,-23.618502,28.463852,0.0053770784
34.336124,-6.5515857,-6.0912623,-14.047254,28.729204,0.007729906
36.634983,-4.382575,-2.662287,-4.619908,28.947794,0.009351457
37.30618,-1.1530968,1.9149112,3.2493773,29.050604,0.011625975
38.83905,2.2342684,1.2750474,5.911915,29.050522,0.013204493
38.535656,7.07238,3.176937,7.8825874,29.027327,0.021990627
39.860218,10.345164,1.3208537,6.8210387,28.941172,0.028743269
40.366577,13.779849,3.9138916,8.839749,28.801981,0.03202172
40.377728,15.525445,8.679205,9.465492,28.558601,0.021820538
39.28998,17.277168,14.203868,8.637768,28.405813,0.012264558
36.934498,15.992892,17.855295,9.967026,28.39389,0.008177959
32.920223,9.309072,17.41979,11.271621,28.587091,0.008089353
30.950686,1.3698686,14.643451,16.256378,28.76953,0.007127399
30.800865,-5.967711,11.411387,19.431528,28.866028,0.006418576
32.816227,-7.6923776,5.5472417,21.668016,28.898668,0.012272254
35.124058,-6.0712457,0.13703711,18.767004,28.876032,0.014649685
37.93781,-1.3146213,-2.395582,14.7021055,28.786566,0.014869399
40.197376,2.7356071,1.7640783,10.116196,28.725225,0.012087993
41.214962,6.858278,5.1162076,4.3892803,0.0,0.0
40.981777,9.912562,6.9992776,-2.9870777,0.0,0.0
41.28977,13.34547,3.0610387,-10.544494,0.0,0.0
39.615494,14.322197,2.5538237,-11.839894,27.084623,0.0
37.284668,14.194974,1.9412512,-16.292816,27.12887,0.03909153
35.334263,13.501511,4.3296256,-21.08303,27.211561,0.040604107
34.50404,10.936833,5.253638,-28.419716,27.231562,0.047539543
34.0709,6.598747,2.6068895,-28.164804,27.225815,0.027679749
31.498838,-1.2294897,-0.8583348,-27.115522,27.222067,0.019704996
28.265867,-7.5633082,-3.378373,-22.319662,0.0,0.0
25.99502,-10.362137,-0.32237482,-19.789608,0.0,0.0
26.92414,-6.7624497,2.5228639,-15.556305,0.0,0.0
29.676483,-0.47889948,6.4701295,-14.098633,0.0,0.0
32.733875,5.4177394,8.294214,-15.855084,0.0,0.0
32.93172,7.8681855,6.0525146,-17.774126,0.0,0.0
33.928886,11.732053,5.0321975,-15.293984,0.0,0.0
33.876003,13.700272,2.9403193,-9.063637,0.0,0.0
33.975098,16.289986,5.543182,-4.3521385,0.0,0.0
31.584059,17.973455,4.514162,-6.038015,0.0,0.0
29.19574,20.534037,4.431243,-7.2419534,0.0,0.0
26.985678,23.14831,6.566217,-5.8053837,0.0,0.0
25.702911,23.442007,10.1425085,-0.7467893,0.0,0.0
23.09916,21.348639,15.396031,0.8793287,0.0,0.0
21.544426,16.687798,17.396393,5.448187,0.0,0.0
21.074005,10.25758,18.677729,5.9514184,26.674164,0.0
22.352873,4.3881392,18.891235,5.8607526,26.619308,0.0
22.814926,1.4405092,21.220041,0.23206346,26.530869,0.0
22.91643,-0.15415807,22.609617,-1.3745428,26.474192,0.011922563
23.366282,-0.57574683,23.059235,-1.5581017,26.435434,0.009947921
23.013346,-1.4588886,21.887045,-0.7703169,26.367119,0.004339413
22.955153,-2.2233865,20.162756,0.5400521,26.278082,0.003209376
24.20607,-2.0665636,18.904242,2.0248845,26.20162,0.0019998038
25.368683,0.6722059,17.634491,0.46944347,26.188639,0.004354645
22.893373,6.730272,14.981904,-4.9357243,26.191841,0.0058099288
15.901036,15.068385,8.890751,-9.658836,0.0,0.0
8.606907,21.430445,2.9703171,-8.299771,0.0,0.0
2.582253,26.223845,3.9078615,0.95921963,0.0,0.0
0.51437503,28.70823,5.904036,9.121858,0.0,0.0
-0.52898777,29.908773,5.8845143,12.412229,0.0,0.0
-1.2384592,28.868063,3.527853,9.94518,0.0,0.0
-1.5644082,29.44932,3.3777783,7.3683314,0.0,0.0
-1.0768285,31.376238,7.106238,6.762573,0.0,0.0
-0.45973387,32.82713,3.3138478,2.7424593,0.0,0.0
-1.0431353,33.359882,3.3450682,3.3012927,0.0,0.0
-1.3765806,33.47488,2.6898718,4.008806,0.0,0.0
-1.0729752,34.20204,8.522782,5.72933,0.0,0.0
3.157183,33.16515,9.991459,5.324232,0.0,0.0
6.773727,30.37395,10.147164,3.2980845,0.0,0.0
11.160003,26.923904,11.458203,4.1092434,0.0,0.0
13.447655,23.65876,13.97125,4.2870345,0.0,0.0
16.400927,22.860357,15.512921,4.985659,0.0,0.0
20.12332,24.364737,13.697403,2.7362092,0.0,0.0
20.898642,23.973127,10.331551,2.1158679,0.0,0.0
22.157335,23.687551,8.101563,2.186746,0.0,0.0
21.491438,21.391129,11.938954,6.3437943,0.0,0.0
22.063475,21.21427,17.646078,6.6590557,0.0,0.0
19.87986,13.694652,25.64958,6.3665624,0.0,0.0
18.385069,7.219362,30.23404,2.5929427,0.0,0.0
17.388731,2.2179945,31.854097,2.2730978,0.0,0.0
18.037207,0.2937924,34.600903,2.0117617,0.0,0.0
19.05437,-0.0952773,36.04703,2.4525535,0.0,0.0
20.782288,-1.8495106,37.677017,5.0084224,0.0,0.0
20.22056,-2.250843,34.129135,4.921015,0.0,0.0
20.08699,-3.9337108,30.676962,2.200905,0.0,0.0
18.641851,-1.754477,28.7366,-4.042195,0.0,0.0
17.52445,3.905569,27.510008,-3.7353766,0.0,0.0
14.903674,11.774035,24.093481,-2.8902194,0.0,0.0
11.342182,20.160421,18.076202,1.3587035,0.0,0.0
9.862586,27.543135,11.979153,2.5560763,0.0,0.0
9.378783,31.518324,10.270531,7.2494884,0.0,0.0
10.607112,32.50477,13.00774,10.256062,24.73523,0.0
14.338225,29.91012,13.619983,11.738147,24.766708,0.0
18.43175,25.22859,11.881218,7.963185,24.823536,0.0
23.700918,16.950523,9.972481,3.033496,0.0,0.0
26.814737,9.683405,10.368838,-1.2029809,0.0,0.0
29.923233,7.4448924,11.185048,-0.32137,0.0,0.0
31.0811,7.865336,10.605062,0.6667482,0.0,0.0
32.66417,11.133954,8.981368,2.6923904,0.0,0.0
33.10616,15.187282,11.310528,5.271709,0.0,0.0
33.500233,19.26324,11.378826,6.7586875,0.0,0.0
32.8764,23.096304,15.3231125,8.366774,0.0,0.0
30.879074,23.726648,12.758542,6.8595185,0.0,0.0
29.88868,26.703787,14.538465,7.892942,0.0,0.0
28.72706,29.093851,13.157508,8.068969,0.0,0.0
28.539595,31.514746,14.460977,7.302607,0.0,0.0
27.342371,31.182495,15.181155,8.300418,0.0,0.0
24.566229,27.27802,15.030575,9.250847,0.0,0.0
23.168863,25.373442,17.94288,13.715379,0.0,0.0
22.873789,16.363035,14.227348,12.600734,0.0,0.0
25.785254,6.7743607,9.8024845,5.6073494,0.0,0.0
27.586884,-4.2178144,3.1219864,-3.69094,0.0,0.0
28.794134,-8.229781,-2.0867174,-12.121117,0.0,0.0
27.584772,-9.254624,-1.4270864,-12.796356,0.0,0.0
25.45909,-11.765796,-2.436026,-15.778362,0.0,0.0
22.003885,-14.0257635,-0.51620585,-17.350132,0.0,0.0
20.99209,-15.809949,-0.2391851,-20.081709,0.0,0.0
19.967283,-16.3702,0.53824085,-18.147446,0.0,0.0
20.35692,-18.186342,-1.1711401,-18.90862,0.0,0.0
19.188814,-17.909136,-2.8850105,-18.85574,0.0,0.0
18.286182,-19.30548,-5.161782,-19.51713,0.0,0.0
18.81291,-18.425028,-4.2515144,-16.451649,0.0,0.0
20.327501,-17.393866,-5.6349335,-17.737831,0.0,0.0
24.113205,-15.184986,-5.7588515,-18.987574,0.0,0.0
25.892122,-12.220851,-3.8136961,-18.66468,0.0,0.0
27.409586,-10.937539,-4.4944253,-20.483953,0.0,0.0
27.14984,-7.828285,-7.1852727,-21.360891,0.0,0.0
27.67069,-2.8282337,-5.248966,-23.97375,0.0,0.0
27.05121,1.3731264,-2.1337547,-23.711374,0.0,0.0
27.620596,5.800039,4.4249377,-24.91903,0.0,0.0
28.325708,6.778298,3.4150283,-27.459785,0.0,0.0
28.609488,9.588268,6.5726776,-29.431137,0.0,0.0
28.272345,9.933506,6.001735,-29.44017,0.0,0.0
27.895021,11.424212,3.7795954,-31.569998,0.0,0.0
29.034857,14.215549,0.34248105,-30.137512,0.0,0.0
29.583174,17.69753,-0.22428648,-30.37149,0.0,0.0
30.096151,20.969358,-0.7213226,-26.938929,0.0,0.0
29.522614,21.90788,0.4657162,-24.138962,0.0,0.0
28.390009,21.553614,-2.095337,-20.291338,0.0,0.0
26.093964,19.407923,-2.1083672,-13.847069,0.0,0.0
24.540426,18.349396,-0.118639946,-6.010813,0.0,0.0
24.681341,21.502075,4.787824,0.22439563,0.0,0.0
23.917864,24.042252,7.542475,1.0416142,0.0,0.0
24.343903,26.68653,8.469697,1.6007954,0.0,0.0
23.695108,28.624878,10.267361,3.8440788,0.0,0.0
22.870977,29.322226,13.112241,7.8861446,0.0,0.0
22.000809,31.017403,13.970627,10.2132845,0.0,0.0
21.065077,28.979927,14.379376,11.539042,0.0,0.0
21.224815,30.977646,15.882808,12.688624,0.0,0.0
17.359766,25.301376,19.09764,10.698124,0.0,0.0
9.508653,26.596704,19.187073,10.353547,0.0,0.0
1.794879,26.580725,14.569298,8.321408,0.0,0.0
-3.9918814,31.234575,8.901782,9.1205435,0.0,0.0
-6.266992,30.093948,5.122923,8.977051,0.0,0.0
-8.952378,29.867937,8.161466,4.635937,0.0,0.0
-9.400734,29.73472,9.931783,1.4078504,0.0,0.0
-8.693238,30.088854,11.7491455,-1.2703537,0.0,0.0
-7.317804,28.776022,11.887023,0.21028788,0.0,0.0
-7.7577147,26.594141,12.457931,-0.38505062,0.0,0.0
-7.111672,25.150793,13.357872,-1.0243362,0.0,0.0
-6.144276,24.915604,14.566605,-1.4380555,0.0,0.0
-6.6315484,24.134666,12.762111,-2.6192582,0.0,0.0
-5.3766427,24.425615,12.677933,-6.476,0.0,0.0
-3.731119,23.687235,11.237805,-9.793221,0.0,0.0
1.2461749,23.408707,11.819382,-9.713001,0.0,0.0
4.226812,22.211777,12.476432,-9.0348625,0.0,0.0
7.1952095,20.647867,14.196065,-6.5445495,0.0,0.0
10.475004,20.241035,13.543958,-4.223161,0.0,0.0
13.907908,19.021347,13.2433195,-0.87098026,0.0,0.0
16.999763,17.48409,10.716927,-0.9585986,0.0,0.0
19.183584,16.546888,11.747647,-0.30357862,0.0,0.0
20.691767,17.27981,9.656217,-0.635788,0.0,0.0
20.762985,18.327051,7.40218,1.8643783,0.0,0.0
20.622263,18.154877,4.640214,1.7753738,0.0,0.0
20.323675,18.077627,4.374918,3.0565178,0.0,0.0
22.349463,19.70418,5.610295,4.9417496,0.0,0.0
22.972223,22.411772,5.8207664,5.587303,0.0,0.0
23.819397,24.92457,7.63875,8.033183,0.0,0.0
23.632904,25.778944,9.560013,8.994515,0.0,0.0
