mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
23.352448,27.62195,12.789468,8.905341,0.0,0.0
21.435099,27.795515,16.597872,10.485237,0.0,0.0
20.465672,26.907547,19.033728,11.941643,0.0,0.0
21.447348,28.51298,18.163858,11.667771,0.0,0.0
21.908491,27.742159,13.796116,7.4039054,0.0,0.0
21.546066,26.61158,11.431226,6.319271,0.0,0.0
21.395004,24.194006,10.780289,5.780062,0.0,0.0
23.297913,24.771479,13.584407,9.8077545,0.0,0.0
24.693594,27.41072,17.029642,9.08212,0.0,0.0
24.874624,28.263197,18.065813,8.540392,0.0,0.0
23.724085,26.15339,17.76253,6.5203824,0.0,0.0
21.185196,23.454391,16.710487,6.526005,0.0,0.0
20.8096,24.30787,17.104515,7.660797,0.0,0.0
20.621887,25.176844,17.007341,7.927489,0.0,0.0
20.93804,25.3896,15.20768,4.5718465,0.0,0.0
19.247728,24.358986,13.193288,2.3891218,0.0,0.0
17.54454,23.5669,11.941737,0.037875958,0.0,0.0
17.705975,24.307512,11.93329,3.370241,0.0,0.0
18.870474,24.049675,11.510124,0.9875167,0.0,0.0
19.984531,26.851343,13.761726,2.9914563,0.0,0.0
20.857847,27.06449,13.202224,1.2175089,0.0,0.0
22.039618,28.52198,14.550855,5.9488206,0.0,0.0
23.680208,28.636452,15.009899,6.024092,0.0,0.0
23.400772,30.200277,18.973448,10.301319,0.0,0.0
23.374535,30.235199,20.805843,10.928626,0.0,0.0
21.70048,27.391047,20.483229,11.181811,0.0,0.0
22.884705,27.069101,18.633295,8.369384,0.0,0.0
22.856606,27.168009,17.576704,9.507007,0.0,0.0
23.126806,27.66939,18.157255,12.109426,0.0,0.0
22.975367,25.996157,16.368752,11.049519,0.0,0.0
22.97655,25.999146,17.003838,8.374695,0.0,0.0
23.734442,28.451605,16.892935,6.637053,0.0,0.0
22.510595,30.839882,21.276083,11.404209,0.0,0.0
22.296713,30.435724,19.590582,13.32531,0.0,0.0
21.198946,27.83283,16.06574,11.314788,0.0,0.0
17.301981,26.361242,17.12174,5.1394877,0.0,0.0
6.911897,20.642637,24.514923,0.20849507,0.0,0.0
1.027204,17.98895,33.789646,1.9830762,0.0,0.0
2.3720691,14.25322,34.30726,2.1922145,0.0,0.0
12.830983,14.071454,29.87124,0.38088718,28.110733,0.0
21.851542,9.2655735,18.754393,-8.441152,28.230185,0.0
29.084549,2.3140352,9.182746,-13.689476,28.452225,0.0
34.56181,-4.178177,0.39987144,-15.064549,28.650442,0.0
37.81836,-6.837769,-2.5426743,-13.642579,28.773653,0.024999592
39.95339,-5.492789,-2.3047426,-12.1226015,28.85909,0.023426011
41.709843,-2.1437318,0.16917849,-12.039567,28.97986,0.012000742
43.22002,2.252802,1.1418202,-10.488376,29.210754,0.011196605
44.423492,5.2893624,3.978939,-7.624943,29.347996,0.006655484
44.601185,8.618276,5.6319466,-7.351332,0.0,0.0
44.281902,10.176799,8.172235,-8.405075,0.0,0.0
42.496128,9.035343,7.6179943,-13.589498,0.0,0.0
41.8882,7.9625573,8.88663,-15.619884,0.0,0.0
40.57729,5.7248235,3.0690134,-21.972534,36.065933,0.0
41.1264,2.8720095,-2.868497,-27.267721,36.25652,0.0
40.56848,0.6064674,-10.932666,-31.374842,36.588615,0.0
42.47731,-2.910406,-8.187574,-28.51269,36.88207,0.029343193
41.596493,-6.427448,-8.508125,-24.580873,37.01529,0.023806943
41.617863,-12.122838,-5.8468995,-21.842203,36.99818,0.020984598
37.86111,-15.772038,-4.045339,-19.120405,36.806335,0.024480633
39.142445,-16.039194,2.3856022,-13.53135,36.677807,0.022232564
38.47745,-13.598824,5.38823,-10.650179,36.607563,0.014217346
41.58817,-9.125836,7.6718597,-8.727588,36.64975,0.013333674
42.13067,-2.456995,8.704092,-8.937789,36.573322,0.019518683
42.201252,2.305238,8.016435,-6.527849,36.47279,0.019855374
39.430313,0.32539335,14.680557,-4.209196,36.37985,0.016481558
36.257767,-5.0533485,18.78067,-1.8941973,36.326782,0.01474708
34.678913,-7.1646533,23.89596,-0.8598218,36.236893,0.013498135
35.841137,-3.4526207,17.281055,-4.6473393,36.108044,0.012659825
38.667667,2.2149713,11.690177,-11.217873,35.929768,0.0067384187
41.5988,3.2303045,4.926574,-16.61633,35.762356,0.0068025156
42.988617,3.599099,0.48752132,-18.043283,35.621662,0.0062905666
42.01521,2.5943823,-2.7378397,-17.709396,35.512928,0.009281521
40.44623,4.630283,-4.629307,-17.898825,35.283794,0.008096896
39.57521,5.502397,-5.9155087,-18.606075,35.006687,0.007862839
37.817806,2.3153865,-6.926724,-17.93896,34.709473,0.0072807944
35.69433,-2.5188224,-3.8204918,-14.492924,34.563427,0.010983382
31.79957,-5.516521,1.8744488,-9.767764,34.50357,0.011803408
30.951231,-3.2667446,4.8182435,-8.783911,34.548218,0.011371113
32.550312,3.7149544,8.761922,-8.348653,34.606266,0.007970064
36.41428,11.065464,11.744859,-7.726442,34.610126,0.0072086775
38.003307,17.197464,15.317993,-4.4318366,34.527096,0.011459277
36.59478,17.068712,13.223443,-4.872251,34.30158,0.012482829
33.41769,16.079594,8.350369,-1.6949145,34.117435,0.014673699
29.30552,14.287156,8.416162,0.5272986,34.0092,0.011734421
27.130133,15.07775,8.234,3.1848316,34.036118,0.016205572
26.049942,15.085438,11.376755,-2.518264,34.055035,0.033096615
26.896795,15.471336,10.881496,-2.726298,34.07683,0.030234633
26.197655,13.933399,13.095328,-1.6491985,34.136173,0.025432259
24.932207,17.323797,13.13351,3.8705928,34.21471,0.0054775593
21.802965,25.242035,13.340608,6.5794845,34.270565,0.010882149
17.808062,34.773716,9.901806,7.391134,34.27956,0.01306769
12.338046,40.494846,5.8539753,5.344892,34.280914,0.017923705
7.9898553,42.570415,3.24487,3.0879166,0.0,0.0
3.0568397,41.98533,3.042669,2.1462364,0.0,0.0
1.5913998,42.83195,4.599077,4.738416,0.0,0.0
2.5398517,42.748074,7.3252883,6.8148313,32.87797,0.0
4.213234,44.38857,9.59344,11.004231,32.96468,0.02908673
4.855087,42.249584,10.604713,13.919459,33.122704,0.02374641
4.9702187,40.99397,8.092074,13.095181,33.131256,0.035480533
6.5452194,38.060898,5.79083,10.4734535,33.092426,0.02410849
8.218663,38.133236,5.5486093,6.603283,33.050217,0.023854664
9.192535,38.419037,5.121702,7.6446724,32.981506,0.020953527
9.413835,41.2617,8.375134,11.080218,32.8645,0.019748509
9.708444,42.98814,7.634954,15.58884,32.700916,0.017010884
9.057829,42.55679,6.9923396,17.900383,32.547028,0.010835004
9.161807,41.38596,3.5605829,16.92103,32.453457,0.009900987
8.430077,40.511875,3.4915779,15.970516,32.38602,0.018077945
8.513488,42.881763,5.211121,9.024373,32.32326,0.021272726
9.792382,41.729233,5.606484,2.8667018,32.423058,0.022761947
13.482974,34.677654,8.917549,-1.682614,32.27008,0.016793244
17.771448,22.698105,13.127541,-3.2523699,32.089756,0.016906144
22.33194,12.879361,16.525589,-4.852244,31.717163,0.011116352
26.740332,11.30661,16.982916,-8.551427,31.624277,0.009038535
31.289408,13.162389,17.1536,-4.715317,31.828362,0.004188144
34.1094,16.546526,20.37532,2.6087067,31.956799,0.0040408517
34.583504,17.570753,23.239616,7.031441,0.0,0.0
33.80544,18.248617,23.37963,4.8263154,0.0,0.0
33.703373,22.09939,24.907347,2.371,0.0,0.0
34.265137,25.296385,24.37912,4.546679,0.0,0.0
33.55983,23.64657,23.861181,11.323398,34.221886,0.0
35.00044,14.232208,13.505241,8.092816,34.585625,0.0
37.573193,2.4947755,1.1197094,2.5969913,35.09299,0.0
41.412807,-8.429742,-8.645196,-4.7904134,35.46768,0.0
40.284573,-18.616632,-8.298383,-10.940956,35.565784,0.0
37.289978,-26.904543,-4.0551934,-17.113398,35.60501,0.0129974
35.519367,-30.24618,-0.14860098,-23.35457,35.634693,0.010992467
35.018738,-31.939829,-0.9189951,-26.235909,35.705536,0.005463021
33.18176,-35.393814,-2.2110236,-27.560675,36.156178,0.0043943636
29.720175,-37.44537,-4.297509,-25.391626,37.05387,0.0033587683
27.171228,-38.22286,-7.6487865,-22.01039,37.947796,0.003875815
26.399483,-36.061848,-9.788005,-19.302376,38.63045,0.056518454
25.81424,-36.549454,-8.7088175,-20.691736,38.957336,0.1091611
26.08731,-34.445934,-6.4823747,-22.432817,39.27589,0.16180374
27.315664,-32.53541,-7.437584,-26.167727,39.44319,0.12895484
30.358772,-30.324112,-12.453279,-31.36,39.514973,0.08009986
31.850555,-30.149767,-17.659492,-33.70856,39.543777,0.03924792
33.618412,-26.653475,-21.926573,-32.27013,0.0,0.0
32.129955,-22.71791,-23.808008,-28.583145,0.0,0.0
32.93704,-19.876673,-20.983034,-27.383438,0.0,0.0
31.508797,-19.790031,-17.528389,-27.686386,0.0,0.0
33.24691,-17.024977,-12.938805,-28.576439,0.0,0.0
32.63612,-12.868047,-10.046036,-25.596207,0.0,0.0
33.58949,-7.1961293,-4.5410748,-22.67488,0.0,0.0
33.080147,-5.971703,-4.4615498,-19.063917,0.0,0.0
32.523605,-5.7037506,-2.785512,-20.026192,0.0,0.0
31.70958,-6.990742,-2.0102522,-23.58168,0.0,0.0
31.776167,-4.4973145,1.3651443,-27.184614,0.0,0.0
31.913094,1.907134,2.8071353,-25.460844,0.0,0.0
31.254065,5.250335,2.8871305,-24.954033,0.0,0.0
29.91868,8.031079,0.4224073,-21.443817,0.0,0.0
31.519266,9.643977,-1.2566599,-20.255583,0.0,0.0
30.727148,13.232802,-2.1652844,-15.626248,0.0,0.0
30.916376,15.972074,0.58174765,-15.68628,0.0,0.0
27.099176,17.365973,2.3121817,-15.899329,0.0,0.0
26.34121,21.168081,5.428896,-12.285056,0.0,0.0
21.52418,18.680058,7.6447234,-5.4644585,0.0,0.0
15.497369,18.543507,8.405301,0.2688074,0.0,0.0
9.63436,17.792341,7.2025084,1.808488,0.0,0.0
5.70026,22.81595,8.863992,-2.6805294,0.0,0.0
5.9486046,24.00873,14.489392,-1.6758074,0.0,0.0
7.3025193,20.982023,18.176867,-0.8004782,0.0,0.0
9.62839,17.465967,19.23435,3.483921,0.0,0.0
12.027102,14.816174,18.991072,5.345227,0.0,0.0
13.276721,15.115321,16.252644,6.732631,0.0,0.0
15.557037,16.212496,14.730733,9.972515,0.0,0.0
18.597586,18.65603,12.853763,10.149226,0.0,0.0
20.809233,21.337236,14.459781,10.112214,0.0,0.0
22.068617,23.096466,13.951619,7.0349298,0.0,0.0
22.353994,21.636503,11.911423,1.5466956,0.0,0.0
21.99131,17.705587,9.014722,-1.260902,0.0,0.0
21.778654,15.024991,9.587945,-1.6036118,0.0,0.0
21.16146,15.964459,8.037412,0.638929,0.0,0.0
20.463755,17.074053,9.925144,1.0620393,0.0,0.0
19.840698,20.527922,9.171646,0.28126338,0.0,0.0
19.305689,22.249449,12.696147,5.568247,0.0,0.0
20.443033,25.904297,15.592556,8.632182,0.0,0.0
21.245316,26.407259,16.787956,11.047791,0.0,0.0
20.486538,24.599068,14.843234,7.1468124,0.0,0.0
20.127344,23.285192,12.411575,5.1385365,0.0,0.0
19.319748,22.894594,13.976021,8.314811,0.0,0.0
19.963577,24.307775,15.680438,9.020504,0.0,0.0
18.162565,23.77825,18.858236,14.41516,0.0,0.0
18.361002,23.437233,17.732536,12.271824,0.0,0.0
18.03679,23.006845,19.2102,12.453751,0.0,0.0
19.082254,24.92719,17.661203,8.637447,0.0,0.0
19.759302,25.00869,19.301943,7.70442,0.0,0.0
19.866667,26.372215,18.537512,7.920056,0.0,0.0
20.156397,26.147865,18.602001,6.3914323,0.0,0.0
20.57422,25.991323,17.851942,4.977789,0.0,0.0
20.05898,24.80925,15.999802,2.636733,0.0,0.0
21.050348,26.38363,14.212541,0.29449406,0.0,0.0
20.811827,28.177116,13.445053,2.070284,0.0,0.0
21.629868,28.553473,12.405136,0.35562667,0.0,0.0
20.936674,26.61412,13.365231,4.0856476,0.0,0.0
20.316254,24.671179,12.17318,4.8529005,0.0,0.0
21.090235,25.622934,13.416229,8.344752,0.0,0.0
20.323137,25.977524,14.865827,10.307576,0.0,0.0
21.769918,27.28591,18.450531,9.212245,0.0,0.0
21.402925,26.47363,19.851728,8.17994,0.0,0.0
22.30866,27.726892,19.65354,5.949551,0.0,0.0
21.624788,28.25428,18.384546,8.95338,0.0,0.0
22.106928,29.335176,20.179623,10.652623,0.0,0.0
22.060602,28.778519,18.804678,14.517189,0.0,0.0
21.358355,29.619516,18.13309,12.741586,0.0,0.0
19.679663,27.64826,15.411534,9.562209,0.0,0.0
19.54841,25.613317,15.390307,5.9749475,0.0,0.0
19.947863,23.515724,12.852276,3.3879273,0.0,0.0
21.623535,25.939455,11.657756,6.854156,0.0,0.0
21.80735,28.390234,14.630635,8.054465,0.0,0.0
21.112663,29.569311,17.38817,7.557901,0.0,0.0
19.9104,28.778267,15.416031,4.6187606,0.0,0.0
20.426733,28.731562,12.882295,0.7540524,0.0,0.0
21.248848,27.08049,10.657401,2.0218809,0.0,0.0
22.087065,26.495192,13.93066,4.527624,0.0,0.0
21.256563,25.402506,15.007722,5.751831,0.0,0.0
21.973013,26.824606,15.286624,7.29283,0.0,0.0
21.293854,26.05755,15.133513,4.020843,0.0,0.0
21.881998,26.958357,15.047043,5.426123,0.0,0.0
20.34482,25.600166,14.353393,2.5307817,0.0,0.0
20.276024,25.691294,14.816196,4.0349426,0.0,0.0
20.593956,25.119675,16.026016,7.2014995,0.0,0.0
22.835127,27.831507,19.73068,9.624451,0.0,0.0
23.700659,28.10347,20.45214,10.974648,0.0,0.0
23.633303,28.138006,19.711073,10.430512,0.0,0.0
24.026606,27.3417,19.779867,11.362592,0.0,0.0
24.207336,29.994537,18.585827,10.197017,0.0,0.0
24.316896,29.2441,16.694895,8.810519,0.0,0.0
22.514608,27.566835,14.393395,8.011264,0.0,0.0
23.20192,26.716791,17.109587,8.692912,0.0,0.0
22.913107,28.05329,17.029665,6.6026063,0.0,0.0
23.896645,29.914454,18.257177,4.8908534,0.0,0.0
23.505508,29.962425,15.022186,5.992077,0.0,0.0
24.060678,30.313782,17.472599,9.34045,0.0,0.0
22.92187,30.19884,15.735393,9.961878,0.0,0.0
21.65389,28.784653,18.003775,9.284394,0.0,0.0
19.566065,24.8724,14.323337,3.035202,0.0,0.0
