mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
20.937456,24.805979,10.334306,0.03118799,0.0,0.0
19.929056,24.150848,12.314969,0.39316013,0.0,0.0
20.066553,22.952654,14.496002,3.604327,0.0,0.0
20.983717,23.880136,14.887546,7.498487,0.0,0.0
23.355947,25.423943,13.450183,9.835294,0.0,0.0
23.393442,25.972502,13.8875,10.938203,0.0,0.0
24.991446,26.951994,15.363239,7.896296,0.0,0.0
23.249445,24.92177,14.61296,5.077553,0.0,0.0
23.511398,25.852516,14.1048155,1.663256,0.0,0.0
21.585844,25.82113,14.585988,5.4733863,0.0,0.0
21.140066,26.227034,16.386492,7.1706023,0.0,0.0
19.872042,25.195389,16.23672,10.000688,0.0,0.0
21.024878,25.707771,12.676724,6.4783187,0.0,0.0
21.077417,25.915293,13.168988,8.364723,0.0,0.0
20.469172,23.868591,12.410041,5.585554,0.0,0.0
20.3603,22.722855,15.808258,4.3863797,0.0,0.0
21.010078,22.416834,15.455032,3.6876833,0.0,0.0
20.7397,23.015005,13.9010725,2.5304544,0.0,0.0
19.967253,22.010971,10.288897,4.046392,0.0,0.0
19.869482,23.660349,9.632049,1.7217027,0.0,0.0
20.384142,24.589987,11.073482,5.058578,0.0,0.0
18.224524,25.492525,12.706967,5.5951347,0.0,0.0
16.012812,23.744005,14.978549,6.9990444,0.0,0.0
14.74366,23.05654,13.808192,1.2828838,0.0,0.0
16.572855,22.994217,16.939795,0.38834414,0.0,0.0
18.83742,24.394522,16.973215,-0.5041981,0.0,0.0
20.616081,25.232473,19.238434,3.6491344,0.0,0.0
21.368444,24.17452,19.43479,3.960349,0.0,0.0
20.50603,21.252577,18.070068,1.8731312,0.0,0.0
21.62516,21.624542,18.398018,1.9102823,0.0,0.0
20.610628,20.888777,17.13946,2.4052238,0.0,0.0
20.449945,20.870558,17.753218,6.061213,0.0,0.0
20.317617,13.839078,21.007479,4.408722,36.342903,0.0
