mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
23.076965,24.739288,8.273728,2.3301954,0.0,0.0
23.161451,24.52432,7.2291107,2.1360617,0.0,0.0
23.089437,26.74655,8.402425,1.823514,0.0,0.0
24.128662,26.515167,10.9695635,2.7585266,0.0,0.0
24.593786,27.36263,14.361442,2.968578,0.0,0.0
24.412888,26.675714,15.125966,5.880548,0.0,0.0
24.809212,27.850433,15.62619,7.2227836,0.0,0.0
22.942648,27.990911,16.557404,6.7541504,0.0,0.0
22.645256,27.813286,17.137484,6.0336857,0.0,0.0
20.326479,26.094452,17.232489,7.7979774,0.0,0.0
20.932116,24.677244,14.508975,10.022931,0.0,0.0
21.347452,25.427938,16.898981,10.784829,0.0,0.0
21.677736,25.817747,17.201433,8.949439,0.0,0.0
22.60541,26.112673,17.787699,9.746456,0.0,0.0
21.845427,24.95463,18.051144,10.309962,0.0,0.0
22.414291,24.465195,17.886797,9.510823,0.0,0.0
21.96643,24.63885,18.386183,8.820601,0.0,0.0
22.489082,24.97628,15.696163,9.932187,0.0,0.0
22.664993,26.47275,15.474869,11.706703,0.0,0.0
22.802065,27.356012,16.697985,10.4223175,0.0,0.0
22.549255,27.034058,17.372309,6.4640985,0.0,0.0
21.391302,25.574553,15.739413,4.202366,0.0,0.0
20.251474,24.54836,15.279256,5.821138,0.0,0.0
19.475634,24.361818,14.776662,8.124767,0.0,0.0
20.01609,25.757706,18.36714,11.093131,0.0,0.0
21.11149,28.164345,18.352278,10.512889,0.0,0.0
21.937208,27.37059,15.55521,9.124162,0.0,0.0
22.95051,26.70868,12.443459,5.733225,0.0,0.0
22.939356,25.961641,13.527156,5.227079,0.0,0.0
22.600426,25.71032,17.390612,5.128377,0.0,0.0
22.493258,25.751236,19.779902,6.687122,0.0,0.0
23.007738,25.151993,18.39251,7.305596,0.0,0.0
24.121017,27.253004,17.270182,5.503212,0.0,0.0
23.163427,26.733618,15.127183,6.0128326,0.0,0.0
22.38974,26.413519,14.071496,5.6968007,0.0,0.0
21.16369,23.644379,11.944217,6.1924243,0.0,0.0
21.835968,24.850988,10.0162,3.4658144,0.0,0.0
21.751516,24.556067,11.69781,3.925704,0.0,0.0
21.924562,25.838129,11.559291,5.1312757,0.0,0.0
21.673594,26.417295,14.299474,6.8282685,0.0,0.0
21.931013,27.298006,12.655026,6.786112,0.0,0.0
21.521345,27.690958,12.604591,4.449396,0.0,0.0
20.587881,25.680313,13.656344,7.7312484,0.0,0.0
19.688692,25.908485,15.3389845,7.015817,0.0,0.0
20.202833,25.929382,15.847348,8.189613,0.0,0.0
19.845827,25.268064,12.359032,0.7009576,0.0,0.0
19.869795,25.147379,9.6163,0.5971667,0.0,0.0
20.703743,26.26885,9.139366,-0.95296556,0.0,0.0
21.241865,27.460035,9.495601,-0.13843966,0.0,0.0
22.324701,27.44649,12.221801,0.005258878,0.0,0.0
21.21633,25.23039,12.020302,2.1668668,0.0,0.0
21.142067,24.175444,13.41631,4.78117,0.0,0.0
19.249216,22.162836,12.072413,3.533244,0.0,0.0
19.952143,23.711924,11.35799,4.7460155,0.0,0.0
20.313505,23.40639,11.019677,5.6067867,0.0,0.0
19.382746,22.981974,10.820437,6.8463235,0.0,0.0
18.699083,21.271408,11.152172,4.8617854,0.0,0.0
18.03614,23.09426,12.709915,3.5070963,0.0,0.0
20.268948,25.902613,13.7126465,1.5985328,0.0,0.0
20.700752,27.149529,15.8336935,0.0053110123,0.0,0.0
22.181776,26.522875,14.9927435,2.4214013,0.0,0.0
23.068832,25.403852,13.994271,2.6250067,0.0,0.0
23.556097,24.34316,13.370613,5.6096826,0.0,0.0
22.420702,23.6014,12.604163,3.0451014,0.0,0.0
21.753134,23.382956,12.487777,2.8156989,0.0,0.0
21.300179,24.961937,10.996674,0.53172284,0.0,0.0
22.402985,26.60769,11.703563,0.5534697,0.0,0.0
22.467657,27.405708,11.692529,3.3142471,0.0,0.0
21.698248,26.349703,13.05764,6.5565743,0.0,0.0
20.459385,25.086832,12.249829,5.3405337,0.0,0.0
20.007889,23.9151,12.978249,4.9252295,0.0,0.0
21.094467,23.457346,13.490849,7.9973645,0.0,0.0
21.010336,23.811584,16.61194,11.717278,0.0,0.0
22.043413,24.635778,16.865175,9.69512,0.0,0.0
22.367485,25.769974,18.571978,6.3829575,0.0,0.0
23.88047,26.156157,21.1415,8.568562,0.0,0.0
22.938286,24.082674,19.18251,7.176828,0.0,0.0
22.440603,24.47906,18.650993,6.7637634,0.0,0.0
21.994904,25.517075,14.417676,5.190489,0.0,0.0
22.036245,27.637774,16.507048,7.4058995,0.0,0.0
