mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.039093,25.776072,10.021034,-2.1430576,0.0,0.0
23.953667,25.334753,7.509866,-2.8063898,0.0,0.0
24.356482,24.746508,6.0549393,-1.9470018,0.0,0.0
24.863497,24.913269,5.279634,-0.5073115,0.0,0.0
23.10266,22.749937,5.3203545,1.0984868,0.0,0.0
22.635775,22.144888,3.310197,0.38687405,0.0,0.0
22.979248,22.820053,5.5224648,2.7550528,0.0,0.0
23.622843,23.993225,3.6406279,0.24712975,0.0,0.0
22.820116,23.566183,4.6347713,0.008078247,0.0,0.0
21.986282,21.565948,4.5808663,-0.15882294,0.0,0.0
21.418816,20.959131,7.438331,2.7279272,0.0,0.0
21.297613,20.558867,9.259656,3.5011427,0.0,0.0
22.277613,21.44877,8.311135,-0.3433504,0.0,0.0
23.497889,21.216475,6.1012406,-2.9847252,0.0,0.0
25.112753,22.410906,5.2804494,-3.1289203,0.0,0.0
25.114023,23.097862,8.4470825,0.90318316,0.0,0.0
23.734095,24.983358,11.747628,2.9895585,0.0,0.0
23.765364,25.692465,14.508189,4.091037,0.0,0.0
24.140549,24.583015,13.04049,3.5917037,0.0,0.0
24.873343,24.849243,13.825681,3.11707,0.0,0.0
24.44499,24.644547,13.11832,1.7219025,0.0,0.0
23.566813,25.543135,11.429492,0.248451,0.0,0.0
22.645851,24.240967,10.313689,0.8243609,0.0,0.0
21.96786,24.382141,10.481912,3.4691703,0.0,0.0
22.06217,24.882767,14.860619,5.3557506,0.0,0.0
21.551863,24.810087,13.849568,6.04201,0.0,0.0
23.534353,25.485674,13.5744705,4.4146056,0.0,0.0
22.482605,25.65847,12.254906,5.811678,0.0,0.0
22.532564,24.357752,13.8083315,6.379892,0.0,0.0
20.873547,22.053095,14.315137,6.5822244,0.0,0.0
21.90354,21.730978,15.424591,8.047965,0.0,0.0
21.948326,25.15153,17.443634,7.7183,0.0,0.0
22.231771,25.771324,16.13364,8.242575,0.0,0.0
21.673075,26.034866,14.745449,7.01547,0.0,0.0
21.670494,24.742783,12.556254,5.2187867,0.0,0.0
21.454138,26.679703,15.069969,6.392489,0.0,0.0
20.240288,25.530006,14.233554,1.4720936,0.0,0.0
