mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.446142,24.231268,7.6393228,9.051748,0.0,0.0
23.380987,24.260649,9.473498,5.4521127,0.0,0.0
23.67552,24.029627,12.582149,4.2037206,0.0,0.0
22.55259,23.5486,13.494644,2.653374,0.0,0.0
21.871386,24.753038,15.123581,6.853121,0.0,0.0
23.193205,28.094767,15.374046,5.0483546,0.0,0.0
22.864037,28.416725,16.835787,6.2349086,0.0,0.0
23.585007,27.314987,14.4724455,4.3652496,0.0,0.0
21.556932,22.220911,9.924845,2.5311673,0.0,0.0
21.32807,19.653687,9.832989,2.0044515,0.0,0.0
21.145662,16.423342,8.603297,-0.17175905,0.0,0.0
22.857368,15.635364,13.411774,7.0165915,0.0,0.0
23.823202,14.744011,12.768242,6.6941853,0.0,0.0
25.942877,16.9507,17.074177,10.143994,0.0,0.0
27.28887,18.126097,16.273983,7.9837823,0.0,0.0
27.31008,17.52413,15.212033,8.242545,0.0,0.0
26.128775,17.236084,14.217044,6.2676797,0.0,0.0
23.529938,16.270153,12.974536,5.6878543,0.0,0.0
23.970594,17.19494,13.526725,6.89768,0.0,0.0
22.5801,16.533987,12.628335,9.265671,0.0,0.0
24.226755,18.696547,12.857972,9.193509,0.0,0.0
22.491068,18.653313,11.895999,9.316016,0.0,0.0
23.871109,20.94622,13.165665,8.133769,0.0,0.0
23.428198,21.805735,15.701424,7.084127,0.0,0.0
24.661005,23.744326,18.981077,5.4456177,0.0,0.0
23.821533,22.856176,15.393135,3.852046,0.0,0.0
22.531214,23.799963,15.484798,5.515207,0.0,0.0
22.701601,25.644476,14.102426,5.303882,0.0,0.0
21.961824,27.984846,16.900377,6.0018578,0.0,0.0
23.367401,27.833658,15.685326,5.9148483,0.0,0.0
22.958618,28.419947,18.381592,8.337143,0.0,0.0
24.016275,27.978788,20.773432,12.802124,0.0,0.0
23.355074,28.110247,19.644926,11.020024,0.0,0.0
22.740341,28.675947,20.72476,10.845609,0.0,0.0
21.975899,27.445105,18.264442,5.513361,0.0,0.0
22.836672,27.771675,18.539408,5.892966,0.0,0.0
23.862633,27.016426,14.432593,2.973338,0.0,0.0
25.46853,27.894598,12.779649,0.9306031,0.0,0.0
26.782753,26.238966,10.233479,-3.814017,0.0,0.0
27.754568,21.897741,12.332005,-1.6507425,0.0,0.0
29.933136,17.56058,16.343538,-0.9884079,0.0,0.0
29.326303,12.375848,19.66281,-1.4897784,35.38539,0.0
28.656067,9.981601,20.72708,-7.337502,35.373745,0.030756474
26.18373,9.640724,23.448423,-10.653058,35.3783,0.023384355
25.460146,12.426739,28.197798,-13.236087,35.380894,0.014414392
26.979897,14.532804,29.906488,-13.164902,0.0,0.0
29.20408,18.390154,29.737717,-12.180505,0.0,0.0
31.043463,20.840065,29.893785,-6.96451,0.0,0.0
30.458326,22.265417,28.47104,-3.3819544,0.0,0.0
29.09758,21.186369,24.514437,-0.7770696,0.0,0.0
26.204252,18.87818,21.39067,-2.6276987,0.0,0.0
25.079535,18.582258,25.383554,-4.998943,0.0,0.0
24.487724,19.39112,31.048729,-8.236552,0.0,0.0
24.060999,24.310951,33.033016,-9.230718,0.0,0.0
22.986986,26.749853,32.29955,-6.441114,0.0,0.0
22.944925,26.694763,25.79915,-4.7877407,0.0,0.0
25.653404,25.563044,22.267725,-2.354427,0.0,0.0
23.303198,26.185892,14.327736,-5.476916,0.0,0.0
15.971465,31.527441,11.114204,-5.1672635,0.0,0.0
7.037798,37.480198,7.1208835,-2.7322013,0.0,0.0
0.8010954,42.363132,3.9401207,-0.30747116,0.0,0.0
-2.0687096,40.157116,2.371321,0.44072214,0.0,0.0
-2.0361414,35.28438,2.1978269,-2.3410954,0.0,0.0
-1.4599948,30.019938,5.537249,-2.337517,0.0,0.0
2.1014574,27.903837,12.005928,-1.190467,0.0,0.0
6.0709147,23.779968,16.057983,-0.3539606,0.0,0.0
14.548238,19.501657,14.916926,-2.9871118,33.81337,0.0
21.309523,15.386754,7.6860676,-10.259926,33.84044,0.0
27.937494,16.496468,4.302153,-10.700093,33.838657,0.0
31.790007,18.550001,2.4075887,-7.5988364,29.619383,0.27807942
35.720673,21.176981,4.8377433,-1.0713836,25.366343,0.1883601
36.41725,21.484282,4.1485815,0.9470555,21.164156,0.17103332
36.652546,21.436127,3.5357637,3.4581034,25.109415,0.1811818
36.443615,22.928833,3.3972523,6.5165,29.11727,0.2218493
37.49347,24.358969,4.251495,6.8386827,33.119762,0.2420659
38.64519,26.187958,6.1476817,2.4757404,33.010002,0.085171424
38.45677,27.625412,5.8040104,2.1935174,32.786076,0.04474635
36.810745,27.239767,4.5169578,1.4250674,32.564205,0.026815362
34.39301,26.554556,3.4205124,2.5554912,32.474762,0.017512005
33.159138,23.961838,1.6562942,-1.0745729,0.0,0.0
32.73618,23.759573,1.6987166,1.065073,0.0,0.0
33.087933,25.642817,2.3898222,1.9500656,0.0,0.0
33.89235,27.921667,4.275573,2.389554,0.0,0.0
35.11917,28.033854,2.1071403,-3.1455727,34.04969,0.0
35.84522,23.775406,-0.3770586,-6.371239,34.118305,0.029238503
37.91035,19.480455,-4.7531986,-13.185208,34.272278,0.037556153
40.34714,14.898696,-9.90523,-21.713516,34.398746,0.038985435
42.882496,13.142574,-16.206087,-31.318773,34.54695,0.031158509
42.096695,8.647893,-21.64798,-36.64846,34.844166,0.0145914955
40.74679,6.684303,-22.634169,-30.822908,35.26737,0.006220484
