mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.642591,27.351881,15.877437,7.881415,0.0,0.0
22.433807,27.905945,14.467754,7.4629326,0.0,0.0
22.936075,28.477282,14.507809,5.936319,0.0,0.0
23.429464,29.00225,13.160066,7.5056534,0.0,0.0
23.12278,28.349207,13.480968,6.07353,0.0,0.0
22.690012,28.567743,13.202825,8.123895,0.0,0.0
22.786516,29.468939,13.294274,8.443894,0.0,0.0
21.789972,26.983381,10.139859,6.9434314,0.0,0.0
20.930021,24.952059,8.533059,8.522812,0.0,0.0
19.65319,24.545387,8.078816,5.682047,0.0,0.0
19.235914,25.841131,10.105669,5.636645,0.0,0.0
19.296461,27.51803,11.134354,-0.95785576,0.0,0.0
21.339983,26.834223,11.419438,1.1815964,0.0,0.0
22.23028,27.966959,12.389824,3.961951,0.0,0.0
22.535547,30.029205,13.653974,7.7664466,0.0,0.0
20.037497,28.31381,12.577212,5.6385403,0.0,0.0
20.414572,28.442205,12.034168,7.425444,0.0,0.0
19.971037,25.636206,11.641059,10.253529,0.0,0.0
20.44049,27.098116,12.808106,9.550894,0.0,0.0
20.643843,28.154526,13.405968,9.259129,0.0,0.0
20.889063,27.960413,12.830958,6.4277534,0.0,0.0
21.35185,26.272818,13.89164,13.21027,0.0,0.0
21.666155,25.4157,14.132454,11.686109,0.0,0.0
22.331636,25.453484,14.524045,13.00464,0.0,0.0
21.908613,26.220398,13.418969,9.863799,0.0,0.0
20.857178,25.353447,14.677872,10.689019,0.0,0.0
20.500193,23.80501,13.945004,9.155109,0.0,0.0
20.363953,22.714724,11.412273,6.5390573,0.0,0.0
21.961433,23.278635,10.214456,4.4823966,0.0,0.0
23.766989,23.598633,11.827027,6.1962075,0.0,0.0
26.324982,21.697096,14.553721,7.3011737,0.0,0.0
28.047087,16.113516,15.708444,10.408736,0.0,0.0
28.774958,10.349275,15.85871,3.8984222,0.0,0.0
28.729605,3.8830996,19.300516,-1.0856534,0.0,0.0
26.07698,-1.7484964,22.20606,-9.950592,0.0,0.0
23.581528,-3.9713275,25.063093,-11.993606,22.644901,0.0
21.787415,-5.2451434,25.117035,-14.143195,22.64405,0.017707027
21.502325,-2.5765707,27.258982,-17.467484,22.623102,0.015492357
22.295263,-0.36022806,29.584143,-19.617678,22.549559,0.010153211
23.283447,2.7867005,33.08459,-18.905682,22.55721,0.00856831
25.897293,3.7292202,32.887257,-12.557073,22.634895,0.014385927
28.148855,5.4728737,34.345585,-6.3099713,22.643358,0.023667602
30.515528,9.602838,32.95847,-0.47332922,22.483545,0.035497744
32.000484,14.485295,32.79852,3.0330298,22.279776,0.032601442
32.15042,16.454727,27.388794,6.5753837,22.22477,0.030376924
31.965921,15.900149,22.685099,4.6826444,22.32067,0.024078732
29.333277,11.940225,22.06045,5.5489936,22.407928,0.027381362
26.060799,8.68939,26.070496,4.2977552,22.33639,0.024437139
22.339796,6.4422646,33.434002,9.367394,22.313993,0.018584715
20.902983,11.074684,34.64137,9.684197,22.287436,0.024646364
19.346083,19.268908,32.87554,10.955395,22.384983,0.030464722
17.738262,29.644608,26.760101,10.80252,0.0,0.0
