mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
24.189117,26.417557,13.165336,9.743527,0.0,0.0
22.71489,26.572458,14.257966,9.733226,0.0,0.0
20.563963,25.465294,12.833629,5.978109,0.0,0.0
21.220995,24.3057,9.986711,5.432897,0.0,0.0
23.069185,24.62391,9.379823,4.1797566,0.0,0.0
24.034004,25.872416,12.089992,5.7481723,0.0,0.0
22.400625,25.807526,13.087371,5.3843684,0.0,0.0
20.750147,25.111837,13.260728,6.119316,0.0,0.0
20.40853,24.906555,12.129327,6.825499,0.0,0.0
21.239325,25.379057,12.28907,8.849004,0.0,0.0
21.574465,27.189697,12.327068,7.9501877,0.0,0.0
22.676325,28.074903,13.830115,6.3331113,0.0,0.0
22.383652,30.046618,13.45243,2.8709066,0.0,0.0
21.289133,27.063066,12.104762,2.0991223,0.0,0.0
20.559095,27.81964,10.818936,4.1576037,0.0,0.0
20.397932,27.835924,13.166469,9.267396,0.0,0.0
21.55202,29.59597,13.548556,8.584555,0.0,0.0
21.885702,28.097176,14.363457,10.077184,0.0,0.0
22.107206,26.173105,13.216214,7.603867,0.0,0.0
22.069649,27.852854,14.094017,7.7779965,0.0,0.0
23.16485,27.925568,14.131839,6.468863,0.0,0.0
22.398087,30.066435,15.072164,8.283895,0.0,0.0
17.904573,30.85463,14.19045,12.29673,0.0,0.0
9.127577,29.757278,18.103117,11.774841,0.0,0.0
3.482435,27.107248,25.145447,6.6970153,0.0,0.0
-0.8654955,21.784464,35.048035,-2.0393374,0.0,0.0
1.1846026,21.540411,38.070232,-4.012132,0.0,0.0
3.2070217,21.78229,36.427776,-5.562712,0.0,0.0
8.305835,23.693747,31.808004,-7.803303,0.0,0.0
10.226161,24.565039,27.504402,-11.418335,0.0,0.0
12.318115,21.647943,24.177567,-10.277474,0.0,0.0
15.582402,23.204538,25.37793,-4.0071287,0.0,0.0
17.915358,22.670998,23.19313,-4.040643,0.0,0.0
18.190922,25.866755,24.394625,-5.9131393,0.0,0.0
16.899221,24.975899,23.104364,-5.208442,0.0,0.0
17.290144,25.495193,22.322113,-3.0384057,0.0,0.0
17.561386,24.75347,18.85622,1.4145159,0.0,0.0
18.748577,25.713882,17.092512,1.9299575,0.0,0.0
18.916246,26.697966,16.192387,5.301869,0.0,0.0
19.958681,28.441717,14.574725,7.223844,0.0,0.0
19.118563,26.735285,10.594531,6.338902,0.0,0.0
19.101002,20.899298,9.746181,10.692946,0.0,0.0
22.86497,10.239814,5.9493613,9.191211,0.0,0.0
24.771706,-2.8394372,0.96879643,8.376676,0.0,0.0
26.500067,-12.362369,-3.0442421,-0.74891853,0.0,0.0
24.861193,-16.731009,-4.590717,-4.2580304,0.0,0.0
24.143013,-17.987099,-3.6541986,-5.8724303,0.0,0.0
21.86759,-20.77816,-2.8015635,-5.354742,0.0,0.0
19.420866,-23.292921,-1.3107233,-5.8769984,0.0,0.0
19.38988,-22.148272,4.086506,-5.3994584,27.0969,0.0
20.931513,-17.361792,9.302754,-5.075368,27.118835,0.021248423
23.139847,-12.435646,14.113907,-3.8943412,27.158897,0.02078802
25.419676,-10.421046,12.913146,-2.7616103,27.171127,0.01543815
27.46987,-7.5070443,11.963416,-2.6744845,27.193907,0.009232234
30.326416,-3.5898826,12.928233,-1.4811052,27.200064,0.004119098
32.18703,1.1716539,16.016031,-0.7887948,27.126173,0.01115932
33.2633,4.786684,21.376303,3.56044,26.984392,0.010730381
32.177147,6.422169,23.06858,5.7941604,26.862333,0.010244477
32.628532,8.118729,21.441122,9.243881,26.7786,0.0047732336
33.009075,8.185967,16.759706,8.1161175,26.675241,0.009165487
33.340744,12.558197,16.68289,5.8212852,26.62766,0.011129831
30.495218,16.64728,20.387388,2.9980714,26.58213,0.013570659
28.06481,21.40612,21.119043,2.2012117,0.0,0.0
26.9442,24.50992,20.106186,2.67017,0.0,0.0
26.712984,27.338404,16.342783,4.1894593,0.0,0.0
27.53785,31.475733,16.883635,6.7618623,0.0,0.0
26.069044,29.177557,12.781333,7.811161,0.0,0.0
24.662897,28.690928,12.689933,3.2247398,0.0,0.0
21.421677,24.272757,11.3878355,2.7314932,0.0,0.0
22.308485,24.546738,13.671247,3.7946253,39.28597,0.0
23.128702,14.399575,6.7582607,-6.2510605,39.219223,0.0
23.943975,4.671622,-4.2439027,-26.142878,38.831493,0.0
25.388159,-1.8405849,-15.8234825,-43.67895,38.465733,0.0
27.454176,-1.927813,-19.79442,-46.449543,40.5256,0.0887592
30.042242,0.8126986,-20.93734,-47.96558,42.91506,0.07192384
30.008081,-0.9243941,-19.269224,-49.201874,43.139423,0.1343054
28.666716,-0.7525854,-17.904789,-51.05865,41.133656,0.086113065
27.476488,-0.61702985,-15.899394,-50.35467,39.103687,0.079528116
26.743586,-1.8014755,-13.361848,-49.411312,39.25987,0.02528089
27.902649,-1.564993,-13.564879,-50.213715,0.0,0.0
29.749933,-3.673795,-8.78678,-42.907787,0.0,0.0
30.900787,-2.1601653,-9.666591,-39.95268,0.0,0.0
31.161194,-4.751967,-8.766002,-32.072945,0.0,0.0
32.069736,-4.5258493,-11.355823,-28.330803,0.0,0.0
31.857061,-7.853808,-10.226733,-24.344744,0.0,0.0
33.40098,-6.7097015,-7.1621723,-21.766273,32.60797,0.0
34.830612,-3.7474587,-6.612331,-21.221237,32.854,0.0
37.243595,0.6438567,-4.329104,-16.61392,33.341988,0.0
38.084675,5.101629,-0.25787768,-11.152046,33.64715,0.05122929
37.240887,5.337131,5.791099,-4.6411986,33.821625,0.046699997
37.41931,6.555687,9.0761595,-2.5158765,33.78802,0.04872882
36.53713,4.020735,11.355401,0.2169292,33.654476,0.054617465
37.283966,2.99693,12.264302,0.18814898,33.34876,0.056904543
35.633736,1.2020427,11.6131315,0.9548667,33.047398,0.047503084
34.250156,-0.88441724,4.5796666,-7.1262054,32.809494,0.02036954
32.182343,-2.8173187,-0.8334567,-14.873596,32.685192,0.010952719
30.693497,-6.0813065,-3.163863,-21.76742,32.5602,0.009249774
28.60789,-8.379428,-1.7836742,-21.961233,32.392567,0.009586076
25.97095,-11.580399,0.49200186,-20.68516,32.2303,0.0052213618
23.201048,-13.241868,2.3573477,-18.944624,32.101215,0.0046058525
21.076937,-15.059596,5.4461217,-16.534872,31.958487,0.005385606
18.034088,-16.15145,8.978152,-15.324314,31.768152,0.0050978875
17.508062,-17.433418,11.028481,-16.008512,31.537537,0.006157696
19.594898,-15.286327,12.135242,-12.996757,31.367376,0.0052199825
25.010866,-10.540078,11.560489,-14.6460495,31.290253,0.006682535
29.713037,-4.0232854,11.9050865,-16.874458,0.0,0.0
32.51294,0.11154294,11.461735,-22.24277,0.0,0.0
33.61014,2.1744788,9.469951,-25.00411,0.0,0.0
34.77596,5.3519797,8.740571,-23.132929,0.0,0.0
36.64886,10.564645,10.644931,-22.154646,28.206226,0.0
36.27031,15.179424,13.932776,-21.967058,28.230936,0.0
36.10023,19.074036,15.063912,-26.905542,28.24056,0.05556363
34.858334,20.278992,14.000187,-30.302917,28.122896,0.05111294
35.213093,19.52997,12.5300255,-32.607,27.93146,0.033891816
33.952938,14.169553,10.756696,-31.912302,27.708138,0.022171875
32.04573,7.8332214,10.486642,-29.997736,27.464743,0.014026468
30.01814,-0.26578712,10.252444,-24.517572,27.234642,0.018138055
26.369553,-7.00444,11.375458,-17.459213,27.008347,0.018761486
23.690851,-12.031528,13.613164,-14.825848,26.766533,0.01467859
20.344471,-12.560966,18.092335,-13.253689,26.443825,0.012819852
18.945505,-10.612341,22.674025,-15.23319,26.100988,0.009888673
16.089117,-9.906707,21.996786,-16.289865,25.89091,0.008909081
15.421295,-8.091974,22.430326,-17.538042,25.801336,0.014266476
14.821086,-6.7808375,23.655472,-16.997114,25.820307,0.016267518
16.560972,-4.62732,27.031939,-17.20077,25.812323,0.015452542
16.911964,-2.9529295,28.539469,-18.076572,25.876165,0.0069989203
17.83773,-0.37631416,34.380203,-14.2532625,25.960135,0.0040768925
17.283548,1.9827281,39.796566,-9.870761,26.07475,0.008074049
16.774284,3.4088783,41.758404,-11.188496,26.160751,0.006372986
18.162336,5.384032,37.92111,-14.507187,26.177046,0.0062826797
18.704931,7.672877,35.021442,-15.527755,26.182701,0.004645494
21.641808,11.367274,35.7305,-8.840599,26.174524,0.0054922625
23.536417,15.565755,35.791798,-7.641945,26.164988,0.010527477
27.0911,18.520302,36.20538,-7.659879,26.162785,0.012179783
27.613092,20.237906,34.613575,-6.9838614,0.0,0.0
25.857718,20.126915,32.55474,-2.2733495,0.0,0.0
21.848028,22.502108,26.966429,3.474273,0.0,0.0
14.432266,25.12337,19.598341,6.6875873,0.0,0.0
7.378865,27.495249,13.36362,8.282506,0.0,0.0
2.199714,27.575233,11.258885,9.504209,0.0,0.0
0.021184921,24.929586,12.962298,8.087072,0.0,0.0
2.0131903,22.579855,17.67895,10.515625,26.843678,0.0
8.214828,19.841333,22.696318,12.657886,26.668938,0.0
15.843595,17.958351,27.419561,16.416079,26.346998,0.07428881
21.824717,14.517906,26.685175,12.875842,26.07486,0.061683524
24.33123,12.494643,26.3797,5.803496,25.886862,0.042366188
28.17601,12.968941,25.76326,3.0560837,25.789806,0.026404878
29.5002,14.411095,27.653564,5.8482423,0.0,0.0
30.543676,17.275023,27.301268,7.6490417,0.0,0.0
30.11049,19.57459,27.196524,6.2988815,0.0,0.0
30.38128,18.848835,27.38399,3.093028,0.0,0.0
30.742544,17.59263,30.287094,4.681236,0.0,0.0
30.167786,15.498179,31.767847,5.9578176,23.74586,0.0
29.046707,15.461385,30.750494,10.568422,23.823236,0.05594398
28.45346,17.7583,31.162428,11.120015,23.93339,0.051717803
29.244766,18.921753,28.377289,14.588315,24.039202,0.056419194
30.308096,20.692507,30.519026,16.777626,24.179329,0.038241647
31.408081,20.401451,28.184977,21.832438,24.391464,0.024201138
32.249725,21.396917,29.937048,22.53066,24.608643,0.00737717
33.474056,22.751854,27.548052,19.996458,28.769455,0.18719314
32.791943,23.569399,28.096647,16.89093,32.87419,0.2089159
32.52668,23.588417,27.782957,15.920024,36.934845,0.2151916
31.991081,24.39945,27.74312,16.25109,36.991642,0.04054697
32.62266,24.75566,27.352762,16.63527,37.044605,0.020693833
31.762632,22.784065,26.43511,16.970816,37.063793,0.015455139
29.80223,19.219763,30.36968,15.070263,37.03776,0.024928147
26.986794,16.072535,35.255615,11.255935,36.98645,0.03399263
24.425049,16.199488,42.829662,6.3223376,36.964123,0.036250938
22.738043,17.047935,48.192078,2.8012264,36.976955,0.03818125
22.45073,18.174576,51.403915,1.2085302,37.006477,0.03897726
22.467855,18.801739,53.82253,0.15351014,37.017857,0.052095998
22.198992,18.944914,54.28958,1.1507688,36.999783,0.05011353
20.739733,17.842253,54.95668,1.9461418,36.97196,0.057210416
19.974985,15.666692,55.023224,4.569233,37.036213,0.048754077
20.706177,14.150411,53.433735,8.248506,37.075626,0.047072567
21.846594,13.72332,50.47617,8.242303,0.0,0.0
23.121119,16.170233,49.69537,11.18863,0.0,0.0
23.583746,19.013657,48.326008,10.815572,0.0,0.0
23.50998,19.591085,42.86082,17.883034,0.0,0.0
21.069923,16.123604,37.649654,18.731134,0.0,0.0
18.979528,12.138984,40.452724,20.400532,0.0,0.0
17.726158,8.927701,47.552937,16.87962,0.0,0.0
18.638147,9.237492,52.71461,12.434032,0.0,0.0
