mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.014185,22.313501,7.1143937,-1.7138928,0.0,0.0
22.021906,23.655472,10.159499,1.5885803,0.0,0.0
22.480042,26.084435,13.055747,3.6579607,0.0,0.0
24.065634,28.189875,16.096899,6.735298,0.0,0.0
24.092606,26.663328,14.69978,3.6902075,0.0,0.0
23.506979,25.08206,14.273124,3.5218983,0.0,0.0
21.770472,22.344803,10.454777,2.7779014,0.0,0.0
21.413603,21.616495,10.3678055,4.281375,0.0,0.0
21.723227,22.540573,11.6404295,6.8331127,0.0,0.0
22.239405,23.42985,14.244064,7.714235,0.0,0.0
23.61939,26.42382,18.683235,10.154494,0.0,0.0
23.601515,26.249718,18.998423,9.782482,0.0,0.0
22.722158,28.531332,21.006561,14.4698105,0.0,0.0
21.741144,28.224195,18.680794,13.208481,0.0,0.0
22.06684,27.797922,17.893568,10.157377,0.0,0.0
22.375349,26.817436,16.854534,5.1412177,0.0,0.0
22.449854,25.100174,14.627126,4.793507,0.0,0.0
20.658066,24.184168,14.806427,8.613041,0.0,0.0
20.97164,25.129822,16.44561,12.685506,0.0,0.0
21.996424,26.767212,17.322603,15.824863,0.0,0.0
23.731977,26.37828,14.3504305,12.785728,0.0,0.0
24.019533,25.349085,12.525753,8.6953,0.0,0.0
22.511873,25.58316,14.567355,4.4407344,0.0,0.0
22.46213,28.245445,16.348452,2.571948,0.0,0.0
21.344683,27.114721,17.41299,2.5145977,0.0,0.0
22.037832,28.053606,19.04761,2.571829,0.0,0.0
22.489395,27.663767,21.21479,6.692167,0.0,0.0
23.276436,28.960653,19.948822,6.256581,0.0,0.0
23.450922,26.675734,19.373259,12.679349,0.0,0.0
23.443056,26.081919,17.491152,13.396398,0.0,0.0
23.005157,24.621109,16.541674,15.213891,0.0,0.0
22.625639,25.275335,14.593526,9.244794,0.0,0.0
21.800552,24.090803,14.827882,4.9129953,0.0,0.0
22.285452,24.586548,16.020548,2.773359,0.0,0.0
21.855852,23.354498,15.456539,0.893543,0.0,0.0
22.354597,24.945679,15.738469,1.1862952,0.0,0.0
23.23638,26.02059,11.779805,0.53622836,0.0,0.0
22.091612,25.898764,10.461934,2.627551,0.0,0.0
21.261925,25.462023,9.477577,2.4981618,0.0,0.0
19.967728,25.050873,13.290756,5.147803,0.0,0.0
22.439009,26.39177,13.6362505,4.207449,0.0,0.0
22.58774,25.019464,13.159446,4.890307,0.0,0.0
21.271257,22.483229,12.922028,5.6450934,0.0,0.0
20.586437,11.272751,11.953443,5.4160004,0.0,0.0
21.903452,-2.8171246,9.398559,-0.8049784,32.93921,0.0
25.023615,-13.871316,7.4576964,-9.859472,32.965942,0.0
27.739279,-13.753591,8.461188,-15.760334,33.044197,0.0
29.81148,-7.3985233,13.231987,-16.465385,33.180077,0.036320936
31.46045,-1.840929,15.488629,-14.771884,33.296764,0.027090088
31.308037,3.027273,16.937405,-18.729452,33.360374,0.012263149
30.984146,7.7849464,19.506258,-24.037077,33.38652,0.0115173375
30.411957,13.020149,20.040771,-27.772371,33.47577,0.01186064
28.84664,18.955666,20.969893,-23.365908,33.534554,0.010042714
25.547546,23.59744,14.374397,-15.270396,0.0,0.0
21.314508,27.814224,10.090255,-8.810538,0.0,0.0
17.675344,30.101507,4.399669,-7.3187356,0.0,0.0
14.959008,32.18128,2.943483,-5.614042,0.0,0.0
13.153778,32.62064,3.2817981,-2.4124413,0.0,0.0
10.8890505,33.97814,6.0737534,3.2161367,0.0,0.0
10.576765,33.982464,9.609358,5.93887,0.0,0.0
10.188301,34.613056,12.112442,7.818075,0.0,0.0
12.185242,32.826572,17.667925,9.003446,37.631924,0.0
17.067656,27.996656,22.31427,3.5382016,37.544487,0.0
21.202349,20.51861,28.104462,-8.718337,37.41196,0.0
23.215712,12.039237,30.022827,-21.357376,37.37254,0.010740161
21.89044,8.164756,33.810417,-30.55173,37.443893,0.010348484
21.850533,7.1640015,34.75588,-37.41608,37.56474,0.008030339
23.157715,9.007171,36.830887,-46.07788,37.923035,0.007659933
24.231956,9.10144,35.810104,-47.89133,38.197372,0.005678313
24.172823,9.83863,33.543865,-45.673553,38.435986,0.0058154357
26.448303,12.796425,29.295301,-36.780754,38.494995,0.0056270272
29.75492,18.290329,28.955153,-29.772806,38.698544,0.0067839413
33.18735,22.523558,26.333376,-23.42878,38.90642,0.007951939
34.832127,25.061605,23.413927,-21.504313,38.9547,0.009979445
34.787704,26.814722,19.886154,-17.791712,38.969856,0.013140573
36.801426,28.455711,18.79856,-16.17695,38.969147,0.014018264
36.744473,30.728806,18.542356,-13.461907,38.994656,0.010958974
36.203632,30.884455,14.646083,-16.0793,38.96921,0.013593469
33.921703,30.553024,14.553764,-11.050033,38.948322,0.019599386
32.925335,29.857382,15.105237,-8.71605,38.945515,0.022059225
28.17823,22.552649,20.873367,0.565386,38.925037,0.020849898
22.857195,17.549032,24.706976,0.21588679,0.0,0.0
19.02552,11.692752,27.34466,-2.6215112,0.0,0.0
21.433617,11.302475,23.210016,-12.014693,0.0,0.0
25.685669,10.690494,19.589748,-15.474008,0.0,0.0
28.994616,8.169677,14.302349,-14.110912,0.0,0.0
29.249182,7.7290154,10.227315,-9.869171,0.0,0.0
27.817747,8.769695,9.37283,-8.986274,0.0,0.0
26.713829,13.591964,8.453471,-6.5261855,0.0,0.0
26.35881,17.562454,11.311904,-3.7318687,0.0,0.0
27.289978,19.175222,9.296043,-0.9506534,0.0,0.0
27.173487,12.740861,9.817349,5.5914803,0.0,0.0
27.207483,1.126304,6.20829,13.740344,0.0,0.0
25.942984,-11.29621,2.0626523,13.8603945,0.0,0.0
25.17713,-17.63868,-1.4487834,6.91135,32.99771,0.0
26.538393,-15.639557,-2.1432693,-3.2525566,32.97177,0.0
30.43482,-10.679881,1.057633,-6.1861596,32.88606,0.0
33.21441,-3.9725192,5.438682,-7.5418534,32.77277,0.0075122565
35.61478,1.6956987,8.666652,-9.499543,32.707592,0.010855521
36.17111,6.412123,12.239765,-8.916665,32.60341,0.012286667
37.071667,9.86836,14.42982,-7.693765,32.56842,0.016473852
35.10304,12.524413,16.928352,-6.400472,0.0,0.0
30.27432,12.907121,15.612709,-6.102181,0.0,0.0
22.96724,15.897574,17.832167,-10.906502,0.0,0.0
16.364176,19.928085,19.648573,-12.387343,0.0,0.0
12.12061,26.543556,20.577284,-14.981976,0.0,0.0
9.114671,33.16454,17.802639,-10.228309,0.0,0.0
6.530494,37.23817,12.712855,-2.6628819,0.0,0.0
2.8596983,37.61116,6.9589386,4.0115438,0.0,0.0
1.9356394,34.83637,0.62612605,6.965139,0.0,0.0
1.6817478,33.885414,-0.99512905,7.2925878,0.0,0.0
2.4485855,36.6719,3.201727,9.435037,0.0,0.0
0.14913876,37.618534,7.3862576,14.194287,0.0,0.0
-1.1665592,39.17533,10.924751,16.50429,0.0,0.0
-3.866912,35.310356,9.694808,16.508394,0.0,0.0
-3.44707,35.0611,11.833698,10.072883,0.0,0.0
-3.4364488,31.23105,15.364784,6.4338164,35.553192,0.0
3.5441263,32.425877,19.823236,2.6343963,35.471493,0.0
10.505372,30.692713,25.114206,-1.4508098,35.313473,0.0
15.935056,29.52729,31.761248,-9.420836,35.138153,0.0
15.261803,25.816645,38.99912,-21.3713,34.72184,0.01840923
14.024498,21.743544,43.266754,-30.456076,34.28549,0.013946495
14.943067,22.388023,46.982494,-37.593643,33.909763,0.014173407
17.252016,22.597305,48.76576,-36.656204,33.8114,0.012374733
20.706657,23.875544,49.92751,-33.876637,33.716408,0.020660216
23.474287,23.03995,47.748825,-29.208206,33.589584,0.013602099
27.012796,23.230963,45.437466,-23.149109,33.444748,0.012413368
30.81759,24.85679,41.06575,-15.720408,33.304825,0.006778859
34.98576,25.918695,36.398006,-9.51329,33.142307,0.010726302
37.43602,28.316557,30.722822,-7.236341,33.032417,0.019051379
37.935055,31.519852,26.354307,-6.6622148,32.977226,0.01897484
34.21674,37.550835,21.455238,-2.30788,32.99031,0.022520967
32.980263,41.044056,19.387793,4.2218504,0.0,0.0
31.902733,41.61677,16.691668,5.4221845,0.0,0.0
33.898487,37.369854,15.227475,2.804579,0.0,0.0
35.152355,36.47171,13.742766,-0.975859,0.0,0.0
34.360287,31.293295,12.608875,1.9752951,0.0,0.0
34.377125,24.770353,12.071782,5.7226524,0.0,0.0
32.533558,15.56977,15.259376,9.5792,0.0,0.0
31.543158,11.020664,15.561225,7.9231687,28.43535,0.0
31.079504,12.775609,17.014868,1.6409831,28.454468,0.02092372
32.01275,16.357613,13.935632,-5.4734845,28.472809,0.02092372
33.295216,19.920906,15.551066,-6.3111057,0.0,0.0
32.11381,19.892437,12.85657,-2.073783,0.0,0.0
26.610334,21.877214,10.468654,5.8871155,0.0,0.0
18.79938,26.267447,6.901633,11.056225,0.0,0.0
11.7040205,31.250977,7.3020625,16.185183,0.0,0.0
8.280255,35.18305,8.022166,16.395767,0.0,0.0
5.401956,33.941822,8.3716755,15.57076,0.0,0.0
4.8476067,36.683758,8.127564,12.915006,0.0,0.0
1.8535252,35.788837,3.0973644,9.920623,0.0,0.0
1.1400263,39.08935,1.9168501,12.868894,0.0,0.0
-1.2712399,37.83834,-2.257933,11.68325,0.0,0.0
-0.81710833,39.34431,1.4201727,15.099881,0.0,0.0
3.327736,37.923473,-3.6637192,7.0428567,0.0,0.0
8.059893,36.686077,-2.7470865,3.5785816,0.0,0.0
13.4017,35.510166,-3.6445463,0.45425177,0.0,0.0
15.941143,35.668324,2.0489528,3.093693,0.0,0.0
19.048727,35.760998,5.216923,6.204861,0.0,0.0
20.913025,32.736454,7.470197,5.4269843,0.0,0.0
21.413277,31.904871,12.935452,6.2921567,0.0,0.0
21.703423,28.992746,16.271126,7.0435257,0.0,0.0
22.223093,22.741129,13.776211,5.529753,29.016762,0.0
28.079508,16.453321,3.2938697,-2.7322948,28.956354,0.0
32.253883,10.946174,-4.942651,-11.640851,28.852407,0.0
38.414974,11.509491,-7.8599033,-17.64105,28.772387,0.0
38.751453,12.91145,-5.8207417,-16.281395,28.727325,0.022734348
40.040615,16.24161,-5.636343,-13.379472,28.73105,0.016880022
38.26092,17.906885,-3.393136,-6.5336366,28.772104,0.019697638
36.059605,17.966917,-1.8787702,-4.213048,28.807981,0.018066805
32.00576,20.268372,2.997915,-1.3748116,0.0,0.0
27.356888,23.00093,6.9001794,-2.5011055,0.0,0.0
22.504885,24.595621,9.815913,0.15142764,0.0,0.0
19.606739,23.74048,12.494464,5.490988,0.0,0.0
17.526407,21.399078,12.902043,7.7513947,0.0,0.0
18.092878,20.027428,11.71461,9.879746,0.0,0.0
17.53111,17.824911,8.730606,7.8142376,0.0,0.0
18.2068,17.122232,8.410457,10.751317,0.0,0.0
21.237265,19.574,8.781479,7.190661,0.0,0.0
26.70841,21.543053,5.609848,-3.9652424,0.0,0.0
32.490467,25.594751,0.6736427,-17.953703,0.0,0.0
36.08227,26.281645,-3.402037,-26.292892,0.0,0.0
36.862896,26.786911,-5.5970554,-27.320969,0.0,0.0
38.477554,27.209726,-4.334669,-25.528915,0.0,0.0
37.73404,27.202093,-4.092158,-23.518248,0.0,0.0
36.401768,27.59786,-2.7925384,-21.744772,27.925404,0.0
33.969635,25.90139,-4.315417,-19.815025,27.832047,0.0
