mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
20.346428,30.23053,21.248236,14.772579,0.0,0.0
20.935457,29.785822,21.224182,13.441875,0.0,0.0
22.27516,30.23837,20.511915,12.021146,0.0,0.0
21.357473,29.563887,20.88812,10.496778,0.0,0.0
20.09548,29.57193,19.934303,8.962097,0.0,0.0
18.42195,28.01468,19.708502,9.433987,0.0,0.0
17.549217,26.071493,18.754097,14.593223,0.0,0.0
16.382639,27.395063,16.365763,18.634672,0.0,0.0
15.91644,27.694365,13.841492,16.509169,0.0,0.0
17.036488,30.66446,14.146588,13.400332,0.0,0.0
17.697649,26.953842,14.874747,8.438383,0.0,0.0
16.053913,22.565905,16.122145,7.214848,0.0,0.0
14.017609,18.305483,14.719033,4.045661,0.0,0.0
12.241787,15.532257,14.834706,1.9635657,0.0,0.0
11.189376,12.909131,16.475403,-0.9758126,0.0,0.0
6.911918,6.8658423,19.756767,-1.546471,0.0,0.0
5.204627,1.6766373,22.905436,0.74420327,0.0,0.0
3.673543,0.8626581,25.327997,4.7045817,0.0,0.0
5.2494617,1.4991649,24.279829,6.40513,0.0,0.0
3.6746254,0.4718237,23.196325,5.2022195,0.0,0.0
3.6812546,-1.2411724,22.98963,5.0136104,0.0,0.0
3.0330899,-1.8228221,25.434113,8.509463,0.0,0.0
2.9109993,-1.0166652,21.868805,9.236955,0.0,0.0
1.6913195,-1.0695399,16.83204,10.266949,0.0,0.0
-0.52996397,-1.3995886,12.4464035,10.188079,0.0,0.0
-1.445787,-0.72585684,13.713547,12.780804,0.0,0.0
-2.7684257,-0.75849,14.76963,12.871441,0.0,0.0
-2.2035196,-0.04737846,14.53812,13.068309,0.0,0.0
-2.941883,0.030881107,12.067098,12.772317,0.0,0.0
-1.1917816,2.5377667,10.01389,13.44136,0.0,0.0
-0.7876325,2.7852805,8.941636,14.749242,0.0,0.0
0.5486428,2.8047745,9.863471,19.032413,0.0,0.0
-1.1027399,0.40672097,10.707615,24.102379,0.0,0.0
-2.9241316,0.8039365,10.530826,24.626524,0.0,0.0
-3.2760775,0.099402346,10.231618,22.38894,0.0,0.0
-2.0472894,-2.2557874,5.71388,19.171858,0.0,0.0
-1.1262813,-7.3707767,0.5987765,17.890022,0.0,0.0
2.1910813,-10.412398,-2.7435653,19.828302,0.0,0.0
6.3057475,-10.408657,-1.9506322,19.806755,0.0,0.0
11.998302,-9.937762,0.4990631,24.623495,0.0,0.0
15.397736,-7.4304843,1.6336604,23.513641,0.0,0.0
16.700659,-6.457317,3.1454422,24.39772,0.0,0.0
16.503347,-2.976988,5.608825,21.261389,0.0,0.0
15.664884,-1.327958,7.66741,20.071999,0.0,0.0
15.91009,1.4067656,7.0581794,16.089186,0.0,0.0
20.984873,0.017292658,1.3703927,6.636317,0.0,0.0
25.39919,-6.4972153,-5.594839,-5.458985,49.770103,0.0
30.954493,-12.852478,-14.171066,-17.237284,49.77667,0.06945534
32.129166,-16.951574,-21.505438,-23.360863,49.78748,0.049612865
32.756966,-15.109299,-24.078573,-20.79981,49.763447,0.02980096
31.80668,-11.809571,-21.532684,-18.189737,49.686787,0.008421536
33.095646,-8.333263,-17.5488,-19.022509,49.490734,0.009190969
34.314228,-4.711357,-17.256224,-27.417765,49.156895,0.011092369
35.484886,-4.5761986,-19.11926,-35.772034,48.81966,0.01117548
32.814564,-4.667942,-14.792187,-40.53499,48.59226,0.010374005
30.369844,-8.747783,-8.7025585,-41.5622,48.268444,0.008240697
25.153824,-13.226814,-3.9119263,-37.694546,47.932556,0.007046998
19.34492,-18.596624,-5.6044335,-33.665398,47.643967,0.005654601
17.423956,-18.805056,-7.1204505,-32.145214,0.0,0.0
19.655169,-16.54039,-6.5667653,-29.52034,0.0,0.0
24.794611,-12.702817,-6.454075,-29.214592,0.0,0.0
28.094122,-7.7280946,-4.4858003,-24.808996,47.506973,0.015760306
31.48734,-1.6834875,-5.3885055,-26.142279,47.41542,0.03138399
32.69749,4.75981,-6.0909705,-29.811136,46.758026,0.031345677
32.55087,8.984073,-6.3067856,-31.337267,46.066116,0.026630605
28.784027,5.170831,-8.265041,-34.258923,45.401653,0.016026072
26.034105,-0.1309994,-11.189743,-34.94827,45.285873,0.022678517
21.411234,-8.172281,-16.487072,-40.849766,45.211502,0.028814845
16.920055,-12.782951,-16.72259,-42.595387,45.20175,0.02262813
12.839473,-18.522942,-11.5608015,-40.876476,45.246586,0.014743638
9.798344,-20.652498,-3.8698158,-33.3474,45.340057,0.0087081175
8.6311655,-18.069153,3.0034764,-28.196798,45.41577,0.005698254
8.60302,-15.594772,0.96504116,-34.194473,45.423527,0.004886887
8.540615,-16.348553,-2.438982,-43.02975,45.379406,0.006254256
8.307891,-18.733217,-4.94801,-48.972458,45.340637,0.009062904
8.939792,-19.766642,-2.94513,-43.728855,45.348454,0.010562603
12.134334,-18.207087,0.17071755,-37.22925,45.375782,0.01265207
17.303,-17.18243,1.0567776,-33.099007,45.934505,0.014458398
19.10649,-13.550502,4.865331,-28.611855,46.5132,0.017072955
22.22853,-9.2982855,6.3088975,-29.728731,47.058346,0.017072955
23.388016,-3.6572933,7.967541,-31.316584,0.0,0.0
25.228989,0.7184116,9.467003,-29.114965,0.0,0.0
23.318457,2.2840118,8.651711,-24.245087,48.877716,0.0
18.465014,-1.9444987,5.465422,-21.657654,48.892788,0.0
16.58851,-6.372481,0.34222698,-25.064186,48.990616,0.007887629
15.560757,-10.476142,-4.001104,-28.20584,49.17387,0.012982473
18.275122,-8.973319,-1.8361007,-25.777115,49.387894,0.018159436
20.764467,-8.531758,-0.4289845,-23.807592,49.56093,0.019672327
24.42298,-6.8458943,-0.22292821,-21.20788,49.618996,0.01792241
