mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.976135,27.013512,12.069173,15.800221,0.0,0.0
22.208977,27.99228,11.994839,15.552844,0.0,0.0
22.16239,30.71814,13.413025,14.450398,0.0,0.0
21.170883,30.387884,14.682439,15.576515,0.0,0.0
21.720541,30.648031,14.899802,15.355723,0.0,0.0
22.76558,29.841293,13.627742,17.342787,0.0,0.0
22.385689,29.520727,10.63737,15.556445,0.0,0.0
22.627113,30.271154,12.600865,16.228685,0.0,0.0
21.305716,28.935003,10.876119,12.503387,0.0,0.0
21.389368,25.599047,10.949971,10.822056,0.0,0.0
21.437098,23.553843,6.928873,8.13624,0.0,0.0
22.171333,23.35417,8.342789,9.168916,12.9444275,0.0
24.374887,25.642302,7.7959657,9.643477,12.711226,0.0
24.924606,26.996504,9.553979,10.159704,12.66219,0.0
23.666412,26.822714,11.147479,13.867775,12.663289,0.0
21.288439,26.050882,10.941556,14.592343,0.0,0.0
22.041054,27.130693,13.7426605,17.637709,0.0,0.0
23.335432,28.096087,13.63404,15.2134905,0.0,0.0
24.39382,30.657503,17.273626,16.311022,0.0,0.0
23.346056,30.84941,16.062769,16.875679,0.0,0.0
23.466415,31.710321,16.15751,16.233969,0.0,0.0
23.379776,31.537573,15.307872,15.143069,0.0,0.0
23.269133,31.151094,13.573606,12.440659,0.0,0.0
23.241478,30.228249,14.696632,13.036877,0.0,0.0
23.519562,30.39672,15.807277,12.19016,0.0,0.0
22.64411,28.555613,16.77878,13.940903,0.0,0.0
23.086975,28.248598,15.717244,16.61397,0.0,0.0
22.490065,28.249334,15.571179,17.781244,0.0,0.0
23.795479,30.349176,17.699333,15.435474,0.0,0.0
23.72764,30.437576,17.423332,13.468829,0.0,0.0
23.832825,28.193121,15.9624815,15.143323,0.0,0.0
22.861647,26.003603,12.237115,15.913749,0.0,0.0
22.063185,26.584375,7.9030414,13.727502,0.0,0.0
22.178183,27.86242,5.1749043,8.866663,0.0,0.0
21.827711,28.55105,5.2291465,8.002023,0.0,0.0
21.138498,28.121206,7.3300643,7.917351,0.0,0.0
21.038431,26.44837,8.533218,12.666255,0.0,0.0
21.71816,26.785585,10.206622,12.128304,0.0,0.0
21.626657,25.934317,11.465419,12.716878,0.0,0.0
22.165016,28.270355,12.394603,11.63613,0.0,0.0
22.942945,29.430288,11.689382,11.78799,12.340988,0.0
24.783297,30.512053,13.488446,12.981492,12.278913,0.0
25.278816,29.83399,16.672068,14.011441,12.40686,0.0
25.208672,28.931147,17.092672,16.870493,12.542801,0.0
25.007826,30.345098,16.290678,18.028452,12.628085,0.021791771
25.21974,31.962769,15.624847,19.587273,12.573507,0.0
24.758623,32.152103,15.268356,19.457008,0.0,0.0
24.912622,29.915253,14.70652,18.073195,0.0,0.0
23.561607,26.727491,11.457348,12.710461,0.0,0.0
23.630096,25.59852,9.657929,10.383445,0.0,0.0
22.498503,26.031881,7.565946,9.106534,0.0,0.0
21.983088,25.52098,7.6743145,8.442569,0.0,0.0
21.363058,23.111559,7.302883,7.765192,0.0,0.0
21.378439,20.70339,5.702984,6.9890537,0.0,0.0
21.339106,19.33912,6.1359153,7.084455,0.0,0.0
20.257662,17.219038,5.776247,7.6288095,0.0,0.0
20.348492,12.367737,5.576935,8.847668,0.0,0.0
22.856127,5.214689,2.377902,10.253627,0.0,0.0
24.3499,-3.7438357,1.7586865,10.03555,0.0,0.0
24.93804,-9.05693,2.1110442,7.496348,24.405159,0.0
24.78903,-9.86094,4.3709283,5.6028934,24.56602,0.0154802585
27.1486,-6.594854,6.584734,3.3575256,24.895279,0.014853336
28.808739,-5.6221604,5.2433977,5.128237,25.10095,0.017598704
31.668207,-6.455868,0.23233669,5.3036237,25.106833,0.019249387
33.173233,-4.7680936,-4.406227,3.2022007,24.984457,0.0322648
35.99638,-0.27311945,-3.9900396,-0.5500532,24.855133,0.03402519
36.734356,6.0458674,-0.5166649,-2.7643118,24.81043,0.038244344
38.073795,12.179855,2.8348713,-5.455809,24.828506,0.021550613
37.40846,18.481274,5.702825,-8.005385,24.83419,0.009928361
37.155945,24.219084,7.843975,-7.0459957,24.881277,0.00251239
36.165768,26.924263,9.203975,-3.1466866,24.942429,0.0062746243
36.79808,26.433954,8.952557,-3.8455718,25.038202,0.0105144335
37.44598,24.2895,8.374145,-8.709329,25.143585,0.011823085
38.044937,19.190619,2.2541444,-14.660464,25.244242,0.012392454
37.26937,11.626073,-3.4324434,-16.13808,25.340685,0.006705135
35.522015,1.8729881,-9.313335,-13.068189,25.425812,0.00878449
34.513367,-5.7571864,-10.308667,-3.4191544,25.456564,0.0053970646
32.852077,-9.400336,-13.303142,7.5349083,0.0,0.0
33.4036,-6.951998,-13.012412,15.173085,0.0,0.0
33.83283,-3.2938097,-10.791229,16.052767,0.0,0.0
35.375225,2.0109003,-3.774972,16.470238,0.0,0.0
35.610554,4.7502255,1.1946526,15.348094,26.39156,0.0
34.395714,4.1554856,2.7571385,23.045832,26.465006,0.0
33.104275,0.026253382,2.4823647,30.094238,26.596945,0.006271761
31.995386,-4.9626384,2.2663963,36.642147,26.689566,0.007815697
33.32045,-6.2618465,3.029887,32.50342,26.704165,0.012117792
34.60025,-5.2623405,2.6254041,23.159348,26.62937,0.012120533
34.964794,-3.8164032,-0.7857521,14.083293,26.491493,0.013239025
35.03017,-0.9500764,-3.2100174,5.9629025,26.30021,0.007856571
35.340607,0.30951488,-7.9147773,1.5451595,25.830843,0.00915728
36.277534,4.028548,-7.9483314,-2.1120975,25.254562,0.0063209157
36.652267,5.496966,-10.100036,-2.5458474,24.67775,0.007227339
36.759808,8.894883,-7.430227,-4.3174872,24.265894,0.0057499544
38.49921,13.14442,-4.500008,-6.2909904,23.936747,0.035382625
39.871998,18.644793,0.9667435,-9.207992,23.720503,0.03402865
40.631138,23.797045,4.284097,-11.751892,23.666222,0.035218038
40.071323,24.785704,4.585636,-16.60528,23.657007,0.025691105
40.09569,21.264517,0.93493843,-21.439219,23.55831,0.03686655
40.029804,13.410232,-4.5603766,-19.721285,23.432772,0.03796372
38.687397,5.1192527,-8.172597,-12.037271,23.394281,0.01872831
36.621098,1.0509609,-6.674354,-2.6011312,23.441406,0.007684846
34.620537,1.4523758,-3.4980538,1.7453772,23.5061,0.0052224556
31.897186,6.7165046,-3.998368,2.4023235,0.0,0.0
31.715975,9.645371,-5.5862045,1.5317297,0.0,0.0
31.99598,13.62616,-4.413298,3.8301013,0.0,0.0
32.322853,13.276475,-1.4384017,5.229457,0.0,0.0
31.240318,16.465233,2.3879588,7.242304,0.0,0.0
28.742645,18.519808,1.7256876,6.2759776,0.0,0.0
28.544676,23.4191,2.3367164,7.512409,0.0,0.0
26.455454,25.929144,1.9803553,5.7775016,0.0,0.0
22.652761,25.735853,8.547316,9.186509,0.0,0.0
18.749504,21.836618,12.202306,12.834603,0.0,0.0
15.794182,21.037863,15.361966,20.555227,0.0,0.0
18.600883,19.407114,14.872002,20.073782,0.0,0.0
22.714058,18.008064,16.023588,16.399405,0.0,0.0
25.086645,14.216371,15.842255,13.845948,0.0,0.0
22.949224,18.150091,18.961227,11.843879,0.0,0.0
12.82666,26.190428,13.475811,11.376762,0.0,0.0
2.389593,31.923454,10.943752,7.864118,0.0,0.0
-4.92921,34.814648,3.5507362,7.061365,0.0,0.0
-8.128601,32.428318,5.567058,7.4999213,0.0,0.0
-9.222605,32.854206,5.3897347,8.004852,0.0,0.0
-10.788586,31.929316,5.932368,8.5599985,0.0,0.0
-11.179309,31.361757,5.467462,5.505959,0.0,0.0
-11.544623,29.69671,5.376501,3.6081488,0.0,0.0
-11.856282,27.42842,4.960155,5.090257,0.0,0.0
-11.637891,27.7735,6.1165833,6.023567,0.0,0.0
-8.857131,27.984716,7.572268,8.2275095,0.0,0.0
-2.6333933,31.408972,9.571315,4.671122,0.0,0.0
6.267114,32.211163,12.019673,8.846503,0.0,0.0
14.493949,30.155159,13.644641,11.7630005,0.0,0.0
19.818016,27.299158,14.541023,15.879166,0.0,0.0
20.722673,28.379288,13.360462,13.2237625,0.0,0.0
19.582325,33.99098,12.548589,11.133468,0.0,0.0
15.263095,37.803967,10.875087,8.869709,0.0,0.0
11.792716,39.979313,8.406226,10.605954,0.0,0.0
7.648197,41.626926,8.084431,6.6067967,0.0,0.0
5.778053,43.670166,8.974536,4.0889945,0.0,0.0
3.3805406,44.241383,13.001355,4.49046,22.800198,0.0
4.641161,44.78186,14.810203,5.1745515,22.818413,0.0
8.158292,42.20395,16.132738,5.310015,22.899208,0.014562301
14.984485,37.378242,14.665669,1.2958386,0.0,0.0
20.266146,30.514246,12.072316,1.6004041,0.0,0.0
23.62436,24.123178,8.53176,0.6755064,0.0,0.0
26.523132,22.165314,7.4879165,1.8410225,0.0,0.0
28.316833,21.080017,8.027701,1.8821813,0.0,0.0
29.478342,24.594086,9.971928,7.3390403,0.0,0.0
28.529291,27.263718,12.52742,9.666242,0.0,0.0
27.46636,30.830633,10.926643,8.497579,0.0,0.0
26.694574,31.941849,10.827277,6.2828693,0.0,0.0
25.758295,32.809147,10.498191,6.38932,0.0,0.0
25.174646,34.176296,14.954251,14.299896,0.0,0.0
24.529358,33.695343,16.322233,16.032444,0.0,0.0
24.43078,30.495773,15.101616,15.163358,0.0,0.0
26.34379,25.387987,11.58984,10.692123,0.0,0.0
29.04004,14.697791,3.8930976,7.414634,0.0,0.0
31.997635,5.7421584,-1.901982,4.4497113,0.0,0.0
31.189814,-1.9644006,-4.552939,3.9125268,0.0,0.0
