mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
26.419386,32.299595,13.562823,11.691074,0.0,0.0
24.670778,31.272589,13.480639,11.119306,0.0,0.0
23.297964,30.16921,14.973015,12.744527,0.0,0.0
20.775911,27.473776,17.936905,11.127688,0.0,0.0
20.92985,24.827578,16.024263,9.999235,0.0,0.0
22.032888,24.105286,14.555776,8.128516,0.0,0.0
24.269587,24.31382,11.708694,6.354506,0.0,0.0
25.357094,26.89335,11.970136,7.8085313,0.0,0.0
24.058939,27.107384,10.384242,7.894825,0.0,0.0
22.24768,28.872538,11.629128,8.927182,0.0,0.0
21.10479,28.311625,10.942547,10.028016,0.0,0.0
21.16732,27.754295,14.745431,13.589854,0.0,0.0
22.575727,26.791212,15.2422,13.250015,0.0,0.0
23.17628,26.780878,15.974346,12.407768,0.0,0.0
23.498352,28.822662,12.820302,11.053,0.0,0.0
22.810867,28.198313,12.232472,13.610698,0.0,0.0
22.857656,30.220535,14.926021,13.691776,0.0,0.0
23.023493,31.036718,16.883919,15.011757,0.0,0.0
22.795433,33.31523,18.903236,14.77386,0.0,0.0
23.065414,31.424986,17.861483,15.408352,0.0,0.0
22.581284,28.72407,16.902697,12.101106,0.0,0.0
23.381811,27.517767,16.157446,10.138583,0.0,0.0
22.685616,27.686014,15.413037,7.49534,0.0,0.0
22.684196,28.423033,16.038862,11.568717,0.0,0.0
23.221128,29.924799,15.695877,13.176612,0.0,0.0
24.28739,32.435543,17.855585,15.386367,0.0,0.0
25.95814,34.21718,15.410548,12.478683,0.0,0.0
26.105429,34.627655,15.005336,11.876984,0.0,0.0
26.158327,33.49408,15.700313,16.482069,0.0,0.0
25.401255,31.255198,14.684223,16.870083,15.513279,0.0
24.001701,28.596329,11.999943,17.083475,14.581116,0.0
22.47776,25.077986,7.8681493,13.610469,12.830821,0.0
21.946754,23.624552,9.545319,16.758112,12.704714,0.0
22.772722,21.965233,11.347522,17.391426,0.0,0.0
23.5581,22.73781,12.353543,19.245695,0.0,0.0
23.03405,23.20078,12.386052,15.033313,0.0,0.0
21.156328,22.843338,10.577357,13.890424,0.0,0.0
20.165018,23.018295,8.846328,7.5145574,0.0,0.0
21.235847,25.119658,11.067151,9.327069,0.0,0.0
23.98304,28.963224,14.107079,9.219857,0.0,0.0
25.821459,30.82786,17.647974,14.456741,13.576695,0.0
26.507492,30.564749,16.363264,13.730666,13.539943,0.0
25.724134,29.92896,15.129474,12.794334,13.637831,0.0
26.218575,29.720003,13.987834,13.304439,0.0,0.0
25.78453,30.923883,14.791336,13.013469,0.0,0.0
25.431938,31.245512,15.21234,12.795817,0.0,0.0
24.720442,30.719162,16.4661,13.949412,0.0,0.0
24.71366,28.285192,15.007207,15.293719,0.0,0.0
26.020752,28.785666,16.838638,16.585106,0.0,0.0
26.602434,28.356176,15.806449,13.249519,0.0,0.0
26.137955,29.780365,18.405306,11.73479,0.0,0.0
25.511736,29.25118,19.056276,14.661649,0.0,0.0
25.502563,31.013567,19.236372,17.530691,0.0,0.0
25.40679,30.172821,16.850883,19.242163,0.0,0.0
23.966974,29.39565,15.236903,17.91553,0.0,0.0
22.54132,28.994787,15.818906,16.372644,0.0,0.0
22.660017,28.864725,17.121607,17.342176,14.060092,0.0
23.871164,28.291544,16.235546,16.159742,13.829646,0.0
23.293047,29.021803,16.971083,17.248068,13.549947,0.03385659
21.729034,28.100624,16.05773,16.408983,13.381025,0.0
21.979513,28.409348,15.638328,16.195543,0.0,0.0
24.21199,27.360695,15.405609,14.639236,0.0,0.0
26.016253,28.968073,12.571008,11.909251,0.0,0.0
26.009356,29.669153,13.226821,11.978989,0.0,0.0
25.840225,29.563295,13.412389,13.562875,0.0,0.0
24.923082,29.772223,17.143663,15.247052,0.0,0.0
24.007307,29.829222,19.04909,11.152654,0.0,0.0
22.029266,29.939005,18.21744,9.639758,0.0,0.0
25.11338,28.513605,12.454522,4.9677663,0.0,0.0
28.068113,25.266996,5.8963695,0.4754251,0.0,0.0
31.669418,21.578375,-1.0520352,-5.697615,0.0,0.0
33.182117,20.022917,-3.171363,-7.245138,0.0,0.0
33.779907,14.994659,-4.696878,-4.9932885,0.0,0.0
33.424297,5.2414618,-6.774771,-5.4872136,26.464314,0.0
