mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
23.394896,17.702648,13.389838,16.923277,0.0,0.0
23.068773,18.38595,12.244008,11.605079,0.0,0.0
22.561897,18.736532,10.390128,6.5785484,0.0,0.0
21.714897,19.131165,10.694722,9.295868,0.0,0.0
21.927763,18.126589,9.215062,8.307126,0.0,0.0
22.104301,17.400717,9.459046,7.9502335,0.0,0.0
22.492376,19.061852,10.633069,7.8316956,0.0,0.0
23.27308,22.596796,13.342267,12.825421,0.0,0.0
23.559608,22.355644,12.860791,15.82209,0.0,0.0
21.189714,17.625826,10.327072,12.249711,0.0,0.0
20.60449,15.611149,10.290821,12.282448,0.0,0.0
21.138351,16.570341,12.230266,11.758537,0.0,0.0
25.127672,21.131052,14.782781,13.833625,0.0,0.0
24.722328,20.740845,10.793132,8.125257,0.0,0.0
23.019354,19.408937,7.3948226,4.697121,0.0,0.0
21.516325,18.470728,7.4562936,6.3395844,0.0,0.0
21.701315,17.041412,9.011912,10.811207,0.0,0.0
23.492136,19.224447,10.19101,11.518058,0.0,0.0
23.624372,18.624685,8.854321,9.922462,0.0,0.0
24.809586,20.757551,11.82194,8.112437,0.0,0.0
24.095896,17.974264,11.688104,8.903893,0.0,0.0
24.641495,19.007248,13.932836,12.159668,0.0,0.0
23.866625,18.933683,13.42463,11.818222,0.0,0.0
22.787504,18.34458,12.743968,12.227704,0.0,0.0
23.515482,19.27949,12.367167,11.75885,0.0,0.0
23.54408,18.052454,10.368131,12.400897,0.0,0.0
24.933884,20.057177,13.319439,16.221022,0.0,0.0
24.007025,18.967674,14.3112135,17.635395,0.0,0.0
23.351294,18.228003,15.5189905,16.395811,0.0,0.0
24.57606,19.127241,15.476743,14.302905,0.0,0.0
24.679794,18.09699,12.964671,13.361331,0.0,0.0
24.294176,16.473442,10.91536,15.564984,0.0,0.0
23.012873,15.057202,10.378215,14.691746,0.0,0.0
22.39245,15.863937,12.610146,15.065807,0.0,0.0
22.733114,18.689638,14.618205,13.396436,0.0,0.0
23.065588,19.831755,17.331396,14.995999,0.0,0.0
24.111115,20.680841,16.572058,11.721558,0.0,0.0
23.889832,18.501629,15.357682,10.805027,0.0,0.0
23.211325,18.331541,12.041446,10.315006,0.0,0.0
23.182413,18.207315,11.54321,11.998218,0.0,0.0
24.572493,20.49729,11.905917,13.231308,0.0,0.0
25.654566,19.510626,10.056447,11.549497,0.0,0.0
25.528357,19.032425,9.993489,9.337055,0.0,0.0
23.927,16.253813,9.274585,11.2956085,0.0,0.0
23.69838,16.602661,10.912671,12.450719,0.0,0.0
23.662981,15.923642,12.295818,15.884509,0.0,0.0
24.090302,17.69467,10.920463,13.895554,0.0,0.0
22.87703,18.255789,12.170808,15.955564,0.0,0.0
20.728727,17.90505,12.451153,16.04689,0.0,0.0
20.243736,17.694967,15.131606,17.117708,0.0,0.0
19.747911,17.09675,12.918231,12.386899,0.0,0.0
20.617733,15.850159,7.8454223,8.300145,0.0,0.0
21.99426,16.193903,7.301071,7.966391,0.0,0.0
18.602787,17.019167,9.110757,11.104541,0.0,0.0
10.39252,15.352638,17.264181,10.8417845,0.0,0.0
1.5081433,14.104912,22.406569,5.1156693,0.0,0.0
-4.1934447,13.821971,29.476416,0.7132788,0.0,0.0
-5.1378255,17.677168,29.061638,-1.7802849,0.0,0.0
-5.272288,20.267279,32.523674,-0.9013715,33.80459,0.0
-2.0335348,24.114723,33.666367,-3.1470048,33.73444,0.0
-0.2917771,24.707253,37.775906,-4.0374207,33.673527,0.0
0.72358924,25.040602,36.241016,-7.980066,33.744137,0.04393913
2.3888605,21.668001,35.64334,-10.307121,34.09253,0.03896318
7.4322677,19.76737,34.182705,-11.41708,34.43153,0.041932803
10.3315935,12.891685,34.04491,-5.228126,34.747837,0.030077845
12.084487,6.2221203,31.840355,-0.42636132,34.85613,0.028039142
12.978398,0.70072204,28.594625,4.2929797,34.909313,0.024170125
15.891556,-1.894167,24.005545,8.060599,34.909306,0.021610929
18.483877,-3.7558162,20.671492,14.953067,34.88027,0.016936379
20.286638,-5.9695854,16.40888,20.918436,34.8954,0.021092689
21.453514,-6.184035,16.151354,22.108145,34.938625,0.024613753
22.049543,-6.001181,13.241036,19.342825,34.96939,0.032484867
22.163458,-5.282541,10.221949,16.13242,0.0,0.0
22.770304,-4.0008254,8.83246,17.34624,0.0,0.0
23.618944,-1.491242,10.378167,19.765648,0.0,0.0
23.706528,0.6497783,11.342547,20.944706,0.0,0.0
22.762321,1.2879957,7.7602525,17.492342,0.0,0.0
20.697487,4.66409,7.458159,16.184916,0.0,0.0
14.90934,7.0815544,5.5716443,14.130427,0.0,0.0
8.0713,8.823106,3.479414,14.6365595,0.0,0.0
3.751517,6.8405194,0.19205141,12.2606325,0.0,0.0
3.0391324,4.3855777,0.71977335,12.647344,0.0,0.0
4.747992,3.0695438,4.0258727,11.018689,0.0,0.0
4.7919717,0.6340812,2.6935065,8.18325,0.0,0.0
7.227514,-0.0068619647,1.6419373,5.717914,0.0,0.0
8.308658,-2.459883,1.8664762,6.7597356,0.0,0.0
9.733115,-4.8027196,3.7746232,7.3071895,38.209267,0.0
9.898384,-5.401657,7.2898164,7.254082,38.130466,0.0
10.124225,-3.0295389,7.935823,6.5293846,37.98196,0.06716479
9.503994,-0.37930644,7.0842185,4.0150857,37.802753,0.05114795
10.254963,0.86150354,5.3865905,-2.1315947,37.51558,0.022076113
12.018786,2.7822149,9.287422,-8.660295,37.156174,0.023245284
14.126918,6.238262,13.038692,-13.904819,36.791733,0.019276457
13.641594,12.883521,18.41513,-16.666464,36.288086,0.03156582
13.263034,17.28125,20.079346,-14.7050705,35.828175,0.027101973
14.531413,17.832228,22.065437,-9.402104,35.451496,0.031860806
17.771582,18.106941,24.613157,-2.4694343,35.416195,0.028355828
22.157272,18.170639,25.056707,-1.3251811,35.444923,0.051803846
23.411463,19.833532,26.164064,-1.8419614,35.447803,0.05573645
22.34081,16.723457,25.366592,0.46100807,35.35642,0.0446994
19.662193,12.854904,23.433805,2.8551438,35.192673,0.02663441
18.379765,8.121037,21.03169,6.4312744,34.944286,0.019937975
19.596487,6.240063,16.864742,9.774032,34.70934,0.01498895
20.338976,6.808847,11.009842,10.866963,34.630466,0.008775628
20.935568,12.937434,4.5814734,13.048701,34.702484,0.008491439
17.923311,18.155846,2.3896134,16.049604,34.795967,0.01093759
13.798045,25.226816,2.045993,14.958278,0.0,0.0
8.437511,28.551077,5.089388,12.510609,0.0,0.0
4.7154317,31.834702,3.203982,6.8264756,0.0,0.0
0.083266735,29.035326,2.6523654,4.86349,0.0,0.0
-1.0310608,27.505575,2.0854897,8.32848,34.841644,0.0
2.6000054,22.248098,-1.9190444,6.195719,34.781483,0.0
11.442017,17.096205,-11.143765,4.9448953,34.568913,0.0
19.281473,8.582431,-23.587431,-5.871388,34.31315,0.040893845
23.688744,3.6576817,-29.498352,-9.961151,34.087246,0.02850963
25.389807,1.0772941,-27.610273,-9.624118,34.033802,0.016106984
27.824118,1.9752668,-23.440409,-6.0928802,34.091602,0.010992858
30.07672,2.3474963,-20.090721,-9.9851265,34.183224,0.010677437
