mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
18.547224,29.681208,20.164948,13.006661,0.0,0.0
19.414715,31.192291,21.04831,13.822799,0.0,0.0
20.687231,30.862411,20.61885,12.569064,0.0,0.0
21.087862,30.191454,21.825426,16.164663,0.0,0.0
20.635765,29.163513,19.922945,13.801041,0.0,0.0
20.295706,32.580853,21.837784,15.469218,0.0,0.0
19.780981,33.043533,20.415962,12.1583605,0.0,0.0
19.766186,33.168995,23.775972,16.285286,0.0,0.0
19.66598,31.039734,23.229805,19.568987,0.0,0.0
19.961336,29.935038,24.412348,22.016806,0.0,0.0
21.04035,30.860846,20.96139,20.351416,0.0,0.0
20.345186,30.217562,18.917788,14.553287,0.0,0.0
19.784998,30.616083,19.935915,15.364685,0.0,0.0
18.418339,29.391325,21.795984,15.831235,0.0,0.0
18.183962,30.458893,23.607767,20.76854,0.0,0.0
17.14396,29.315878,19.899996,16.386091,0.0,0.0
16.62676,28.336105,17.833992,14.658002,0.0,0.0
16.943306,28.263588,16.334135,12.155112,0.0,0.0
14.580949,24.813387,24.062536,15.576721,0.0,0.0
9.486987,20.284103,27.832855,13.797914,0.0,0.0
4.1560364,19.573915,30.860306,17.06524,0.0,0.0
1.9842333,21.698578,25.872742,20.357643,0.0,0.0
3.4921572,25.020716,21.870865,22.937727,0.0,0.0
5.0565085,22.193052,16.683619,18.01832,0.0,0.0
9.255988,23.895348,12.156414,12.07782,0.0,0.0
13.35834,24.889883,14.912047,13.4527025,0.0,0.0
17.108574,26.39353,17.375032,16.357534,0.0,0.0
17.06972,25.519148,17.35052,16.177076,0.0,0.0
17.743517,27.788153,14.531078,13.629388,0.0,0.0
16.898882,28.594263,13.0115,12.042882,0.0,0.0
16.900324,29.521608,17.765615,15.63638,0.0,0.0
15.902753,30.274086,19.661806,16.229357,0.0,0.0
15.516617,29.803549,17.743326,12.3674,0.0,0.0
15.018726,27.831717,14.855545,10.639636,0.0,0.0
14.693011,21.811888,15.236493,10.484178,0.0,0.0
15.873435,13.346511,18.82295,13.0718775,0.0,0.0
16.714966,4.8254895,19.724909,11.579205,0.0,0.0
19.049994,-5.132564,12.242859,7.4840055,0.0,0.0
18.918486,-13.061303,4.7722125,0.17168522,0.0,0.0
19.150747,-19.831213,-3.173809,-8.490062,44.594093,0.0
16.44443,-22.72435,-4.530421,-18.651669,44.769855,0.06314168
17.567236,-19.537622,-3.535282,-23.257532,45.003147,0.05705479
19.04634,-16.448153,-2.6149504,-24.184526,45.082794,0.04131268
21.669462,-14.0525055,-3.1229897,-20.053064,45.02586,0.02685649
23.515747,-11.641974,-1.5549701,-15.781459,44.53092,0.0148071535
26.257118,-9.535294,-1.6519698,-15.663162,43.825886,0.013105306
28.381475,-6.553718,-1.4857739,-13.397491,42.841625,0.009279157
29.454163,-5.280112,-2.2193153,-7.9404206,42.091557,0.038767934
31.097712,0.33036104,-0.6360316,-5.3417783,41.210003,0.067983635
32.256573,7.450746,2.5256004,-7.2325115,40.49112,0.09406427
33.591335,12.002686,1.8110224,-13.120097,39.935062,0.07531447
34.836105,11.721374,-2.1043315,-19.354116,39.75685,0.06437204
34.852383,6.7516265,-8.863821,-24.499445,0.0,0.0
34.149155,3.0685024,-14.499141,-31.238535,0.0,0.0
31.444647,0.7041788,-16.325487,-30.574179,0.0,0.0
30.421366,0.53344756,-18.411745,-28.614271,0.0,0.0
31.767487,1.476409,-18.07654,-24.75116,0.0,0.0
34.56605,3.1662228,-17.150154,-22.384657,0.0,0.0
37.67114,5.6695876,-16.473547,-20.836695,0.0,0.0
39.23909,8.881663,-13.994209,-19.30986,0.0,0.0
39.789753,11.8652525,-12.427261,-18.823935,21.88469,0.0
39.00584,14.079169,-8.784833,-17.05116,21.878212,0.0
37.80009,14.461216,-7.4193025,-14.729816,21.849365,0.06361632
36.71184,14.939304,-7.177475,-12.806544,25.744751,0.37574422
37.62235,15.621754,-4.788669,-11.524686,29.575407,0.35329178
37.8596,15.4490385,-3.768328,-10.82207,33.36171,0.33988926
37.45097,10.9580765,-4.24173,-12.2071,33.155838,0.019736594
35.751728,5.36392,-8.4683,-14.224338,32.96777,0.023956418
33.93918,-1.2486223,-12.5354185,-21.917185,32.783722,0.022395402
32.169937,-4.482536,-17.927168,-23.937933,32.602974,0.01463608
30.968565,-7.284046,-20.84997,-26.820679,32.430264,0.011688552
30.57076,-8.749175,-22.65619,-20.44403,32.300575,0.009473414
32.23256,-7.969437,-17.792444,-16.319193,32.22041,0.007377472
34.22411,-5.278172,-13.376018,-14.34684,32.174236,0.007146493
36.009567,-2.9833546,-13.565347,-14.072784,32.154495,0.006423554
36.98143,-1.9640018,-16.186073,-12.993373,32.1675,0.0035718603
37.660305,-1.165378,-17.715237,-10.613175,32.187664,0.0036384054
39.121464,2.6801221,-16.067701,-10.423399,32.18229,0.0022988555
39.571434,6.870588,-13.9531975,-12.63942,32.157124,0.0032455206
39.713062,12.772652,-11.338092,-15.683566,32.194244,0.0050725993
38.960964,15.996471,-10.255548,-17.766462,32.291626,0.006697209
38.605835,18.958553,-8.557507,-19.691996,32.3969,0.008264366
38.3239,17.609869,-10.293168,-21.73586,32.42831,0.0081176525
37.30306,14.578286,-10.340982,-22.05806,32.40655,0.008782108
34.7462,8.940592,-8.625426,-22.634233,32.362453,0.008413455
31.721815,4.101352,-1.0001564,-19.755743,32.324272,0.0063908175
28.62211,-1.4287657,6.5991974,-21.835953,32.351727,0.005180257
26.999685,-2.7941675,14.414288,-22.617834,32.387486,0.002902706
24.882149,-3.0148525,19.706316,-24.31675,32.43867,0.0053613856
24.47569,1.6236778,25.50586,-24.529604,32.479954,0.00825395
25.308554,4.4096828,25.334581,-26.568949,32.58398,0.009620955
26.482141,6.894506,23.17946,-27.811523,32.67632,0.009410518
28.066977,10.658988,23.196234,-25.716352,32.726532,0.0076155607
28.902197,13.316453,25.925245,-19.761213,0.0,0.0
30.679422,18.239965,28.964289,-16.314472,0.0,0.0
30.04757,20.515968,29.498835,-10.790711,0.0,0.0
29.17851,23.920141,27.705788,-9.426231,0.0,0.0
26.437607,24.971045,24.59439,-4.9213567,0.0,0.0
19.567799,27.218597,21.457184,-4.8641467,0.0,0.0
10.8144,29.14714,19.230064,-5.4826436,0.0,0.0
3.9370785,30.91468,16.084557,-5.992874,0.0,0.0
4.9422216,30.90493,13.918106,-5.133059,37.71797,0.0
9.44451,26.383322,15.945186,0.6322074,37.69424,0.05750724
15.9500475,21.456116,19.980103,4.7243714,37.61684,0.04677039
20.39958,15.515483,22.309626,2.9889793,37.56787,0.06571024
23.425276,13.67749,20.098969,1.1056103,0.0,0.0
25.983343,13.081417,18.046982,-2.7006009,0.0,0.0
27.80308,14.491071,16.64073,-0.93405336,0.0,0.0
28.39816,18.00718,18.170197,-0.5190764,0.0,0.0
28.485764,21.399584,19.210073,3.4399068,0.0,0.0
27.575659,23.293953,18.34704,3.759057,36.29375,0.0
28.272268,20.731825,17.838684,2.6336606,36.422974,0.067401424
27.957006,17.663551,15.986928,1.0089808,36.661354,0.049018234
29.290344,15.4303465,16.883467,-0.6017532,36.840168,0.033645544
30.569794,17.62725,15.715584,0.47899556,36.991302,0.016020564
31.230612,20.609207,18.415392,-0.08982652,37.122684,0.019770471
32.09932,23.292234,21.409754,4.991072,37.21838,0.019784164
32.43002,25.024979,23.329813,5.0331244,37.2986,0.017273067
33.130405,26.864174,21.406363,3.810612,37.41978,0.010701065
33.476425,30.08779,20.40433,-0.96095014,37.63602,0.0077098277
32.915936,32.619358,20.094492,-0.89312774,37.996304,0.007987387
33.299744,34.487453,22.13861,-0.78551966,38.65819,0.011177926
32.982815,31.795576,20.336897,-1.2429491,39.360516,0.013357197
32.068695,25.540422,21.915174,-3.0475342,39.91077,0.022802753
27.573303,18.830118,26.534029,-10.855186,40.08692,0.026740037
23.255766,16.176691,32.458927,-23.225824,40.109253,0.032219395
20.243397,16.162401,35.489315,-35.764294,40.126026,0.019375276
20.304045,18.353373,38.2812,-39.889065,40.14639,0.01254509
20.680407,18.331806,40.173847,-37.63299,40.14565,0.0040552025
20.842928,20.005363,42.941025,-38.017147,40.09345,0.0049259067
20.163614,18.238607,41.665943,-36.173958,39.99158,0.0049970723
21.011473,16.117416,41.73081,-31.815477,39.928867,0.0053328048
22.83919,12.9320135,40.164646,-26.466574,0.0,0.0
24.633932,9.549592,34.33121,-21.540474,0.0,0.0
26.703993,9.461632,30.918596,-17.020466,0.0,0.0
26.873549,7.0519085,28.07077,-7.6920238,0.0,0.0
27.40758,5.912642,28.17398,-5.5499725,0.0,0.0
26.469927,4.10917,26.450872,-7.091967,0.0,0.0
26.509666,3.5599039,22.78007,-13.274708,0.0,0.0
25.75398,3.9922097,20.071785,-21.38204,0.0,0.0
24.985922,3.246255,18.335598,-30.578604,0.0,0.0
23.88019,3.969818,21.249529,-34.912678,0.0,0.0
22.953989,3.1799252,24.442327,-30.641287,0.0,0.0
23.413727,4.570603,27.938524,-23.665602,0.0,0.0
24.459976,7.2752357,28.705887,-19.803185,0.0,0.0
26.918945,11.759856,29.790442,-17.362705,0.0,0.0
29.047922,14.224628,26.8869,-13.428515,0.0,0.0
31.024462,15.473279,24.791237,-8.184024,0.0,0.0
32.371902,19.65477,21.978424,-7.698461,0.0,0.0
32.376358,25.272879,21.547087,-9.368644,0.0,0.0
31.550852,28.908228,20.344366,-8.984591,0.0,0.0
31.565699,30.38833,21.369383,-4.7091403,0.0,0.0
31.553492,32.0155,23.8496,-2.1020586,0.0,0.0
31.15455,31.414736,22.856787,-0.97300977,0.0,0.0
28.457209,29.433954,22.257872,-0.8393452,0.0,0.0
26.133833,28.00653,20.194788,0.28582588,0.0,0.0
22.975672,28.570688,19.683737,-2.1803644,0.0,0.0
20.919687,29.04188,20.42898,1.647767,0.0,0.0
19.955402,29.084824,20.895788,6.166025,0.0,0.0
20.898493,29.95996,22.576101,10.023974,0.0,0.0
21.790628,29.234083,20.403845,11.454213,0.0,0.0
20.42495,29.220396,20.59192,9.467782,0.0,0.0
20.637321,29.471313,20.385983,9.795039,0.0,0.0
20.692139,32.274586,20.934519,10.447523,0.0,0.0
22.29886,31.965601,19.24238,11.380275,0.0,0.0
20.195942,30.98911,20.62081,15.198036,0.0,0.0
18.48825,30.142395,21.387527,16.0002,0.0,0.0
16.072134,29.10705,20.055729,18.435102,0.0,0.0
16.830416,29.705801,18.758902,15.564682,0.0,0.0
16.649435,26.102213,17.603971,11.711293,0.0,0.0
17.098528,25.26605,19.931042,10.131539,0.0,0.0
16.51667,25.547335,19.307425,11.541985,0.0,0.0
17.706488,29.92453,22.658829,12.293983,0.0,0.0
17.670542,30.770582,21.932562,10.206116,0.0,0.0
18.548706,28.34498,21.430616,11.466191,0.0,0.0
18.436134,26.018011,18.830746,12.935298,0.0,0.0
19.437439,26.54203,19.49154,15.762538,0.0,0.0
18.210165,27.069906,20.664581,15.457072,0.0,0.0
17.415361,27.182165,21.10103,16.163763,0.0,0.0
17.47644,27.318512,22.98005,16.869055,0.0,0.0
18.461542,27.919054,21.604872,16.499533,0.0,0.0
19.941763,30.338507,23.2773,13.626713,0.0,0.0
19.264421,29.388094,19.593676,10.795299,0.0,0.0
20.059011,30.802444,21.718832,11.592331,0.0,0.0
18.016958,28.258833,18.430807,12.958744,0.0,0.0
18.515312,29.62256,19.49278,14.684089,0.0,0.0
17.273842,29.529327,19.22375,13.560515,0.0,0.0
18.853174,30.542051,21.019405,14.860837,0.0,0.0
18.45751,29.782942,22.165056,16.785255,0.0,0.0
