mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
11.427493,19.91302,15.479759,21.85726,0.0,0.0
14.102382,11.514012,13.486224,20.361502,0.0,0.0
12.901126,1.7799412,12.345231,19.543158,0.0,0.0
6.668825,-5.1198087,15.557584,16.972925,0.0,0.0
-1.0167862,-9.650476,18.564629,16.12324,0.0,0.0
-4.8486056,-12.841502,21.579844,13.163913,0.0,0.0
-3.334323,-11.996345,20.72223,10.467109,0.0,0.0
-1.5356878,-9.793316,18.613914,7.476627,0.0,0.0
-0.26397565,-6.0330715,12.30769,4.7734094,0.0,0.0
-0.36192536,-1.977677,9.900723,3.0636787,0.0,0.0
1.8659405,4.116524,7.41728,-1.2884713,0.0,0.0
3.2210796,5.6553955,9.31096,-2.7122593,0.0,0.0
3.9334471,5.073755,11.632141,-6.0075994,0.0,0.0
5.6471705,5.4694133,16.79288,-0.93496054,0.0,0.0
8.387979,7.992452,17.882158,-0.6153782,0.0,0.0
10.498124,9.424258,16.781317,3.7818434,0.0,0.0
7.53408,7.557993,15.463956,3.786651,0.0,0.0
4.415603,7.830633,18.359243,4.55475,0.0,0.0
0.7480123,9.062655,21.026888,4.634725,0.0,0.0
2.3482983,9.794079,18.926569,1.8213917,0.0,0.0
3.5306213,9.524336,16.79811,2.9510689,0.0,0.0
5.123797,7.3181977,16.210955,5.6659455,0.0,0.0
3.27509,5.4349723,20.204834,10.581611,46.832493,0.0
6.2126412,7.6277027,20.982227,5.7182426,46.879536,0.0
10.741925,9.596766,18.666586,-5.444658,46.85608,0.0
16.79141,12.978073,12.205075,-18.453644,46.74846,0.029788923
19.725487,10.3332405,7.533974,-21.436464,46.681744,0.043338206
21.733511,11.33785,6.459179,-21.945456,46.7223,0.04656698
20.182356,9.862801,10.68056,-15.688049,46.787827,0.052376293
17.621424,8.747155,13.064625,-11.580022,0.0,0.0
16.046843,7.440519,11.598781,-6.9097595,0.0,0.0
16.155058,5.650928,8.091496,-2.188608,0.0,0.0
18.019737,6.8274384,5.638163,-2.8076923,0.0,0.0
12.750941,5.7249618,12.767464,-0.6185163,0.0,0.0
7.184143,2.8163147,14.904647,-3.0015013,0.0,0.0
3.5766995,-0.93453866,13.984336,-5.0019646,55.129524,0.0
6.8206773,-8.299763,5.666925,-13.671609,55.26582,0.0
10.034419,-13.238353,3.1282527,-19.825003,55.413494,0.0
9.191613,-19.709152,3.0147617,-20.849318,55.575367,0.016222099
7.610843,-21.495657,1.6175652,-20.345522,55.88515,0.014828883
7.989512,-21.909647,-1.0801164,-23.17312,56.219303,0.009721294
10.054265,-19.558197,-3.766311,-25.087938,56.5946,0.009955238
12.102532,-15.076695,-3.4786444,-24.56086,56.780075,0.008516652
12.8529625,-12.763753,-1.5821519,-19.91004,56.75298,0.0076564546
13.029288,-11.93501,0.07314285,-16.070478,56.664337,0.0062100813
13.686092,-9.698335,1.1761817,-15.420634,56.49789,0.005311178
14.524705,-4.6737905,0.1302975,-17.613974,56.491898,0.0076123537
12.845567,0.4575765,2.4388878,-20.805792,56.499767,0.012259755
9.7945,6.525866,1.9010719,-20.957323,56.48722,0.015874643
5.637318,15.551679,-1.446384,-15.065415,0.0,0.0
2.1259487,24.087412,-4.587421,-5.4491997,0.0,0.0
-1.307604,26.743118,-4.487971,5.515522,0.0,0.0
-3.8307993,24.6957,-2.7152445,6.682672,0.0,0.0
-5.231601,21.014755,-2.5780485,9.637372,0.0,0.0
-5.537592,21.052216,-1.9103626,11.796487,0.0,0.0
-5.7002234,23.015635,1.3636879,14.563569,0.0,0.0
-4.6254897,25.522451,4.3468876,14.859437,0.0,0.0
-5.924227,24.255362,3.9252398,11.007932,0.0,0.0
-8.241588,20.917032,3.075734,14.294171,0.0,0.0
-10.562241,20.126474,3.8856018,17.18461,0.0,0.0
-10.135084,19.34801,6.2854915,23.532526,0.0,0.0
-7.7706966,19.652489,6.917253,21.25529,0.0,0.0
-6.608669,19.686342,6.9136577,16.37823,0.0,0.0
-6.278464,20.39715,7.690983,17.65484,0.0,0.0
-5.4614644,22.513403,8.302438,17.586561,0.0,0.0
-4.550649,22.10676,7.977904,20.116776,0.0,0.0
-4.837108,21.95645,5.954845,16.93193,0.0,0.0
-6.350001,20.606045,6.262297,21.238234,0.0,0.0
-7.110292,20.675806,6.601435,23.253057,0.0,0.0
-6.6740055,20.130959,6.426995,24.605059,0.0,0.0
-3.6358325,21.48114,6.1572547,18.958126,43.462048,0.0
0.6399514,20.906885,8.73245,9.029137,43.284435,0.0
4.477052,19.482506,16.219133,-9.428258,43.019913,0.0
6.2122455,17.250883,25.95965,-22.864653,42.903614,0.0061157495
6.24724,14.828662,28.965014,-31.890656,42.94997,0.00829899
7.0704556,16.834976,32.574726,-33.83664,43.096836,0.008025758
8.828242,16.211264,32.398273,-36.995857,43.167908,0.007635171
10.475024,17.700977,36.76944,-39.348637,43.166077,0.015757827
11.7377205,15.294849,33.752934,-44.708073,43.10691,0.021755926
11.856742,13.90691,29.38695,-46.030346,0.0,0.0
12.972941,12.345445,25.857504,-49.09499,0.0,0.0
12.629662,9.387835,26.231827,-43.27873,0.0,0.0
13.559356,6.2530246,28.898277,-38.166683,0.0,0.0
14.843784,1.947857,24.431173,-38.755768,0.0,0.0
17.786999,1.3974885,19.924374,-39.72079,0.0,0.0
19.195068,1.297235,15.226499,-43.145615,0.0,0.0
20.701258,3.4520817,17.049616,-38.6819,0.0,0.0
22.367887,6.387411,16.899117,-38.286865,0.0,0.0
24.786331,8.363098,14.471336,-34.556904,0.0,0.0
25.821878,10.458608,11.971699,-32.74872,0.0,0.0
26.907625,11.063291,9.019649,-29.529432,0.0,0.0
27.272095,11.959722,6.9074845,-29.302828,0.0,0.0
27.30615,10.100455,3.5043516,-28.35585,0.0,0.0
26.456507,4.0647454,1.8323852,-25.337738,0.0,0.0
24.500307,0.8561862,3.5854714,-26.807634,0.0,0.0
22.147919,-2.5243928,7.007421,-24.616663,0.0,0.0
21.68148,0.99777824,9.761716,-24.893076,0.0,0.0
22.705534,5.9318147,5.3454137,-21.426596,0.0,0.0
22.608076,13.710309,1.2212795,-13.391162,0.0,0.0
20.234442,23.66173,-0.024085045,-7.976476,0.0,0.0
14.704776,28.601936,0.7058938,-1.4318666,0.0,0.0
10.307042,29.956186,-0.183971,-0.48482957,0.0,0.0
5.9700265,28.518484,-2.3214464,3.08022,0.0,0.0
3.3446665,27.866058,0.024716696,9.477936,0.0,0.0
2.4275055,27.68464,1.6697181,10.753596,0.0,0.0
2.1352909,27.664057,2.265395,9.723927,0.0,0.0
2.565946,29.454002,2.6578915,10.357887,0.0,0.0
2.18808,31.737686,3.200571,12.246703,0.0,0.0
2.9290707,32.896816,2.3330493,12.574641,0.0,0.0
6.696474,33.055286,1.5109831,9.264361,0.0,0.0
10.330644,36.140007,2.8661327,7.065107,0.0,0.0
14.77731,37.040775,5.3203926,8.058864,0.0,0.0
17.091738,35.75667,8.411026,10.566121,0.0,0.0
19.655167,30.527449,10.342717,10.736317,35.299538,0.0
22.66538,22.731356,11.6286545,8.414015,35.291008,0.0
27.25036,15.564519,7.9321537,3.9163349,35.2847,0.0
32.99129,11.582424,4.8022256,0.7454248,35.270542,0.01176746
36.736237,14.076813,3.8795192,-3.2551587,35.226467,0.012849528
37.928806,17.477753,6.31362,-8.092106,35.156742,0.018029852
35.611866,19.834297,9.473861,-8.6140785,35.102055,0.018291922
30.834974,17.627968,12.13,-4.5426626,35.10571,0.01633464
25.206488,16.26169,11.485248,-0.7704118,35.1155,0.0101162875
20.732424,14.26281,10.663089,1.5982119,0.0,0.0
18.102438,14.398784,8.395225,0.6154236,0.0,0.0
16.929474,14.357181,11.82475,2.9753754,0.0,0.0
15.76727,16.307587,15.131401,5.301636,0.0,0.0
15.425125,19.082228,18.581854,5.2678523,0.0,0.0
14.128593,21.322386,19.800844,3.114658,0.0,0.0
14.9499235,23.229898,16.751001,-0.73063403,0.0,0.0
15.25698,24.473366,17.175488,-1.9890913,0.0,0.0
