mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.809229,28.971771,16.340096,4.676315,0.0,0.0
21.797087,26.900375,16.40699,8.679729,0.0,0.0
20.288923,25.588882,14.795657,9.726532,0.0,0.0
21.55903,26.563005,14.695015,10.531837,0.0,0.0
21.39788,29.117418,15.10826,10.172473,0.0,0.0
20.131933,29.115805,16.930428,5.95602,0.0,0.0
19.14086,27.912569,16.45211,7.448768,0.0,0.0
21.198614,27.142624,16.079012,6.2047253,0.0,0.0
23.164993,29.775126,16.730198,12.457791,0.0,0.0
23.112799,29.674719,16.946918,10.037404,0.0,0.0
22.528662,28.921799,15.813446,10.627201,0.0,0.0
23.106924,27.651632,17.290325,11.147266,0.0,0.0
23.041723,26.9125,15.837555,12.681595,0.0,0.0
22.292664,26.053843,12.90556,8.689261,0.0,0.0
23.330912,25.2741,9.92955,5.586519,0.0,0.0
23.408792,26.374464,8.420867,6.2415833,0.0,0.0
23.248419,27.887543,11.937388,9.644645,0.0,0.0
22.665115,29.041763,13.357015,12.036635,0.0,0.0
22.402304,30.430407,17.18361,11.71934,0.0,0.0
22.758078,31.390503,17.001678,10.428976,0.0,0.0
23.246262,30.918428,14.247155,8.892319,0.0,0.0
23.935791,29.756308,11.906224,6.057604,0.0,0.0
24.358912,29.083231,13.155759,3.6070812,0.0,0.0
22.237923,27.591461,14.83815,6.114508,0.0,0.0
21.56352,27.15551,18.62098,8.776439,0.0,0.0
20.8294,27.042046,18.555944,11.544759,0.0,0.0
21.573181,28.234848,16.25392,8.434995,0.0,0.0
20.432493,28.977448,13.615743,7.8369346,0.0,0.0
20.303238,29.665054,14.846227,10.9943495,0.0,0.0
18.743298,27.028173,14.636001,10.467747,0.0,0.0
18.766405,25.094934,14.287312,12.087415,0.0,0.0
20.926537,23.751816,12.357883,10.300602,0.0,0.0
24.999537,21.87844,11.309387,11.551327,0.0,0.0
28.676828,18.191118,9.892961,9.44544,28.693106,0.0
29.119858,8.301118,8.82143,7.0183043,28.790133,0.0
27.546358,1.8017339,16.189123,1.9590801,28.938154,0.035629436
24.60705,-3.955658,23.561592,-1.7391113,29.042688,0.035629436
21.103111,-4.5405936,31.215384,-4.124306,0.0,0.0
18.475462,-5.0071216,32.674015,-3.7496274,0.0,0.0
15.774025,-4.7067213,34.30954,-5.309246,0.0,0.0
