mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
20.183302,20.022127,13.222793,9.962052,0.0,0.0
20.089117,20.774284,15.691289,10.357164,0.0,0.0
20.347082,24.170069,18.70365,11.6388855,0.0,0.0
20.527016,24.405802,16.07367,7.2979083,0.0,0.0
20.315086,24.381462,15.384968,8.132934,0.0,0.0
21.572617,23.942415,16.709637,9.867937,0.0,0.0
22.891382,26.887026,19.30445,13.777204,0.0,0.0
22.630564,27.38254,21.735199,13.595187,0.0,0.0
22.102625,27.155632,20.333696,9.865127,0.0,0.0
21.872223,25.325365,20.70125,10.537518,0.0,0.0
22.839273,24.95327,18.214758,12.350156,0.0,0.0
21.246164,23.286003,18.931717,18.26253,0.0,0.0
20.080679,20.90558,17.5096,16.851194,0.0,0.0
18.793173,20.713448,17.562468,14.305687,0.0,0.0
19.727072,21.166704,18.097795,11.744527,0.0,0.0
20.593994,24.304916,22.32535,13.5650835,0.0,0.0
20.873732,23.710073,22.526978,14.587398,0.0,0.0
20.572416,23.28997,20.743876,12.328588,0.0,0.0
20.006813,23.074652,19.908548,11.986713,0.0,0.0
20.736235,24.689486,22.04836,13.3135195,0.0,0.0
19.697323,23.403112,20.481493,14.58165,0.0,0.0
20.524137,23.958082,19.969162,13.937068,0.0,0.0
19.71449,23.638382,19.782797,11.555356,0.0,0.0
20.290785,22.823347,21.722372,12.43481,0.0,0.0
19.200815,20.296946,19.743338,12.06644,0.0,0.0
18.423523,18.2707,17.848772,12.953987,0.0,0.0
17.567535,19.003618,17.695082,13.196315,0.0,0.0
17.374762,18.331678,18.933111,13.248444,0.0,0.0
18.65922,18.030842,20.61234,12.974887,0.0,0.0
17.137072,14.900971,20.581394,7.93967,0.0,0.0
16.855276,13.718921,21.450003,7.293917,0.0,0.0
16.09609,11.987485,21.084616,9.498483,0.0,0.0
18.275187,14.428098,23.712273,15.865872,0.0,0.0
18.061554,15.963193,23.486328,18.758497,0.0,0.0
17.920145,17.465239,25.385193,17.141026,0.0,0.0
17.696426,16.815256,26.090715,16.105011,0.0,0.0
18.12007,15.90759,26.17798,16.163246,0.0,0.0
19.353868,18.190912,23.96699,17.69269,0.0,0.0
19.558556,20.095617,20.367764,16.696579,0.0,0.0
20.804018,21.38327,15.856587,17.335985,0.0,0.0
21.232224,20.108637,11.967315,15.47899,0.0,0.0
21.185751,21.582376,10.822312,14.547485,0.0,0.0
20.230024,23.050842,10.349135,11.24924,0.0,0.0
19.447859,25.305292,11.239166,9.4041815,0.0,0.0
19.290352,26.121145,11.877724,8.584361,0.0,0.0
