mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
23.807165,32.44904,20.952276,17.888214,0.0,0.0
22.638933,31.555841,21.560013,17.546473,0.0,0.0
21.93844,32.03924,20.795458,15.794528,0.0,0.0
21.811087,32.846436,18.318983,12.408566,0.0,0.0
21.97104,33.6547,16.170748,8.768902,0.0,0.0
21.281523,31.289389,14.421193,9.360717,0.0,0.0
22.680313,30.694391,16.012247,9.913833,0.0,0.0
22.588736,29.545166,15.918904,11.029895,0.0,0.0
23.026491,31.48507,16.44757,8.164916,0.0,0.0
22.850317,31.609406,15.921712,11.199756,0.0,0.0
22.60331,30.637434,13.505146,8.797988,0.0,0.0
21.626167,25.89503,11.181962,9.587569,0.0,0.0
20.99231,25.728851,11.680977,7.9814224,0.0,0.0
22.44697,26.75025,12.742948,9.245095,0.0,0.0
24.225569,29.874153,16.634394,11.506726,0.0,0.0
27.856842,28.401995,15.13213,12.920939,34.934624,0.0
30.005476,26.886396,17.426249,15.712456,34.970875,0.0
31.924845,18.287664,21.038363,17.894289,35.055546,0.041635707
28.910692,10.972812,28.396124,15.231322,35.13788,0.036361028
25.292475,4.2496033,35.061325,8.721581,35.204235,0.025595916
21.13767,6.499021,39.025074,-3.2199771,35.24094,0.016910912
19.111212,6.9052835,41.289135,-12.3733015,35.26424,0.009251736
17.1435,7.026319,43.11226,-17.64453,35.283527,0.003638094
16.558117,5.650421,42.933075,-20.105413,35.28709,0.0015989043
15.779221,6.18734,42.444614,-22.113234,35.27934,0.001095965
16.776943,7.6514416,41.934834,-21.617117,35.28835,0.0017568795
16.36502,7.7484245,41.703033,-19.21561,35.28906,0.004392299
18.049215,6.5763535,41.698193,-17.8464,35.30198,0.005925789
19.928274,5.6155415,41.333683,-17.559755,0.0,0.0
22.63662,6.2459245,41.447136,-18.639069,0.0,0.0
23.521353,8.763787,38.72746,-14.420728,0.0,0.0
24.395166,10.254445,36.62576,-9.594667,0.0,0.0
26.481897,11.650487,33.431606,-7.7574406,39.207535,0.0
26.69729,9.4180975,32.150913,-10.034779,39.21649,0.0
26.588167,8.212612,32.57423,-12.05856,39.232136,0.0
24.377447,7.3698335,32.797783,-14.572478,39.16148,0.0715033
21.936613,7.481276,29.934011,-19.378061,38.61958,0.07358533
19.881197,7.528496,28.610306,-20.42897,38.203915,0.05328316
18.732248,8.2988825,28.211325,-14.763053,38.04549,0.06263562
20.038177,14.485008,30.171364,-6.203216,38.494106,0.046431314
19.875145,20.535528,25.4385,0.07708025,38.77057,0.038939457
21.45263,26.859377,22.683012,-1.3357567,38.870064,0.027839852
23.99388,30.58573,23.245874,-1.1429801,38.82782,0.027191546
23.64379,30.439283,22.830185,-3.9595559,0.0,0.0
16.966774,31.004969,18.247826,3.1549225,0.0,0.0
4.3096967,27.962107,11.649284,7.3873763,0.0,0.0
-4.3274837,28.989614,8.332504,12.406238,0.0,0.0
-7.8255725,27.479414,10.651104,8.090108,0.0,0.0
