mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
19.534546,26.881563,8.802844,4.5986614,0.0,0.0
20.01431,26.73414,12.648144,6.3733163,0.0,0.0
16.744362,23.598083,17.063576,10.217689,0.0,0.0
14.852974,19.282007,20.499542,15.714313,0.0,0.0
4.451176,20.599464,20.1201,15.348998,0.0,0.0
-2.9213917,24.666475,20.822908,17.819212,0.0,0.0
-10.18192,28.430079,19.266909,15.777484,0.0,0.0
-8.735095,26.711306,16.991304,15.919983,0.0,0.0
-4.4761558,26.470932,13.169579,10.993726,0.0,0.0
-0.98651975,26.87784,17.90227,6.3392625,35.945763,0.0
4.4616795,21.805038,26.282312,-3.731614,35.998978,0.0
10.081049,13.647798,32.383755,-12.836724,36.101273,0.058951758
16.060944,5.669315,29.38725,-18.90651,36.169094,0.043244362
20.14723,1.2841052,22.021555,-17.524704,36.193165,0.03232739
24.072424,1.8315469,18.529648,-17.715822,36.15246,0.008972212
25.897308,4.2568326,15.330894,-20.21033,36.06921,0.0064308965
26.950312,9.789052,16.98143,-20.96887,35.961483,0.005971259
26.09656,11.924431,17.694155,-18.923384,35.92919,0.005932547
26.675362,14.147555,16.609446,-13.339467,35.934063,0.011031836
26.241804,20.374662,14.897819,-6.262886,35.945976,0.022941286
20.786268,24.53801,8.016361,3.9705544,35.936127,0.026371025
14.901677,28.86486,5.3754725,8.745166,35.948734,0.024608785
10.08728,28.187124,3.0780418,9.160099,35.978004,0.015564268
10.691171,30.468462,4.492031,6.25065,0.0,0.0
9.72058,28.928673,6.556681,3.6152813,0.0,0.0
8.7597275,24.586983,6.876674,6.798551,0.0,0.0
10.060042,21.372065,6.3286424,7.627585,36.108276,0.0
15.346553,17.066473,3.079361,6.1179614,36.09044,0.064754374
20.705055,13.040147,-0.046153545,-4.0417686,36.05989,0.059333798
24.670488,8.583472,-5.4161186,-17.442001,36.098125,0.049896616
27.414093,8.974964,-10.361134,-27.346415,36.15346,0.032960106
29.965807,11.01607,-16.14844,-34.0938,36.211246,0.018618125
31.360521,13.59526,-17.8506,-40.03345,36.281296,0.008572623
30.902643,13.282665,-18.13517,-45.611164,36.370243,0.005230684
31.155787,14.530048,-16.46506,-46.55366,36.42179,0.0040497114
30.381056,10.898149,-14.248109,-40.89583,36.39484,0.002857371
29.664251,5.3838954,-12.193001,-31.652937,36.300495,0.0090247495
27.7539,-2.9888122,-13.042645,-28.315302,36.213722,0.014582511
26.000406,-9.714187,-13.7852335,-26.840681,36.141483,0.014576585
24.605509,-13.5722475,-15.0382,-27.681135,36.072815,0.00931141
22.697487,-16.185013,-14.351491,-25.728857,36.014553,0.004361578
21.354048,-17.618706,-13.922787,-24.244257,35.982986,0.0048902705
21.43013,-18.635757,-14.5769,-23.583414,35.98239,0.0035506748
23.985418,-18.037043,-15.9533205,-24.712656,36.01845,0.0030729761
25.989594,-16.617037,-19.211061,-26.81984,36.012753,0.0023251108
27.337046,-13.686521,-15.74657,-28.012941,36.01609,0.0028061757
26.473433,-12.858378,-12.827255,-27.345736,36.456768,0.0053805597
26.233765,-14.456466,-8.454511,-24.318008,36.984158,0.008041762
25.022558,-15.711216,-7.4535236,-19.949047,37.517918,0.009366269
24.31914,-15.748849,-4.9861736,-13.767299,37.603474,0.02257947
25.235792,-10.323701,-2.657375,-12.727081,37.810486,0.022540843
27.03081,-6.3904405,2.988309,-10.276389,38.053177,0.022606777
27.800667,-3.4992301,6.694401,-13.161416,38.31867,0.00874447
24.728525,-8.861588,8.479232,-14.180492,38.44047,0.011970292
19.389942,-14.772636,5.664168,-19.145025,38.514618,0.01988349
16.837908,-18.70561,2.9136932,-22.012484,38.534122,0.019124784
17.026016,-16.523441,2.680209,-24.782259,38.474537,0.014066321
20.227402,-11.577952,3.9502556,-23.270332,38.421295,0.0044156145
23.247513,-7.4859138,8.002198,-17.809774,38.403522,0.0053665712
26.073198,-3.9738824,10.855426,-11.051911,38.458614,0.006702052
26.867235,-2.8809364,11.38541,-6.286686,38.488483,0.008548659
26.197968,-0.64623,7.4579043,-4.5517497,0.0,0.0
25.406965,1.3978983,2.5966942,-3.5534976,0.0,0.0
25.089777,4.61698,-3.7478836,-2.5672793,0.0,0.0
23.33306,5.654923,-7.4181,-1.1185843,0.0,0.0
19.192902,6.652084,-9.327954,1.9969598,38.436783,0.0
17.85631,10.493873,-7.5065193,1.1511258,38.415585,0.008853975
21.547623,15.172837,-8.015176,-1.4731303,38.365368,0.039166234
27.409334,15.337514,-12.719251,-9.897292,38.086975,0.05178692
30.410471,7.9340053,-17.514116,-13.01135,37.704678,0.05193464
27.464987,-2.9687767,-20.60413,-12.704076,37.2467,0.022543186
24.97506,-11.893884,-17.238138,-6.236695,36.835037,0.011928402
23.834494,-16.127802,-15.745883,-3.9079716,36.44116,0.012234137
25.771637,-18.255033,-14.922307,-3.2850227,36.11284,0.012564402
25.120117,-21.095493,-18.73446,-2.9947736,35.97354,0.009186576
24.406866,-23.747232,-24.78714,-2.3421378,35.93798,0.008672691
22.523727,-24.96463,-24.810675,2.1229312,0.0,0.0
23.863533,-23.37021,-25.965195,-0.74965286,0.0,0.0
25.098806,-22.639246,-21.278503,-0.2992526,0.0,0.0
26.888733,-21.39374,-24.682539,-3.0961068,0.0,0.0
27.502783,-20.10298,-21.34524,0.08363104,0.0,0.0
29.000414,-16.229837,-20.064348,3.3476715,0.0,0.0
29.565126,-14.163231,-15.305804,5.7380924,0.0,0.0
30.66155,-10.274136,-14.998059,6.625587,0.0,0.0
30.713129,-7.9981465,-13.337857,3.4498813,0.0,0.0
31.062433,-4.582753,-12.330771,3.7812731,0.0,0.0
30.740263,-1.8449277,-7.410791,3.1195977,0.0,0.0
29.24143,1.9857717,-3.8470223,5.5157313,0.0,0.0
28.481073,6.0138264,-0.37006697,6.9192033,0.0,0.0
26.789057,8.469308,0.6692253,10.023476,0.0,0.0
24.921204,9.229661,0.8378043,8.842473,0.0,0.0
23.788778,10.440581,3.7380383,6.2981925,0.0,0.0
18.93324,7.4277744,11.345642,6.9851418,0.0,0.0
13.098649,0.7571173,17.572197,13.359511,0.0,0.0
8.897115,-4.465059,21.787115,14.891477,0.0,0.0
9.23408,-4.7977977,24.389786,16.23614,0.0,0.0
10.726872,-2.4632666,29.215494,12.096531,0.0,0.0
9.78027,-2.8810217,31.878052,9.251943,0.0,0.0
9.584138,-2.0915325,31.769781,3.8289049,0.0,0.0
10.365521,-0.55043995,29.897705,1.2497497,0.0,0.0
11.081187,-0.18431966,28.429253,3.1419086,0.0,0.0
13.708008,1.1292328,27.898127,7.759947,0.0,0.0
17.175499,2.8107865,26.71699,13.661771,0.0,0.0
19.230564,6.6881447,28.546778,17.77938,0.0,0.0
18.970053,8.973614,24.456442,15.197885,0.0,0.0
18.309942,12.248691,20.92758,12.622237,0.0,0.0
19.1151,16.891453,16.012793,12.598808,0.0,0.0
19.764683,21.18801,13.7992525,13.419284,0.0,0.0
20.368826,24.451784,16.37098,14.97926,0.0,0.0
19.628448,24.238922,17.394754,13.805504,0.0,0.0
20.897148,24.416405,19.367546,13.309467,0.0,0.0
20.983215,24.39859,16.151525,10.457767,0.0,0.0
21.81727,26.741056,13.313951,6.4298916,0.0,0.0
20.867422,28.561264,11.882622,5.619844,0.0,0.0
20.191986,28.92347,12.907318,9.428611,0.0,0.0
20.737663,28.410048,12.625794,10.0546,0.0,0.0
21.62559,29.967157,15.440127,9.264973,0.0,0.0
21.81353,30.166002,17.13868,6.2772965,0.0,0.0
20.15096,30.827408,19.270327,8.569148,0.0,0.0
19.380194,27.1061,17.369385,10.6849165,0.0,0.0
18.859009,26.128204,14.946068,9.215291,0.0,0.0
18.708727,24.361864,15.671978,9.31679,0.0,0.0
18.866121,27.51769,16.425833,10.339267,0.0,0.0
19.784523,28.834625,19.075943,15.833661,0.0,0.0
19.82978,29.15259,18.0683,16.272856,0.0,0.0
18.988394,25.760046,18.057898,14.930961,0.0,0.0
19.27864,23.979189,15.89095,7.793182,0.0,0.0
21.706734,23.52271,14.989823,4.314791,0.0,0.0
23.22194,24.098053,13.410321,4.329164,0.0,0.0
24.20939,26.58272,14.357411,5.113302,0.0,0.0
22.99874,28.085472,14.180024,7.390146,0.0,0.0
22.188477,29.27372,16.160088,7.9383445,0.0,0.0
21.522102,29.910028,15.202586,9.772133,0.0,0.0
21.091845,29.981894,17.643122,8.232959,0.0,0.0
20.555481,31.585297,16.80278,5.451896,0.0,0.0
18.964733,30.964293,16.920382,5.703701,0.0,0.0
19.666224,31.72898,16.361803,8.013861,0.0,0.0
19.359812,29.56414,13.596444,5.8416443,0.0,0.0
20.763117,29.847544,14.769551,6.871165,0.0,0.0
20.590279,29.03108,17.696602,7.327288,0.0,0.0
20.39852,30.228495,21.346329,12.153857,0.0,0.0
19.14314,29.505,20.847412,12.299156,0.0,0.0
19.313995,29.716055,15.880282,8.235471,0.0,0.0
18.71973,27.8016,14.465928,8.008908,0.0,0.0
19.447388,28.672262,14.232066,9.077882,0.0,0.0
20.554443,28.214493,13.471747,11.490151,0.0,0.0
21.667536,28.70111,12.3904085,8.653453,0.0,0.0
21.248526,29.052542,14.269944,9.127476,0.0,0.0
19.818487,29.446732,15.666554,10.783538,0.0,0.0
