mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
26.231585,23.880281,10.117595,10.892139,0.0,0.0
24.329214,23.900854,12.6424,12.882289,0.0,0.0
22.76825,24.017256,13.292062,10.627671,0.0,0.0
22.77398,25.994196,17.714645,10.230961,0.0,0.0
23.718145,27.250864,17.105947,6.965458,0.0,0.0
23.62169,27.216196,20.196964,8.993365,0.0,0.0
23.29213,25.311174,17.68102,5.8041644,0.0,0.0
21.163101,20.188639,12.164062,1.4451618,0.0,0.0
20.980217,19.825281,7.3186307,-0.5468478,0.0,0.0
21.04616,21.466898,7.429199,0.4710692,0.0,0.0
23.806963,28.85623,14.31573,2.8446493,0.0,0.0
25.148766,29.228788,14.436864,1.8842741,0.0,0.0
24.329374,27.84585,14.012609,2.8047287,0.0,0.0
23.262217,24.695496,12.08096,3.8423576,0.0,0.0
22.453108,24.758066,12.262164,3.7032545,0.0,0.0
23.176504,25.642937,14.361907,6.100086,0.0,0.0
24.280533,26.014845,12.81115,5.348074,0.0,0.0
25.227026,26.718544,12.643645,4.098334,0.0,0.0
27.085466,28.031143,13.225143,4.795057,0.0,0.0
26.831915,27.991537,13.463974,3.5693,0.0,0.0
25.875946,26.907333,15.18521,5.284721,0.0,0.0
24.111948,26.487513,15.8192215,4.81579,0.0,0.0
23.05052,26.193823,16.094076,5.3885174,0.0,0.0
22.114723,26.632797,16.523294,5.7491326,0.0,0.0
22.169851,27.075453,14.186989,3.474267,0.0,0.0
21.295258,25.794365,13.588058,3.633047,0.0,0.0
22.194626,25.39947,11.559215,1.1407373,0.0,0.0
22.158865,24.825495,12.1941805,4.8485694,0.0,0.0
23.035727,26.002426,12.180535,5.826261,0.0,0.0
23.394714,26.664328,14.269214,10.84756,0.0,0.0
23.691439,25.712776,12.537499,6.1835885,0.0,0.0
22.744696,25.657099,13.196649,5.87726,0.0,0.0
22.15167,26.04571,12.806069,1.351635,0.0,0.0
21.866135,27.144226,14.766076,2.9734485,0.0,0.0
22.122175,26.16236,13.800148,1.8711,0.0,0.0
21.68154,24.495733,12.362587,-0.9000449,0.0,0.0
22.010307,24.808022,13.148122,-1.4383606,0.0,0.0
22.405281,24.978668,13.0091715,-2.8902256,0.0,0.0
22.385033,25.212778,14.519261,0.6714272,0.0,0.0
21.976309,23.442513,10.94125,-2.866431,0.0,0.0
22.165916,24.193644,12.6922455,-3.2846482,0.0,0.0
22.897766,24.933702,11.152797,-3.274994,0.0,0.0
23.052252,24.524307,12.960598,0.67774755,0.0,0.0
23.500557,23.71166,10.93945,2.921069,0.0,0.0
22.925934,23.229162,10.056176,6.367962,0.0,0.0
21.988218,22.803549,13.401128,7.269508,0.0,0.0
21.618654,22.646217,16.511272,9.787627,0.0,0.0
20.829329,19.683088,20.39015,9.562831,0.0,0.0
21.698708,18.842924,18.890554,10.150579,0.0,0.0
22.471306,20.038862,17.341248,6.7588425,0.0,0.0
23.387583,23.282618,15.919328,3.4207761,0.0,0.0
23.787348,23.066736,15.692842,2.9647515,0.0,0.0
22.338148,20.96176,15.273793,3.7780485,0.0,0.0
21.27389,20.664185,15.417198,4.308664,0.0,0.0
19.33178,22.89431,13.932513,3.6258895,0.0,0.0
20.197157,25.256754,14.8499155,6.124232,0.0,0.0
21.619873,26.627296,17.259684,10.482026,0.0,0.0
23.075949,28.555906,17.999413,11.958324,0.0,0.0
23.081377,27.669111,17.236933,9.541604,0.0,0.0
23.137209,26.0376,13.879143,3.185724,0.0,0.0
22.348108,24.120987,13.049118,1.9411659,0.0,0.0
22.54822,25.619211,14.726911,3.5780003,0.0,0.0
22.80462,27.411901,15.053304,7.9574447,0.0,0.0
22.593542,11.25235,22.016703,7.7088647,0.0,0.0
20.1026,-15.338333,25.691324,0.31848335,0.0,0.0
18.67378,-41.678654,30.987093,-8.863179,36.442963,0.0
18.565783,-48.93086,29.349325,-16.774462,36.562798,0.0
21.136627,-42.831676,29.557024,-17.82814,36.713074,0.01586309
22.236181,-35.705593,29.998184,-24.231949,36.85016,0.014856201
23.768023,-26.750174,29.94628,-27.916977,36.876995,0.016697219
24.413406,-19.959936,29.151535,-31.163666,36.895584,0.024647385
27.33555,-11.028653,25.223602,-28.215628,36.907574,0.020964406
28.491674,-2.6378953,19.797148,-27.111702,36.92602,0.014504529
28.14522,1.5954094,16.164522,-26.83802,36.855564,0.011825621
26.63061,6.1599565,14.449391,-28.329687,36.850327,0.017320616
26.40864,10.25692,14.492423,-28.247871,36.864357,0.020861953
25.784897,16.866667,13.785464,-25.14559,36.931778,0.01999774
23.828894,20.191542,12.711955,-20.741737,0.0,0.0
21.06529,20.605219,11.854515,-18.421926,0.0,0.0
21.149963,21.87982,12.000913,-14.609662,0.0,0.0
21.989298,24.353601,13.094985,-12.404259,0.0,0.0
23.458038,27.201014,15.646763,-8.307367,0.0,0.0
