mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
20.54944,21.777725,12.956391,0.8253091,0.0,0.0
20.33605,22.42463,14.88107,4.699634,0.0,0.0
21.244995,24.107134,16.10078,7.8797736,0.0,0.0
21.250088,23.616356,15.274066,9.267047,0.0,0.0
21.236025,22.582932,12.612432,6.8144555,0.0,0.0
21.095282,21.389277,11.805236,5.098376,0.0,0.0
21.68003,22.030281,12.631867,4.010987,0.0,0.0
22.769278,22.733927,14.150715,6.582957,0.0,0.0
22.762337,21.483664,13.892379,9.49905,0.0,0.0
22.096487,20.794836,15.142129,11.763947,0.0,0.0
20.725733,18.566776,13.465848,9.407924,0.0,0.0
19.185423,17.766886,12.671666,6.094421,0.0,0.0
18.7283,17.355057,9.730628,5.2749867,0.0,0.0
19.732464,19.187275,10.20126,7.74465,0.0,0.0
19.462132,18.120935,11.571498,7.6875463,0.0,0.0
18.853735,17.44887,12.49438,4.473937,0.0,0.0
18.689735,17.202944,11.680958,2.4941595,0.0,0.0
19.035519,19.359179,14.273277,4.136501,0.0,0.0
19.150667,18.848333,14.081286,5.0072203,0.0,0.0
18.648262,19.530409,16.297781,5.3604016,0.0,0.0
20.074478,19.379692,14.118187,5.422197,0.0,0.0
21.941965,20.547722,15.049434,8.700484,0.0,0.0
20.110802,18.914343,15.29646,9.272126,0.0,0.0
19.251678,18.898119,13.985444,7.4816833,0.0,0.0
18.457949,20.294645,13.213975,5.6453977,0.0,0.0
19.48157,21.345434,9.938267,2.253362,0.0,0.0
19.542875,21.987017,8.256223,2.5516036,0.0,0.0
20.12307,22.694807,9.379911,2.5205224,0.0,0.0
21.250624,24.264387,11.224823,4.363706,0.0,0.0
21.027475,24.521019,12.9022455,6.6140285,0.0,0.0
20.80755,23.24322,12.952625,6.481163,0.0,0.0
20.697412,24.253378,12.14166,5.7232404,0.0,0.0
21.696798,26.41963,11.857594,4.427895,0.0,0.0
21.917517,28.745405,10.1787195,3.985836,0.0,0.0
21.31373,27.529417,12.144135,8.868836,0.0,0.0
20.631294,26.213419,11.81537,10.592761,0.0,0.0
19.981386,25.347567,13.909764,13.303765,0.0,0.0
20.451881,25.174751,13.743415,8.991534,0.0,0.0
20.118113,25.336454,13.084778,4.573438,0.0,0.0
19.854511,25.510391,11.576489,0.27819774,0.0,0.0
18.826094,25.734648,10.07784,-0.47013998,0.0,0.0
17.60875,25.7414,11.554149,2.0946975,0.0,0.0
17.857368,24.395096,11.492172,2.6945512,0.0,0.0
18.64329,22.633093,10.275263,3.5745285,0.0,0.0
20.361067,21.332527,9.878674,3.678788,0.0,0.0
20.339067,21.367678,8.567776,4.803167,0.0,0.0
20.32335,23.468405,11.653428,5.8438087,0.0,0.0
21.368193,26.316023,10.216041,4.7632475,0.0,0.0
21.999853,25.336637,10.189176,3.021004,0.0,0.0
21.754013,25.140993,7.0564327,-2.2765627,0.0,0.0
21.534647,20.112093,8.853665,-0.07723459,0.0,0.0
22.026268,14.768882,3.8043995,1.1848631,0.0,0.0
23.44692,10.7551775,1.7682644,7.3813896,0.0,0.0
22.953318,9.531873,-2.161566,4.1425333,0.0,0.0
23.6008,15.862924,3.5867321,5.116776,0.0,0.0
23.551285,18.153797,5.683656,0.68576646,0.0,0.0
22.34028,20.14003,8.519784,1.2361804,0.0,0.0
19.121529,16.353354,11.929366,0.8493081,0.0,0.0
18.341301,12.565959,16.172249,3.3253167,31.23616,0.0
20.49835,9.141368,18.944927,8.166455,31.306372,0.0
24.085714,8.536452,14.873813,10.636062,31.475458,0.06881513
24.542692,7.554028,11.269582,13.463645,31.563951,0.055759314
25.410652,8.160869,6.9638934,10.058954,31.567635,0.04272015
26.79946,12.098399,6.4710336,7.200626,31.512197,0.017202176
23.824486,19.38991,5.790642,5.1152706,0.0,0.0
15.034301,25.917746,3.3509972,1.0439461,0.0,0.0
4.913302,30.090601,-0.99793476,-0.8482344,0.0,0.0
0.49576142,35.91594,-3.6342337,0.5019639,0.0,0.0
-0.73718953,40.991978,-2.5799518,6.529634,0.0,0.0
-3.7371674,44.908016,2.0161324,11.424264,0.0,0.0
-8.551361,42.24618,1.5707039,9.236057,0.0,0.0
-12.172849,41.14696,-0.052710693,10.083756,0.0,0.0
-13.975365,38.91184,-2.747134,9.414957,0.0,0.0
-13.770523,37.99423,-4.3589535,11.951646,0.0,0.0
-14.309875,38.03639,-3.9926193,13.38646,0.0,0.0
-14.5327,39.836918,-2.2981865,12.886058,0.0,0.0
-16.582129,42.418625,-0.4404923,7.4611106,0.0,0.0
-18.572851,43.120136,3.6369689,1.1769987,0.0,0.0
-19.989614,40.6458,6.5475802,0.25929546,0.0,0.0
-20.66021,36.01755,11.945747,1.3192056,0.0,0.0
-19.314894,28.468443,12.203366,1.1771922,36.148224,0.0
-14.364015,19.771887,12.171295,0.96190554,36.107258,0.0
-1.8631576,13.476177,6.9547997,1.7111732,36.049583,0.0
10.865371,8.635193,1.4563074,-1.1424001,36.03683,0.0
20.48736,6.7656784,-6.588642,-6.0851617,36.064255,0.0274825
25.400055,3.4881458,-10.330601,-8.79783,36.099766,0.018642044
30.231115,0.53861785,-14.161048,-6.6941257,36.13264,0.005981205
35.749355,-0.36165085,-15.059367,-3.3221996,36.154922,0.0033287036
39.212997,1.2476734,-16.66539,-2.7589314,36.169464,0.008328511
38.03365,4.8599825,-11.304509,-3.5342915,36.14616,0.016299538
32.403576,5.87919,-5.1253333,-5.962027,36.132027,0.021207944
23.484129,4.9360538,1.63681,-4.0379443,0.0,0.0
16.1637,4.8038144,8.075898,-0.03563245,0.0,0.0
10.892882,5.242878,12.282288,5.3217144,0.0,0.0
8.582306,8.246427,18.515251,6.0793567,0.0,0.0
8.23302,11.997093,20.698633,5.8922844,0.0,0.0
8.073606,14.482747,22.654757,5.0824304,0.0,0.0
9.066508,16.13774,23.564232,5.1588597,0.0,0.0
9.458569,12.506297,23.02292,4.6926637,0.0,0.0
14.198827,12.164556,20.710876,2.9864838,0.0,0.0
21.026949,9.121842,16.60515,-3.1501658,33.297546,0.0
27.286453,9.158649,11.959361,-12.330205,33.2784,0.0
31.452211,9.749748,8.607186,-16.528671,33.214275,0.04666374
29.985245,18.196915,3.5885165,-16.04667,33.249058,0.04666374
24.138174,29.51972,0.92157006,-10.221501,0.0,0.0
13.498515,38.15202,-1.5480208,-8.319687,0.0,0.0
5.21722,43.952503,0.8283801,-5.047568,0.0,0.0
1.3526244,46.326984,-0.062984385,-7.1080894,0.0,0.0
0.17839135,49.658962,3.9237068,-7.368218,0.0,0.0
-2.155731,47.532917,4.7483563,-10.268498,0.0,0.0
-4.31413,46.953686,6.800154,-6.603623,0.0,0.0
-5.846744,43.599117,2.8105335,-6.063377,0.0,0.0
-6.455007,39.435993,-0.11800202,-2.499481,0.0,0.0
-6.1200447,34.87033,1.0403913,-0.016035398,0.0,0.0
-7.7247314,30.294695,3.7922065,3.0986168,0.0,0.0
-6.127274,29.76901,9.106246,6.3275986,0.0,0.0
-0.03174019,28.22242,9.400979,10.258488,0.0,0.0
9.974748,26.024557,8.575098,13.375295,0.0,0.0
17.71675,22.31796,3.7908125,15.530327,0.0,0.0
20.11273,19.373259,3.834008,12.068805,0.0,0.0
18.810707,22.534712,5.631054,5.797924,0.0,0.0
13.800731,27.377127,6.6401973,3.5011063,0.0,0.0
5.6632133,33.932327,5.2571135,2.6991396,0.0,0.0
-0.6005926,37.05307,2.603711,4.4766536,0.0,0.0
-4.439259,38.627346,2.6122344,0.58655405,0.0,0.0
-6.769682,35.61924,4.0505567,-0.6865842,0.0,0.0
-9.533278,36.706135,7.403019,-1.8847092,0.0,0.0
-11.241501,36.500538,4.9809833,-1.3895416,0.0,0.0
-11.415076,38.127956,4.0255504,-2.0672715,0.0,0.0
-11.370353,34.822647,0.26114985,0.6397082,0.0,0.0
-12.0059805,35.735355,3.1263015,4.575171,0.0,0.0
-12.878861,37.126366,1.9217256,7.8585505,0.0,0.0
-14.165822,39.432175,4.290336,8.692707,0.0,0.0
-14.152184,42.65706,5.6644306,11.911267,0.0,0.0
-12.386432,44.828568,5.354433,13.049583,0.0,0.0
-10.138893,43.07221,2.3833191,14.779923,0.0,0.0
-5.4389358,31.451279,0.5067216,14.725288,0.0,0.0
-1.6750774,20.895483,2.1516817,9.006688,0.0,0.0
2.3311646,14.073222,5.3239055,4.0731053,0.0,0.0
6.6864257,17.319958,6.6569886,-3.96078,27.922426,0.0
11.661382,20.307425,7.084575,-3.9643288,27.897135,0.0
19.07019,22.89125,3.9914248,-9.815962,27.815641,0.0
23.822327,22.097815,0.9968501,-10.801074,27.774883,0.0
28.054518,19.444368,-3.515918,-11.515622,0.0,0.0
28.636398,15.175004,-4.8272233,-9.636681,0.0,0.0
29.180227,9.515677,-7.1376357,-7.8600373,0.0,0.0
31.592875,7.3053775,-8.258502,-9.334649,0.0,0.0
33.28108,5.296348,-8.048615,-4.8027444,0.0,0.0
34.105717,5.7016845,-7.8762126,-5.1810346,0.0,0.0
31.577438,6.164432,-4.0476213,2.2546334,0.0,0.0
31.12615,9.754853,-1.4529533,1.190195,0.0,0.0
30.696442,12.216413,3.5493076,3.6613834,0.0,0.0
30.87999,15.0382805,5.3445163,-1.4898046,0.0,0.0
28.848558,16.80876,7.943657,0.8086172,0.0,0.0
26.633194,20.433847,10.670903,2.4184873,0.0,0.0
24.895317,22.55398,12.384305,4.8812766,0.0,0.0
24.353224,24.921926,13.37165,6.4747396,0.0,0.0
23.186754,24.962564,13.056007,4.0939717,0.0,0.0
22.284754,25.900696,13.419144,5.8812847,0.0,0.0
19.575668,18.267815,16.17179,12.077972,0.0,0.0
17.63201,10.787685,15.822221,20.046162,0.0,0.0
14.989113,2.9494808,16.300121,20.356878,0.0,0.0
14.331765,3.2951038,13.999194,15.514657,0.0,0.0
14.133126,5.572468,19.38288,14.473914,0.0,0.0
14.757367,9.020642,21.049511,12.637276,0.0,0.0
15.536798,10.636575,22.814278,11.298341,0.0,0.0
17.427933,12.91454,20.763428,8.979546,0.0,0.0
18.200647,10.84044,20.141212,10.003518,0.0,0.0
20.213223,15.585167,19.279158,11.498866,0.0,0.0
19.129778,15.53257,15.348186,9.634318,0.0,0.0
19.987776,20.79928,16.391928,12.3820915,0.0,0.0
20.512804,21.423447,13.284886,9.581539,0.0,0.0
21.353958,24.841795,15.121101,10.558957,0.0,0.0
21.142727,24.36471,13.692769,9.484714,0.0,0.0
20.116697,24.958834,14.910449,8.524449,0.0,0.0
21.023458,26.23375,15.484474,9.456227,0.0,0.0
21.391594,28.503288,16.143793,8.318134,0.0,0.0
21.512205,27.843262,17.612474,9.396994,0.0,0.0
20.621538,26.004087,16.446798,7.760002,0.0,0.0
20.078112,23.402777,16.10573,7.9402714,0.0,0.0
20.313715,23.680506,14.322453,7.8473907,0.0,0.0
21.228819,25.666014,16.66491,9.768741,0.0,0.0
22.301926,27.619339,16.7908,9.7497,0.0,0.0
21.709635,26.238272,16.851213,10.622352,0.0,0.0
21.15934,23.00744,13.293036,9.948125,0.0,0.0
20.888195,21.745361,10.699417,9.253303,0.0,0.0
21.96402,22.298637,11.740318,8.957856,0.0,0.0
22.444204,23.776863,12.910572,6.2780113,0.0,0.0
21.50199,23.487251,12.605259,5.4070053,0.0,0.0
21.762777,21.974829,9.694446,3.6604729,0.0,0.0
22.07961,21.854284,9.248184,4.788697,0.0,0.0
23.322958,24.290718,10.96404,5.3768773,0.0,0.0
21.514404,25.165998,10.837817,6.2882648,0.0,0.0
20.989817,25.678965,9.961656,4.639193,0.0,0.0
20.95678,23.557785,9.03295,7.1865096,0.0,0.0
22.85228,24.753805,11.06662,8.44005,0.0,0.0
22.254517,24.342165,11.8224,10.128722,0.0,0.0
21.251465,25.494947,14.023071,7.2916503,0.0,0.0
19.478735,24.7297,13.348106,6.9799733,0.0,0.0
20.860247,25.330437,14.199344,4.711904,0.0,0.0
21.449463,25.162537,12.759221,4.3320413,0.0,0.0
22.776182,27.747137,16.399023,2.4612572,0.0,0.0
22.06453,28.303648,16.736538,4.663337,0.0,0.0
21.106573,28.360441,17.164268,5.690861,0.0,0.0
20.20231,26.617208,17.120722,10.283734,0.0,0.0
20.211103,26.091097,15.873364,10.470702,0.0,0.0
21.065002,27.716345,15.962993,6.5778623,0.0,0.0
21.114586,28.460989,14.296371,4.823519,0.0,0.0
20.722193,28.109701,14.300702,2.9977913,0.0,0.0
22.01591,26.344368,12.909683,6.471962,0.0,0.0
23.46026,26.355743,12.204314,4.1192107,0.0,0.0
23.759867,25.41102,11.435783,6.0306983,0.0,0.0
21.514566,25.616838,15.256228,9.466485,0.0,0.0
19.961084,25.78157,16.828491,10.461265,0.0,0.0
19.560703,28.179682,17.903675,10.271528,0.0,0.0
19.970201,28.700724,16.67586,5.2896442,0.0,0.0
20.640408,26.868586,14.683711,4.3492694,0.0,0.0
21.461496,27.131685,16.68062,5.7073255,0.0,0.0
21.06888,26.86441,15.294022,6.757412,0.0,0.0
20.857847,27.570953,15.851705,7.2313275,0.0,0.0
19.96329,25.523745,13.019909,3.5406587,0.0,0.0
20.81423,24.526627,14.293193,3.1739843,0.0,0.0
20.986168,26.752207,14.023671,2.9988277,0.0,0.0
20.226374,27.631052,13.6629715,4.403934,0.0,0.0
19.25973,28.141579,11.084966,4.731409,0.0,0.0
19.826534,26.412855,11.175229,6.289543,0.0,0.0
