mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
24.590828,21.763433,15.3297415,6.096131,0.0,0.0
22.876541,21.904236,12.326009,4.027162,0.0,0.0
22.1391,22.207346,9.060242,2.1794825,0.0,0.0
21.437746,24.076036,10.577088,2.7148914,0.0,0.0
22.303194,24.232729,12.947467,5.248299,0.0,0.0
21.952433,23.9116,16.119501,6.310967,0.0,0.0
22.438997,23.379288,15.898982,6.6893964,0.0,0.0
22.059065,23.580938,14.934337,9.06014,0.0,0.0
22.24025,26.858488,16.173872,9.625836,0.0,0.0
21.76976,26.934526,15.270247,7.990477,0.0,0.0
21.271347,27.386856,17.976599,4.6780477,0.0,0.0
20.797585,26.554337,16.850344,3.2448003,0.0,0.0
20.361252,25.89617,16.643137,4.3736234,0.0,0.0
20.633661,27.326315,17.397085,6.968785,0.0,0.0
19.956512,24.590017,13.507523,6.2010016,0.0,0.0
21.390875,25.90341,15.911286,8.139695,0.0,0.0
21.435621,23.57827,15.284897,8.207553,0.0,0.0
22.515802,22.615194,18.074844,12.88926,0.0,0.0
22.229025,21.497065,14.983369,12.931293,0.0,0.0
21.584864,20.918705,12.751271,12.79158,0.0,0.0
20.958242,22.264845,14.382137,12.992227,0.0,0.0
21.500938,23.028936,19.680025,13.916944,0.0,0.0
22.76716,25.169846,23.364168,16.021374,0.0,0.0
23.989367,24.673273,25.586607,17.777788,0.0,0.0
25.215904,25.786276,24.149176,18.261656,0.0,0.0
26.028656,24.816893,21.571352,15.701526,0.0,0.0
26.465921,26.925337,21.968111,14.644923,0.0,0.0
25.89419,25.388285,22.533499,14.484305,0.0,0.0
26.148169,27.560081,23.372091,16.320486,0.0,0.0
24.835932,27.84076,21.755264,12.054611,0.0,0.0
18.888296,22.02678,25.73613,1.4629765,32.59266,0.0
18.527094,15.736694,27.046259,-5.8907676,32.595932,0.0
22.343386,4.6226616,24.764534,-8.3492,32.588776,0.0
32.57266,-0.8214278,13.945035,-5.3999324,32.833282,0.03994864
38.436314,-7.9938254,4.228276,-7.7717133,32.948685,0.03994864
41.89257,-8.435311,-4.8851624,-11.930389,0.0,0.0
44.936695,-8.579502,-11.618835,-17.45735,0.0,0.0
44.883343,-9.121492,-16.25038,-22.322836,0.0,0.0
45.235386,-8.145326,-16.763914,-23.591623,0.0,0.0
44.987026,-4.618806,-15.724076,-26.628609,0.0,0.0
45.398834,1.0348788,-13.716148,-28.32408,0.0,0.0
