mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
21.942938,27.100435,12.731555,0.3859289,0.0,0.0
22.439484,27.277552,14.561376,2.857744,0.0,0.0
23.156097,26.047165,14.731526,1.5344971,0.0,0.0
23.271154,26.009089,12.427587,5.3435745,0.0,0.0
22.309706,25.418161,10.430633,3.200208,0.0,0.0
21.312174,26.738024,11.541766,8.788693,0.0,0.0
19.607391,26.017569,11.329499,9.011452,0.0,0.0
21.036583,26.918121,14.776279,10.167195,0.0,0.0
21.818521,27.296762,14.437909,7.44582,0.0,0.0
22.740911,27.1313,12.226874,3.7380018,0.0,0.0
21.530855,25.752747,8.692302,4.340072,0.0,0.0
20.631815,26.204596,10.173387,4.5171256,0.0,0.0
21.142958,25.76986,12.98873,3.4560578,0.0,0.0
22.227457,27.737612,15.985621,3.9587543,0.0,0.0
22.4011,26.073265,15.842915,4.994829,0.0,0.0
22.544176,27.454683,15.708961,6.4955373,0.0,0.0
21.231672,25.657423,14.346203,4.154432,0.0,0.0
20.72605,25.35533,14.561606,3.3306131,0.0,0.0
18.504234,23.925756,15.3037,3.8183718,0.0,0.0
19.201088,24.134636,13.236121,2.1242611,0.0,0.0
19.216654,25.079414,11.885002,-2.354658,0.0,0.0
20.134201,25.152254,8.803937,-5.5768485,0.0,0.0
20.603376,25.655706,10.323546,-1.8829027,0.0,0.0
21.023352,25.433004,10.210288,3.0599728,0.0,0.0
15.484035,25.15673,12.8446,2.229235,0.0,0.0
3.7491999,27.559975,10.794328,0.012136717,0.0,0.0
-7.918467,29.699286,13.050351,-5.254961,39.204296,0.0
-7.0166593,27.170303,17.021753,-3.0928657,39.186428,0.0
2.3771446,15.318276,19.281023,-8.620768,39.104115,0.0
15.398641,0.34533563,10.569026,-15.414451,38.98755,0.019637318
21.585459,-10.225502,-2.5422418,-26.645721,38.90981,0.015232497
24.974289,-15.408157,-9.916093,-31.638601,38.931465,0.007288035
27.117615,-16.468935,-13.697791,-33.362747,39.006607,0.006824078
29.525246,-16.89571,-17.19832,-35.19051,39.092213,0.005907533
31.614716,-14.996596,-19.2502,-35.798473,39.527847,0.0025415374
32.086704,-11.543808,-20.23359,-35.65219,40.018963,0.0030837583
31.801874,-10.043971,-19.95001,-35.10055,40.441303,0.002789027
30.811453,-10.336929,-24.67613,-38.01203,0.0,0.0
30.36387,-11.336335,-23.166742,-36.386127,0.0,0.0
31.424677,-9.349174,-23.523544,-36.320732,0.0,0.0
33.19319,-8.97561,-22.38549,-37.0731,0.0,0.0
34.93659,-10.552529,-25.420069,-41.445477,0.0,0.0
36.531956,-10.905335,-24.689857,-44.25638,0.0,0.0
38.596375,-8.530164,-22.772926,-44.77708,0.0,0.0
37.780506,-1.0223147,-17.148067,-39.219883,0.0,0.0
30.71936,6.1030693,-13.628957,-33.596233,0.0,0.0
22.84762,14.181203,-10.4065485,-29.110453,0.0,0.0
16.43303,15.218353,-9.220788,-28.041765,0.0,0.0
16.253553,15.930881,-7.744095,-29.58679,0.0,0.0
14.2648325,16.46586,-4.6667876,-25.847105,0.0,0.0
12.180982,18.739893,-4.051904,-22.439575,0.0,0.0
9.236226,18.116982,-1.377509,-12.138657,0.0,0.0
8.565591,12.934288,1.5670427,-4.8033214,46.095,0.0
12.896077,7.5392056,-1.4855057,-2.516097,46.025692,0.0
21.45725,-0.29549155,-14.233794,-4.452156,45.89317,0.0
28.545984,-5.6882534,-31.892832,-7.29876,45.62628,0.039709494
31.350893,-12.8668165,-47.208145,-10.3203125,45.26737,0.029543191
30.384338,-14.812424,-53.887497,-10.127402,44.96948,0.0132006975
29.67421,-15.25457,-53.397552,-5.2717137,44.747936,0.0101424595
30.638954,-15.484657,-46.560528,0.4667492,44.716736,0.010608394
33.757298,-15.219417,-36.775105,3.1298296,0.0,0.0
37.74297,-14.546608,-28.01676,4.434719,0.0,0.0
41.959354,-10.368922,-19.632002,7.379698,0.0,0.0
42.540012,-5.7001023,-16.970367,7.356304,0.0,0.0
43.881237,-0.37861,-14.092708,4.797312,0.0,0.0
41.757328,3.042947,-12.40129,0.37262598,0.0,0.0
31.65687,4.1233497,1.3694128,-8.407868,40.218826,0.0
20.210974,5.25851,12.364926,-18.64425,40.151443,0.0
11.590477,3.8370907,27.220785,-31.64775,39.64662,0.0595666
12.017385,-1.8254523,27.226065,-40.989807,39.174637,0.047399763
13.404572,-11.485837,27.717638,-48.95598,38.72995,0.036057424
12.755511,-19.402966,24.17436,-54.25057,38.684387,0.029643679
11.988972,-25.44098,21.172728,-56.443726,38.668133,0.02306331
12.302424,-29.470945,17.40156,-56.30189,38.671215,0.014970653
12.782567,-32.357075,11.230952,-52.338634,38.70835,0.0022281741
13.2628355,-32.34685,8.154978,-47.583374,38.83499,0.0015335785
13.106816,-30.019203,6.4361935,-44.436214,38.987537,0.0020634613
14.424487,-25.037836,9.960202,-44.737103,39.07805,0.0033851136
17.112085,-21.663202,14.02786,-43.493423,39.036987,0.004267054
20.127481,-20.855345,16.525072,-42.705936,38.97063,0.005018749
22.53051,-18.962227,14.970277,-41.498306,38.81287,0.0053999345
22.172983,-14.781278,16.642992,-37.873943,38.687046,0.0066054557
20.154083,-11.768266,20.265032,-29.850143,38.540455,0.010989635
17.87107,-11.682199,22.198145,-23.385756,38.48464,0.0090536345
17.060043,-12.965538,19.3844,-25.392393,38.415337,0.008001952
16.360247,-12.238876,16.811499,-34.642956,38.33301,0.0025324041
19.617262,-11.053241,17.050533,-38.175842,38.270283,0.0040748795
22.876442,-8.490018,20.311968,-34.528202,38.214325,0.004826849
27.96549,-4.3559113,23.170364,-27.92599,38.0953,0.0057042823
30.429132,2.3075192,28.021515,-22.1221,38.034286,0.005543489
31.022882,5.8155823,28.233307,-22.1667,0.0,0.0
29.378815,7.718653,30.103247,-18.76525,0.0,0.0
22.841013,10.93317,26.991873,-18.222626,0.0,0.0
15.0743475,20.869905,21.306341,-16.887285,0.0,0.0
3.4816742,29.568842,12.420297,-18.483736,0.0,0.0
-4.989655,34.51024,9.877307,-18.237978,0.0,0.0
-11.116071,33.18427,15.2515,-14.918294,0.0,0.0
-11.341843,32.175056,25.14454,-9.195983,0.0,0.0
-8.224338,28.890997,30.037254,-9.185206,40.57763,0.0
-1.5586761,23.762917,30.097906,-11.1207,40.60354,0.0
5.4476466,16.48336,26.857637,-19.629341,40.582348,0.007864229
10.584385,6.946211,23.85592,-24.392542,40.35146,0.013673489
13.293826,-4.685037,18.307562,-35.904922,39.838074,0.012831636
15.6973915,-13.567948,15.886434,-40.77998,39.35753,0.015468952
16.901627,-22.505096,14.091245,-43.169003,38.9941,0.0134593295
17.32975,-30.06029,14.219874,-39.52347,38.939415,0.012759298
16.910336,-38.339012,9.031452,-40.096287,38.97678,0.009717608
17.51306,-43.024918,4.6262755,-42.98323,39.06543,0.0038540491
17.400444,-44.301895,4.6718063,-43.803696,39.175777,0.004016378
15.998126,-45.458797,6.4130692,-44.31708,39.262623,0.0033903343
14.233081,-45.60562,10.597984,-42.557465,39.336216,0.0037906226
13.305697,-46.19913,15.277537,-40.384434,39.49537,0.0024999431
12.79169,-45.9387,17.886484,-41.211376,39.877033,0.0032029592
11.70317,-48.18514,18.1576,-42.010357,40.679173,0.003659755
13.858525,-49.6357,15.594296,-42.731304,41.359035,0.022214485
15.968616,-50.23979,15.146046,-36.153336,41.688736,0.027647788
18.310045,-44.7868,14.447726,-29.522818,41.51269,0.033081096
19.109413,-37.831997,12.64944,-26.403587,41.41252,0.019579781
18.983574,-32.049053,8.864323,-22.839819,41.443905,0.020532504
22.315023,-30.027542,3.7964437,-25.273123,41.574112,0.034349363
24.405342,-28.918547,1.2770371,-22.372938,41.633953,0.032487635
27.577166,-28.022879,1.0935477,-25.282824,41.672775,0.03703055
28.291937,-26.501741,3.2953959,-20.372374,0.0,0.0
27.843336,-23.631905,3.2942889,-20.213684,0.0,0.0
27.753006,-20.02427,3.5125725,-17.866945,0.0,0.0
21.534487,-14.818939,6.993337,-20.336554,0.0,0.0
16.397596,-6.608889,11.1905775,-22.813269,0.0,0.0
14.329277,3.457091,18.165922,-22.551283,0.0,0.0
17.7889,5.3544965,22.100058,-25.18654,0.0,0.0
21.000574,1.9399824,28.46492,-29.155807,0.0,0.0
19.637732,-6.8922324,30.095886,-35.862274,0.0,0.0
16.93836,-14.540675,27.851532,-43.97468,0.0,0.0
17.690191,-19.208736,22.681517,-42.750977,0.0,0.0
19.993322,-18.523146,19.712587,-39.04591,0.0,0.0
23.411667,-14.546384,16.901304,-31.771471,0.0,0.0
23.642618,-12.469914,18.083221,-29.001577,0.0,0.0
26.204552,-8.891282,16.060816,-32.32912,0.0,0.0
27.21454,-3.8257835,18.511238,-31.22696,0.0,0.0
29.869133,1.9495312,16.62402,-27.530823,0.0,0.0
29.734568,6.237437,15.8038435,-24.27638,0.0,0.0
30.789938,10.02246,13.061341,-22.435165,0.0,0.0
29.912111,11.776329,11.050288,-23.222021,0.0,0.0
22.439795,14.120351,6.64431,-15.770766,0.0,0.0
11.902856,20.616117,-0.12167009,-8.504798,0.0,0.0
1.323947,29.693995,-1.1350201,-4.6523166,0.0,0.0
-2.437179,34.11661,0.90074253,-3.8911114,0.0,0.0
-3.6687691,33.9202,6.225908,-0.9469719,0.0,0.0
-3.7016745,29.721918,7.955829,2.4713585,0.0,0.0
-3.1854823,26.756514,10.985736,2.8952935,0.0,0.0
-0.42498985,23.609385,13.613383,1.4888926,0.0,0.0
2.8849685,21.42891,15.860489,-0.5764239,0.0,0.0
7.0621033,17.628967,15.589566,1.1078097,0.0,0.0
11.576617,16.16625,15.88886,-0.43884483,0.0,0.0
13.231265,14.484848,14.237363,0.91035444,0.0,0.0
15.021378,15.336844,14.402402,-3.2276027,0.0,0.0
16.165575,16.048025,13.893214,-3.6787007,0.0,0.0
18.16732,18.160524,16.308683,-6.0221276,0.0,0.0
19.10881,19.614813,16.307043,-3.3260648,0.0,0.0
19.077833,20.669111,14.718263,-3.5470817,0.0,0.0
20.472338,23.389067,13.611153,0.18132639,0.0,0.0
19.756577,25.231125,13.084737,1.524787,0.0,0.0
20.250574,25.489828,14.417722,4.792114,0.0,0.0
18.281614,21.350176,11.672122,6.3609815,0.0,0.0
19.66431,21.902191,11.39524,6.885708,0.0,0.0
19.378075,21.955019,10.89556,7.7441306,0.0,0.0
20.568884,25.468313,12.86592,7.2516627,0.0,0.0
21.780678,24.770384,14.937589,8.56845,0.0,0.0
22.544268,23.324799,15.724347,9.955788,0.0,0.0
23.80851,23.42212,15.03006,9.630696,0.0,0.0
