mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
20.809404,23.947731,15.866654,5.2180295,0.0,0.0
21.17381,25.032175,13.358101,5.2173085,0.0,0.0
22.887068,26.910742,10.300185,3.6226838,0.0,0.0
23.347677,27.006144,8.661269,4.77294,0.0,0.0
24.219215,26.494879,9.091353,5.868551,0.0,0.0
23.476465,25.392656,7.945024,4.457159,0.0,0.0
22.662857,23.600878,6.0350375,2.9612887,0.0,0.0
21.333857,25.234238,9.817332,1.8685066,0.0,0.0
21.183565,25.99798,13.514752,7.1786065,0.0,0.0
20.721052,25.364725,15.827201,8.578477,0.0,0.0
20.37697,23.601755,14.107036,9.2865505,0.0,0.0
20.262466,22.546442,14.227469,8.174175,0.0,0.0
22.247595,25.873816,16.208433,8.3684225,0.0,0.0
22.984482,28.590723,15.820127,5.575541,0.0,0.0
21.722893,28.438513,12.845813,2.6888096,0.0,0.0
20.140484,25.0943,10.287168,3.9117823,0.0,0.0
19.8696,23.726328,10.489095,7.8415856,0.0,0.0
21.154814,24.731155,13.429189,12.313945,0.0,0.0
21.536957,25.158188,13.189102,6.534118,0.0,0.0
21.72528,23.326448,11.815487,5.323072,0.0,0.0
20.2169,22.128443,12.317784,3.351555,46.30061,0.0
15.493201,15.320212,20.082214,1.0137478,46.322613,0.0
8.0063,5.193495,24.183573,-12.910832,46.35539,0.0
1.2780553,-5.775158,26.262308,-27.747538,46.65359,0.0
-1.1067181,-11.085979,20.50154,-35.068195,47.07781,0.032958925
-3.759507,-15.059468,15.592247,-35.299664,47.786896,0.026124528
-5.427868,-16.344255,14.361531,-34.393406,48.26895,0.012522586
-7.7345996,-17.249811,13.820465,-34.03986,48.744785,0.024251109
-7.074016,-17.118841,13.2708235,-36.18788,48.926777,0.023556426
-7.7929435,-19.14847,12.38853,-36.876114,49.07607,0.021962514
-6.621681,-20.87078,11.207298,-38.15952,49.083466,0.012685475
-6.434265,-20.995947,13.644643,-36.313873,49.08609,0.013844579
-5.9730453,-22.13939,12.438942,-34.254868,49.084927,0.014623732
-7.0253196,-23.416977,13.033566,-32.341385,49.08206,0.009453508
-5.8661084,-23.95394,12.51904,-28.024836,49.08247,0.009784694
-1.7586732,-22.063667,12.524222,-23.755005,49.07895,0.007928681
3.9269693,-18.259703,14.18663,-20.750982,49.071583,0.009222961
9.601001,-15.793405,14.284734,-22.434893,49.063736,0.0076356246
13.674024,-13.016835,15.681213,-25.180288,49.060764,0.007952166
14.994217,-9.152959,16.633083,-25.239328,49.062008,0.007746662
14.818082,-4.3324237,16.718672,-19.118929,0.0,0.0
13.526577,0.44571853,14.345511,-10.691929,0.0,0.0
10.212926,4.890354,8.523435,-1.4894592,0.0,0.0
4.1260514,10.830258,3.6417332,3.5269947,0.0,0.0
-3.5347261,15.106826,1.8643931,8.471478,0.0,0.0
-7.1520324,17.536224,2.776631,13.47582,0.0,0.0
-8.974334,16.084335,0.8295555,17.128387,0.0,0.0
-7.6151586,16.692808,-0.1683693,18.876099,0.0,0.0
-3.3884995,16.400053,-5.6755757,10.861638,0.0,0.0
4.187685,10.252082,-12.052281,4.354322,50.76866,0.0
9.057635,-3.8234234,-22.36233,-7.8678775,50.669903,0.0
10.615478,-16.355642,-28.29998,-14.974185,50.53825,0.0
7.049488,-24.12184,-31.8804,-24.496086,50.065884,0.013333308
2.3113158,-29.36498,-31.0067,-27.039307,49.668182,0.011668205
-3.0460443,-33.761642,-24.47795,-21.971983,49.308685,0.0083774375
-6.0477567,-37.72437,-16.73758,-14.459019,49.346462,0.009057186
-6.8936787,-36.766834,-13.592616,-10.802417,49.587536,0.010241773
-6.846847,-37.291492,-14.083852,-10.890147,49.82426,0.009184532
-7.9029274,-36.96176,-13.160985,-9.361563,50.020992,0.008158888
-8.316472,-38.74049,-14.047513,-5.7717953,50.00452,0.0066881143
-9.08146,-40.778362,-16.829973,-5.882124,49.964954,0.005740968
-8.977906,-40.789143,-20.5859,-11.031184,49.89831,0.005099049
-7.753819,-39.65173,-23.321411,-12.651982,49.858753,0.0033048901
-5.893812,-36.096027,-28.692316,-17.54789,49.83523,0.0038600292
-1.4611187,-31.41139,-31.888092,-21.323221,49.77199,0.0032785488
0.786726,-28.394785,-34.00028,-31.69306,49.713528,0.0049734507
2.4643538,-25.749826,-30.053751,-35.822094,49.638607,0.00634802
3.696663,-21.2476,-26.33403,-36.48671,49.579266,0.007974313
7.512612,-14.082925,-21.959791,-39.82455,49.4476,0.0068850913
12.515412,-5.7507567,-20.571144,-42.606373,49.27405,0.005350036
