mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
24.58497,20.526653,8.122163,-0.9823833,0.0,0.0
25.462133,21.169573,6.467743,-3.1931622,0.0,0.0
26.292978,23.944092,7.437735,-3.0268395,0.0,0.0
24.016167,24.522997,7.698466,-1.296091,0.0,0.0
22.541128,25.895845,10.632676,1.3173699,0.0,0.0
20.886087,24.332565,10.240277,1.9799696,0.0,0.0
21.116049,25.23976,12.749841,1.4733137,0.0,0.0
21.451883,22.711555,11.603154,2.3146646,0.0,0.0
22.309832,21.367537,9.661379,2.5642464,0.0,0.0
23.10254,20.508444,8.034083,5.2362504,0.0,0.0
22.367332,22.064962,8.422467,3.760355,0.0,0.0
23.53829,26.128906,12.390419,2.6616313,0.0,0.0
23.26055,26.20082,15.17157,1.8351921,0.0,0.0
23.946497,25.466333,16.453089,2.7172515,0.0,0.0
22.308027,23.481949,15.154205,2.486017,0.0,0.0
22.701757,23.137712,12.266712,-0.26673603,0.0,0.0
22.657354,26.155678,10.844032,-2.530293,0.0,0.0
18.286943,26.043447,14.419594,0.7895088,0.0,0.0
15.367768,24.623919,17.736086,3.965334,0.0,0.0
14.711783,23.269445,19.831335,9.041424,0.0,0.0
19.714012,23.620972,16.814268,7.4921913,0.0,0.0
21.297796,24.59646,17.016714,8.988259,0.0,0.0
22.085693,24.38577,14.747624,4.336301,0.0,0.0
21.371826,23.745459,13.658608,3.870943,0.0,0.0
22.279434,24.113123,11.4899,0.70989174,0.0,0.0
21.868105,25.629725,11.566535,2.335488,0.0,0.0
21.444311,25.452774,8.60679,0.26460087,0.0,0.0
20.362577,24.746552,7.469053,3.01148,0.0,0.0
20.51314,21.807617,6.92177,4.02949,0.0,0.0
21.456244,22.17423,10.104397,6.386252,0.0,0.0
22.77182,23.326576,10.796421,3.608351,0.0,0.0
23.448181,25.722342,12.03169,3.886547,0.0,0.0
23.318985,26.171791,12.986524,7.365748,0.0,0.0
23.509903,26.751627,13.90023,8.417659,0.0,0.0
22.68695,25.939713,14.594795,6.160795,0.0,0.0
21.2545,24.05773,14.73653,3.2007859,0.0,0.0
19.585766,22.246435,13.389384,4.3032546,0.0,0.0
20.574467,21.973452,11.973426,4.3696046,0.0,0.0
22.138435,21.921522,9.171172,2.7756405,0.0,0.0
23.329844,20.490671,8.656833,1.8558701,0.0,0.0
21.971792,20.209982,7.6272674,0.73585194,0.0,0.0
21.512032,20.236853,7.2418103,-1.1266999,0.0,0.0
21.422783,23.178755,8.675202,-2.9003341,0.0,0.0
22.006325,23.239695,7.907406,-2.28572,0.0,0.0
22.74111,25.498306,9.8920145,0.45755434,0.0,0.0
22.576752,25.178308,11.545501,5.6447396,0.0,0.0
22.589035,25.253313,15.12987,8.059268,0.0,0.0
19.247248,22.118723,13.2636175,6.921606,0.0,0.0
19.403486,19.114798,11.070918,3.1919353,0.0,0.0
20.300072,20.067942,9.600131,5.7672296,0.0,0.0
23.29394,23.64559,12.142016,7.0110173,0.0,0.0
24.489115,28.75886,12.967214,6.1821656,0.0,0.0
24.027754,28.543818,13.523811,1.9296097,0.0,0.0
22.996561,27.721418,13.862779,4.7151456,0.0,0.0
21.703102,25.703985,14.5569315,7.092184,0.0,0.0
21.523905,24.659576,14.047394,10.024278,0.0,0.0
20.98697,20.145752,11.111859,7.6794868,0.0,0.0
21.251968,11.505626,7.628468,6.5394053,0.0,0.0
20.455585,0.9712035,7.666409,5.4999766,0.0,0.0
23.566835,-7.1875634,4.5705514,6.3500824,0.0,0.0
24.522392,-13.477776,-0.50816315,5.294525,0.0,0.0
25.318476,-18.228846,-6.963365,5.4262223,0.0,0.0
22.218979,-23.509415,-9.802182,2.6765234,0.0,0.0
20.0203,-27.773415,-10.401458,-0.5517866,0.0,0.0
20.207003,-28.512499,-10.467115,-4.7621503,39.323498,0.0
20.512125,-27.612106,-9.273548,-8.472217,39.321487,0.05656769
22.230215,-23.642878,-10.324701,-10.821057,39.306282,0.05616161
24.2165,-20.299711,-11.766543,-14.237042,39.191402,0.02381353
27.621828,-14.760409,-11.178871,-14.731209,39.102947,0.022539489
29.844633,-10.630376,-5.606768,-7.9767723,38.995213,0.0076162866
29.716461,-8.685193,-0.9655916,-3.107085,38.982082,0.008291995
30.938288,-6.260576,0.1652654,-0.06954956,0.0,0.0
29.359985,-5.9610877,-2.904791,-9.2956705,0.0,0.0
28.473038,-2.0896814,-5.3939095,-20.288956,0.0,0.0
25.801239,-1.7191592,-6.7349167,-30.847597,0.0,0.0
25.445404,-0.7091694,-7.796833,-34.724262,0.0,0.0
25.18482,-4.4794083,-10.466046,-32.81448,0.0,0.0
27.089281,-6.1317406,-13.785477,-32.940403,0.0,0.0
28.74423,-7.2601943,-13.139934,-26.697548,0.0,0.0
28.67795,-9.035903,-11.342545,-21.130339,0.0,0.0
28.307556,-10.799721,-7.9354095,-18.335482,0.0,0.0
29.927261,-8.478023,-8.868484,-18.781113,30.407875,0.0
33.231907,-3.9323006,-5.166639,-17.294012,30.395033,0.0
36.0424,0.98083466,-4.220251,-12.822151,30.319883,0.0
37.445236,5.25094,-1.4787593,-12.630528,30.271194,0.05310055
38.439934,8.402535,-3.1357415,-12.368197,30.15358,0.038473435
38.763195,11.83435,-1.6841804,-12.143204,30.059015,0.022248296
38.99217,13.944725,-1.1651422,-11.29158,30.02246,0.009660347
38.77747,17.429007,1.8474277,-10.6448965,29.699106,0.008541112
37.768,16.497702,2.3463218,-10.283286,29.37078,0.016564088
36.013783,10.3785715,-0.59528637,-10.636573,28.983955,0.013221738
35.21874,2.2873921,-7.8696423,-10.952419,28.910624,0.026817566
34.074963,-2.1864955,-11.60387,-6.860165,28.80897,0.016357591
32.82201,-2.3342388,-9.952288,-3.237016,28.711267,0.017727245
32.629616,0.38787308,-6.60628,-2.8783047,28.643076,0.0035030704
31.55385,0.410687,-4.451898,-6.8932967,28.635279,0.005369035
30.391258,0.09045291,-3.293806,-10.431827,28.655617,0.0041478057
28.898552,-0.07104882,-0.56011534,-14.277389,28.708414,0.0032835985
30.14147,1.7746964,1.7129906,-11.947328,28.831095,0.0014776584
32.82991,4.3083205,4.168477,-8.314321,28.952684,0.0019106148
34.969585,7.647352,5.0954204,-0.8630703,29.016024,0.004922721
37.064533,10.553912,4.951593,-1.1200253,28.996428,0.009892193
37.962017,15.164149,4.3513875,-4.446518,28.966963,0.033281866
39.130627,19.136202,6.252218,-10.854702,28.987175,0.036352035
38.963165,23.41868,7.5886917,-11.0462,30.061945,0.037230026
38.711227,25.98706,9.147704,-7.712527,31.211557,0.019630661
38.49512,25.805359,5.885723,-6.438436,32.350998,0.019630661
38.236378,22.957663,3.8761816,-11.604289,32.40073,0.019630661
37.679657,15.449158,-1.8850456,-21.505571,32.32411,0.05094299
36.010105,8.514404,-3.8331206,-26.528353,32.200436,0.046733093
33.83856,4.551048,-0.61678725,-26.038933,32.080376,0.043845635
31.126104,2.499144,6.720383,-20.628777,31.94948,0.008007333
28.251074,2.4887547,14.282089,-18.269392,31.790934,0.0075615793
26.168295,0.8999202,16.685081,-15.562764,31.600576,0.007444728
25.515898,2.196893,17.804167,-15.847575,31.426697,0.0061982297
25.860083,5.406939,20.475985,-16.15217,31.28892,0.00833289
27.08563,9.0318575,23.433619,-17.157629,31.132599,0.005560108
27.96353,12.73342,29.445856,-10.849583,30.983582,0.0070786136
28.517601,14.629951,33.16541,-6.596504,30.864866,0.004500168
29.863653,15.837669,31.2391,-10.019706,30.806543,0.0041574687
29.763199,16.508844,26.875166,-19.326513,30.811148,0.0052703083
29.687521,18.85878,23.988733,-22.934866,30.916414,0.0056617614
25.384924,26.777163,26.786207,-19.889006,31.141716,0.0072883605
22.145502,32.457523,29.414766,-11.990261,31.581093,0.007045187
20.90281,31.192053,27.997696,-6.6105857,31.892984,0.00780597
21.4662,22.146118,23.564142,-3.9652627,32.121555,0.008633412
23.52112,16.430147,19.189547,-2.5570807,0.0,0.0
24.263273,14.348554,20.427336,-0.109371506,0.0,0.0
27.39134,14.921459,19.249598,4.2499757,0.0,0.0
30.419046,18.643524,19.332878,4.8415933,0.0,0.0
32.47727,21.93772,13.710884,0.19444545,0.0,0.0
32.109436,25.354181,14.454312,-0.7996624,0.0,0.0
30.793425,24.161932,16.990091,-2.4739923,0.0,0.0
28.251738,23.81607,22.134565,1.371365,0.0,0.0
27.835249,22.737885,25.836622,2.0078413,0.0,0.0
26.386969,19.972998,25.989227,0.6756137,0.0,0.0
28.829788,18.430006,22.297297,-6.320269,29.373028,0.0
30.941376,19.25204,18.605175,-10.931931,29.295477,0.024535038
34.178078,20.914951,16.996782,-10.104232,29.314234,0.019920964
35.078503,24.83047,18.159042,-5.884381,29.56867,0.018725505
35.259655,27.558968,18.908115,-3.0228977,29.899239,0.012988069
36.67223,31.537867,18.629549,-3.0241792,30.050758,0.014135696
37.086746,32.316715,19.21266,-1.9378891,0.0,0.0
37.2326,32.057045,19.905416,-1.2701486,0.0,0.0
35.809803,31.0305,19.942045,0.08790386,0.0,0.0
35.935165,30.458548,20.103266,0.54286546,33.166252,0.0
36.04994,29.646627,20.449776,0.7933052,33.379185,0.0
35.365517,26.318253,26.359863,0.74492055,33.75805,0.0
30.032827,23.118164,35.351593,-5.613972,34.003017,0.0
24.317896,22.743208,43.325745,-13.823189,34.293217,0.044251557
19.308523,24.437654,45.831257,-20.674849,34.55274,0.041234743
15.460774,23.089935,43.506565,-22.554258,34.689045,0.036948536
10.206762,18.123266,39.228085,-23.881378,34.658627,0.026634313
4.7333894,13.415074,33.247135,-25.843485,34.543606,0.015715372
2.7303152,12.434124,31.117746,-26.6434,34.355236,0.0026065547
4.2715983,15.36987,32.74438,-26.43012,34.11697,0.0024892671
6.8858147,18.70387,36.503494,-25.83547,33.860626,0.004878446
9.947598,21.490744,38.495564,-24.875696,33.66203,0.0076524825
11.473194,22.377357,40.55241,-20.833303,33.48081,0.009608892
14.129017,22.596807,43.406143,-14.448323,33.384136,0.008549287
16.378357,21.077126,45.635162,-10.898847,33.35536,0.009573136
18.52405,19.61244,45.490524,-12.564181,33.370064,0.010686153
19.537607,18.588219,43.358227,-14.951215,0.0,0.0
19.406385,18.643574,41.61677,-13.68216,0.0,0.0
18.798677,16.859636,42.76021,-9.573512,0.0,0.0
17.861382,13.607102,43.99226,-8.404332,0.0,0.0
18.56863,8.712207,40.483547,-11.242269,0.0,0.0
20.613525,7.2109284,34.797413,-17.98982,0.0,0.0
23.92394,8.314697,30.037025,-24.835373,0.0,0.0
25.857485,8.992277,25.74159,-30.873276,0.0,0.0
27.361094,11.638779,23.08078,-32.400272,0.0,0.0
28.661917,12.227005,21.211908,-29.694437,0.0,0.0
30.288504,15.312366,21.416107,-26.666832,0.0,0.0
29.77359,13.260165,18.753922,-24.232788,0.0,0.0
