mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.226236,23.591986,9.068164,7.618725,0.0,0.0
23.37725,23.759699,9.148349,9.574363,0.0,0.0
24.427103,24.940851,11.452605,9.889367,0.0,0.0
23.900175,26.219177,13.854861,10.395603,0.0,0.0
22.004492,24.04006,14.94156,7.5736156,0.0,0.0
20.753035,22.627028,14.8838415,7.5582137,0.0,0.0
20.171013,22.199598,13.790185,2.8851388,0.0,0.0
19.833584,23.926031,14.450112,3.004902,0.0,0.0
19.945164,23.297043,11.772354,-1.5831052,0.0,0.0
20.406113,24.75821,13.147428,1.3943038,0.0,0.0
20.998404,24.111567,11.075413,1.1003009,0.0,0.0
20.43252,24.073586,12.371323,4.331956,0.0,0.0
19.576067,21.924093,10.076743,5.756008,0.0,0.0
20.288742,23.444056,8.811807,2.7623768,0.0,0.0
20.244196,22.084558,7.802337,2.8607705,0.0,0.0
21.196817,22.057129,8.63658,1.7396626,0.0,0.0
22.160233,21.025928,10.75603,4.8821106,0.0,0.0
23.717398,23.599371,13.991657,6.8388476,0.0,0.0
23.347357,23.857279,14.7628145,8.749935,0.0,0.0
20.60222,23.776754,15.403374,10.253521,0.0,0.0
20.449675,22.908129,12.826149,9.158192,0.0,0.0
22.10453,25.330816,12.555527,5.28801,0.0,0.0
24.116074,26.191141,12.715943,4.136973,0.0,0.0
23.15899,26.236322,11.0004,-0.23168199,0.0,0.0
22.10193,23.253853,10.847598,-1.1119221,0.0,0.0
21.122007,21.31109,10.963496,1.1758057,0.0,0.0
21.74449,21.739508,15.63267,6.157322,0.0,0.0
20.901451,20.788218,14.93032,9.282116,0.0,0.0
21.677315,21.768927,13.49232,6.0489144,0.0,0.0
23.496225,14.374599,2.6960766,-4.5496635,34.046124,0.0
26.291166,4.0607495,-8.656343,-13.309006,34.19489,0.0
28.631685,-6.5474477,-14.742027,-23.127052,34.48849,0.0
28.971703,-10.511188,-14.080837,-22.114153,34.71706,0.0
28.337286,-10.335185,-8.15048,-17.369223,34.814014,0.006663946
24.999174,-10.620673,-3.640025,-12.0474,34.768116,0.013420131
22.287271,-9.435035,1.1561246,-8.323431,34.671055,0.01444628
23.752337,-5.7926145,4.366029,-6.962049,34.573452,0.014898616
28.11821,0.3047231,5.307818,-2.8138504,34.564835,0.010900281
31.443512,4.865209,4.6125417,0.6688902,34.640957,0.009734001
29.671457,10.493385,6.749621,1.8892084,34.714146,0.0098447045
28.514097,12.051021,6.850309,2.952659,34.678986,0.007671064
27.899237,14.768743,11.953801,2.311901,34.60217,0.0101835355
27.938951,15.510184,12.820713,1.3570398,34.54286,0.01282781
24.84642,16.075613,14.348905,-4.6798644,34.482956,0.010992135
21.29082,18.234165,14.025978,-10.527713,34.447052,0.010449923
16.835527,18.295507,17.076273,-14.918446,0.0,0.0
12.179176,18.693638,21.782715,-14.946003,0.0,0.0
6.8155293,18.677794,21.517845,-16.759233,38.306725,0.0
1.9079927,19.410885,19.76285,-11.094428,38.34476,0.0
3.9315608,16.688139,13.465901,-2.8004446,38.423717,0.0
8.212924,6.342851,14.200763,7.412004,38.541264,0.0
13.702373,-4.754356,16.264952,8.969001,38.66987,0.01579494
12.634209,-10.197047,20.85486,4.15602,38.794697,0.012362811
10.492827,-9.548609,20.64495,-3.7927837,38.866085,0.0063342922
8.014735,-8.590335,21.309347,-8.409291,38.91447,0.0044004046
9.027247,-9.133113,22.59302,-10.166972,38.966164,0.0033769517
10.822926,-8.430855,25.818323,-8.200886,39.01427,0.0024315948
15.080441,-4.8921504,26.814362,-6.805899,39.083378,0.00388668
18.653994,-0.81891745,25.635376,-4.828885,39.085182,0.0041157864
21.687963,0.2626457,22.04701,-3.0463095,38.995377,0.0044334303
25.007782,0.28803208,16.60661,-6.74124,38.80768,0.0045206826
28.550924,2.391671,16.067156,-6.347426,38.683056,0.011048153
32.551876,6.548884,18.885513,-3.362156,38.634903,0.014246371
33.219105,10.082882,19.381554,0.43411565,0.0,0.0
26.940208,8.782743,19.189226,4.1589804,0.0,0.0
19.374033,5.7524333,16.584269,4.297762,38.769142,0.0
12.131839,-2.0795972,17.301842,3.6718667,38.792088,0.012448945
12.189244,-6.72994,13.969708,-2.1694496,38.615234,0.01756318
13.874141,-13.045151,6.6386414,-8.564334,38.391533,0.014854599
17.001726,-15.274894,-2.4755085,-13.461788,38.146393,0.013972751
19.400597,-20.171331,-10.557748,-17.09391,38.109913,0.006783603
21.053213,-23.211401,-12.889379,-18.206701,38.09535,0.0060637766
21.22612,-25.090418,-11.976025,-17.333162,38.093502,0.005115513
21.078346,-25.318327,-12.204536,-17.527876,38.079914,0.0033657455
20.408384,-23.083261,-14.178014,-16.83927,38.025593,0.0023531958
19.212814,-22.73574,-15.791702,-15.419789,37.933117,0.0018754825
19.409088,-20.67703,-15.523335,-14.889401,37.82285,0.0028240662
21.714167,-19.021158,-14.155797,-16.623045,37.721325,0.0059567993
25.515268,-14.39874,-15.404363,-16.292074,37.120514,0.01409075
26.473364,-10.808831,-14.769315,-12.469657,36.124767,0.021906948
24.403038,-8.709241,-18.234106,-10.111342,35.080685,0.03859387
23.00795,-7.5822372,-18.743797,-8.485319,34.518703,0.03380539
23.300718,-5.4149113,-21.15875,-11.192742,34.336044,0.031068737
25.156456,-3.3018463,-17.972979,-6.569708,34.191303,0.016076664
25.653944,-2.4525192,-17.746283,-6.815987,34.069584,0.01466033
26.097176,-1.9342151,-15.461151,-2.0121021,33.96387,0.009614625
26.559381,-1.5253726,-15.947833,0.91839105,33.855267,0.007042507
29.24026,-1.4052185,-13.74802,4.4576993,33.7796,0.006158861
30.58978,-5.3916283,-12.561336,4.9394145,33.763725,0.0057240245
31.266596,-10.016088,-11.024029,3.0119965,33.81901,0.007285161
29.81819,-12.810993,-12.23394,-0.93566483,33.904816,0.0067802686
31.464417,-10.651624,-15.3994055,-9.34494,33.968372,0.007967888
34.294205,-6.805908,-17.338484,-17.30082,33.959225,0.0044232244
38.44304,-4.1498985,-14.699051,-19.44353,33.95428,0.0046976632
39.664787,-4.6867604,-11.270024,-11.635518,33.927456,0.006149991
40.17031,-4.6197667,-5.893705,-6.7289815,34.608173,0.008795846
39.611736,-3.1255999,-5.702063,-3.9884427,35.33898,0.010537512
38.433865,-2.491493,-6.7057557,-6.24564,36.14192,0.010537512
36.28483,-4.0610657,-11.327869,-8.240586,36.277668,0.025036814
35.21063,-6.161103,-9.14465,-9.157272,36.27608,0.025702998
36.66348,-6.686735,-5.0545273,-9.566453,36.1618,0.023882305
41.38621,-5.8093257,1.3528935,-11.357944,36.077972,0.008805747
45.130096,-2.0363746,2.0269878,-10.838876,0.0,0.0
48.01509,2.3705893,2.6163146,-8.267849,0.0,0.0
48.065777,7.461605,2.331105,1.3684821,0.0,0.0
46.904613,9.562173,2.995165,7.1457214,0.0,0.0
45.287067,12.044,1.3865801,9.619861,0.0,0.0
35.43083,18.440126,2.2516654,5.2756276,0.0,0.0
22.01854,23.3305,2.0501668,-1.2758926,37.657524,0.0
13.399859,21.95986,4.200301,-3.2334316,37.723843,0.0
14.40007,10.471616,3.1461937,-9.751739,37.84078,0.0
23.064363,-0.4281486,-0.53253555,-17.489365,37.94055,0.050876193
27.824432,-8.118412,-6.933514,-30.105576,38.03983,0.038940676
31.173746,-10.863765,-14.766118,-35.443645,38.13426,0.009798467
32.34068,-13.892529,-20.636719,-36.177567,38.564293,0.009199981
31.911835,-16.453808,-22.813269,-34.279095,39.022335,0.005769935
29.601656,-20.452986,-26.63253,-35.199787,39.489212,0.012237609
29.125969,-20.467981,-28.905416,-34.55453,39.64152,0.01535919
29.86225,-17.039686,-32.612484,-36.369263,39.741436,0.017057298
32.050125,-14.419461,-33.907352,-32.93698,39.807976,0.011423923
30.584082,-18.526888,-32.998627,-30.278269,39.827206,0.009843691
30.515005,-21.433168,-28.521362,-26.412117,39.751266,0.00891881
32.63891,-19.988565,-23.93577,-23.658197,39.65557,0.007799735
36.501575,-16.003584,-21.416773,-23.429827,39.690243,0.009281163
34.54533,-14.820477,-21.126108,-22.194077,39.664043,0.01649004
33.769283,-15.501058,-19.88621,-19.035532,39.50601,0.034582153
33.41534,-14.207649,-17.142408,-14.792103,39.137177,0.034937944
38.566517,-9.483693,-18.0969,-12.168606,38.898006,0.035684466
28.821688,-0.10081228,-9.826458,-18.455069,38.24124,0.035925478
13.577214,7.050207,-2.4634106,-22.950966,37.68798,0.036938485
-4.722183,13.406956,8.905004,-20.010607,37.114697,0.032436445
-8.074584,16.47054,12.039119,-12.38375,37.011562,0.017459271
-5.1809335,20.873857,13.8465605,-7.9539857,36.8283,0.023036376
0.02700162,21.958872,12.709992,-9.956562,36.615208,0.022072902
2.9666855,21.71839,12.571125,-9.6632595,36.527885,0.024379715
3.9763515,20.423357,11.387639,-5.797115,0.0,0.0
2.8296258,19.212408,12.510693,-5.214656,0.0,0.0
0.15302332,18.21582,10.397729,-9.819003,0.0,0.0
-0.8000047,22.598633,10.716605,-12.931004,0.0,0.0
-0.46899047,28.135351,12.380071,-11.499901,0.0,0.0
-0.6585724,34.189102,15.263404,-7.115066,0.0,0.0
-2.6497514,35.88467,16.325388,-6.464491,0.0,0.0
-5.1209793,35.07417,15.438561,-5.12875,33.98733,0.0
-3.75682,29.897184,13.402947,-4.6295047,34.0604,0.0
2.9458458,24.26195,7.8856883,-4.4581513,34.163437,0.0
12.859427,17.664156,1.0202041,-10.401521,34.20004,0.02879516
21.955656,15.161728,-4.722107,-15.79063,34.278004,0.026190296
28.668564,16.9932,-2.7575195,-18.788328,34.340553,0.024939079
32.641754,20.962954,-2.2042482,-17.510529,0.0,0.0
34.496365,21.97355,-1.3469769,-16.192032,0.0,0.0
35.02707,20.962898,-2.3996115,-14.632366,0.0,0.0
34.825638,20.463572,-1.839069,-17.963186,0.0,0.0
36.315567,23.791351,-0.48220137,-19.164356,0.0,0.0
36.249664,24.927908,0.9959038,-18.433455,0.0,0.0
29.304764,23.175577,5.0509853,-9.46616,0.0,0.0
23.608261,17.403309,10.678538,-0.21867847,0.0,0.0
16.69852,10.386851,14.704814,-0.9415681,0.0,0.0
15.181705,7.5919204,16.278994,-5.129494,0.0,0.0
15.034489,11.513804,15.778778,-8.852077,32.65361,0.0
18.640348,19.060228,15.065625,-8.799458,32.686512,0.027373051
26.608713,25.148659,12.714985,-11.493782,32.727024,0.037630152
32.507385,25.736242,8.174569,-20.568937,32.730038,0.05109732
37.31733,22.028265,3.3406942,-31.220446,32.662445,0.03610106
39.218925,15.533189,-0.6874817,-37.770947,32.559814,0.024440402
39.07553,7.6030345,-7.200428,-35.008743,32.46921,0.011276535
36.612675,-0.651618,-10.712028,-25.504904,32.429054,0.01345394
31.510237,-7.168463,-7.4283943,-16.802828,0.0,0.0
27.446142,-11.811978,1.4452757,-7.6525784,0.0,0.0
25.501513,-13.171548,9.569917,-2.763793,0.0,0.0
26.600876,-13.555535,12.236283,0.44496498,0.0,0.0
27.653563,-11.423176,11.42067,-0.74120826,0.0,0.0
28.847626,-8.2557,10.468925,1.1833153,0.0,0.0
29.579508,-2.9499261,9.635105,3.8226833,0.0,0.0
30.545645,-0.1167674,11.228244,6.1582847,0.0,0.0
31.328896,2.985617,10.96713,7.441114,0.0,0.0
33.301807,7.172772,9.601719,7.940819,0.0,0.0
33.39281,14.251045,9.096002,7.9261703,0.0,0.0
32.42426,17.650423,9.098462,6.2828574,0.0,0.0
30.81369,20.234274,11.685333,8.890083,0.0,0.0
29.283005,19.00163,11.87011,10.35461,0.0,0.0
26.611559,17.444624,10.293672,16.518291,0.0,0.0
24.390198,16.075623,9.471664,19.663792,0.0,0.0
24.127548,13.778076,10.025834,21.052662,0.0,0.0
23.788195,13.676617,10.435731,18.918371,0.0,0.0
24.547287,10.271981,9.155364,19.357367,0.0,0.0
25.548555,11.406905,8.5624075,20.035795,0.0,0.0
