mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
24.11854,24.897577,8.369787,3.5923872,0.0,0.0
23.610336,23.60546,8.0142565,4.366795,0.0,0.0
22.696571,21.471197,3.910514,2.4500995,0.0,0.0
23.923372,21.692179,5.3554454,5.478142,0.0,0.0
23.602049,22.021261,4.9689775,5.0550838,0.0,0.0
24.266352,23.456833,9.814597,4.9179435,0.0,0.0
22.754295,23.160982,7.204771,2.5937316,0.0,0.0
21.030699,21.610764,5.689953,4.816743,0.0,0.0
18.541039,22.561396,6.845576,7.7189612,0.0,0.0
18.193571,23.502214,9.364651,9.905865,0.0,0.0
19.930632,25.139547,10.585762,5.538338,0.0,0.0
21.574324,23.99354,9.516644,4.5948863,0.0,0.0
22.026459,23.9876,12.0544815,6.8786626,0.0,0.0
22.024345,22.095915,16.23839,13.215306,0.0,0.0
21.623991,20.378046,17.053284,13.27274,0.0,0.0
20.222738,17.139482,16.419846,12.412009,0.0,0.0
18.50929,15.185748,15.627041,11.686339,0.0,0.0
16.795038,10.674951,14.507672,10.538482,0.0,0.0
15.730553,9.33022,15.659108,6.670978,0.0,0.0
15.010158,7.9199734,19.731344,3.389614,0.0,0.0
14.993897,9.563237,26.018646,4.5265465,0.0,0.0
12.902134,9.173343,28.500687,5.140781,0.0,0.0
12.021146,9.019909,28.275442,4.984339,0.0,0.0
11.915299,8.434418,27.226402,4.2696266,0.0,0.0
14.062978,8.524367,29.760216,8.122491,0.0,0.0
13.581146,7.46864,29.205404,8.14949,0.0,0.0
13.908626,8.20091,30.26973,7.6326203,0.0,0.0
11.240233,6.3151608,27.543055,4.9922123,0.0,0.0
9.644673,3.8831348,23.089212,2.7198582,0.0,0.0
8.151307,1.2995495,19.02063,4.7018642,0.0,0.0
10.188026,1.5184046,15.21991,3.4068682,0.0,0.0
11.661293,3.8280137,17.301962,4.7547655,0.0,0.0
