mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
19.006311,20.119032,16.928846,1.8518482,0.0,0.0
19.984383,20.413025,16.017258,5.802607,0.0,0.0
20.367935,19.702103,16.791311,6.969452,0.0,0.0
21.05202,20.180826,15.2743635,7.717703,0.0,0.0
20.473646,18.969679,16.529844,8.16956,0.0,0.0
21.44538,20.84494,16.945219,10.146318,0.0,0.0
21.125563,18.835308,16.6252,7.2405567,0.0,0.0
22.492386,19.1351,15.066819,5.354524,0.0,0.0
21.769709,16.752234,10.9712,5.870933,0.0,0.0
20.73741,16.603601,9.414973,8.710429,0.0,0.0
18.70607,17.104048,9.556533,8.26533,0.0,0.0
19.554922,20.148775,13.608833,7.9076705,0.0,0.0
20.293756,20.878183,15.125877,8.12264,0.0,0.0
21.292616,20.256704,16.11544,6.816971,0.0,0.0
20.058386,16.594208,13.554141,5.0001473,0.0,0.0
20.622795,15.901978,13.3494835,5.0557804,0.0,0.0
20.274279,17.633993,13.287526,7.109323,0.0,0.0
21.351334,20.052185,14.381321,8.146325,0.0,0.0
19.662197,18.09839,10.960339,7.357614,0.0,0.0
19.534914,16.753172,5.782993,6.375372,0.0,0.0
18.288553,14.840224,4.4197793,5.672249,0.0,0.0
19.979925,16.318298,5.6354156,4.055775,0.0,0.0
20.796743,16.366243,10.142236,3.360777,0.0,0.0
21.667032,17.162416,9.740336,-0.8802627,0.0,0.0
22.581755,20.175882,11.168015,-0.50423974,0.0,0.0
22.95054,21.127928,10.763265,-2.671313,0.0,0.0
23.76998,23.251833,12.832505,1.6539335,0.0,0.0
23.349289,20.979773,11.636116,2.4457781,0.0,0.0
23.061523,19.293863,11.757152,3.7412138,0.0,0.0
22.71428,15.298847,10.609066,5.0619655,0.0,0.0
21.619322,14.497003,12.681252,6.195912,0.0,0.0
21.95465,16.130919,16.572746,10.001363,0.0,0.0
20.762197,16.733536,16.060514,6.1394215,0.0,0.0
20.660772,17.485872,13.456088,3.7220418,0.0,0.0
19.65144,17.408485,9.649463,2.7157218,0.0,0.0
19.718628,20.20798,13.102466,7.7017303,34.250656,0.0
21.598358,5.877847,3.806348,12.144561,34.283123,0.0
19.682634,-10.810784,-7.89368,13.697188,34.451828,0.0046917764
19.208414,-27.758547,-22.88238,13.683824,34.82938,0.017398799
16.654036,-30.832888,-24.73791,9.406806,35.321045,0.034085188
18.374767,-33.030636,-25.337309,9.627186,35.675976,0.05147617
19.07782,-35.93739,-24.964472,7.396006,35.77242,0.04808313
20.96115,-36.676807,-22.450285,8.000621,35.644382,0.03990566
21.873758,-37.330887,-21.350418,2.9003468,35.488506,0.025447702
23.16775,-35.83428,-20.096682,-1.0156822,35.373302,0.01784149
23.651743,-36.067616,-21.814013,-7.8874145,35.307644,0.010203548
25.622726,-35.126373,-23.985062,-14.024135,35.218925,0.00721317
28.796244,-31.1663,-24.438797,-20.503412,35.169773,0.0047952365
33.42178,-24.485735,-24.163698,-22.722174,35.140125,0.008551908
36.927933,-18.325073,-20.853088,-24.988317,34.888897,0.011866993
39.157887,-17.087225,-18.285196,-24.155096,34.50456,0.016221942
40.357624,-13.505707,-15.153149,-24.687262,34.08717,0.018792292
41.347485,-8.100688,-13.8254175,-17.977417,34.04311,0.016229663
42.110455,-1.1392103,-11.045012,-12.645581,34.1944,0.023742234
42.550774,5.5834866,-7.47707,-10.000131,34.43105,0.024600878
43.65157,11.0158,-2.7761497,-10.03209,35.09051,0.031962413
43.044403,16.546461,1.2184087,-9.735187,35.80447,0.028861688
40.06006,17.959305,4.1965504,-8.489801,36.492123,0.028861688
36.448753,18.377867,7.71444,-12.7534685,36.69716,0.05294068
