mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
23.278963,-7.374952,-7.063111,-9.168632,44.26189,0.004475111
23.958023,-4.8715835,-3.1357687,-5.3883324,44.26,0.0038832666
24.735228,-2.4761324,1.0468181,-3.6262505,44.26366,0.0035041452
26.161844,0.17473452,0.8638811,-3.8523626,44.261997,0.0077556423
26.70321,1.5135635,-1.7869521,-8.407384,44.25485,0.013253276
28.121521,4.0684085,-5.9509315,-7.4965835,44.239548,0.015313028
28.658861,5.708954,-5.428021,-6.6390514,44.233475,0.014920622
28.885155,6.598186,-4.7701535,-4.0750337,0.0,0.0
28.617052,7.5347733,-2.7156944,-5.441483,0.0,0.0
27.908258,9.94881,-1.3350874,-6.0388527,0.0,0.0
27.189768,13.5475645,2.1520977,-5.9558105,0.0,0.0
25.776182,16.047247,4.0176044,-4.1848865,0.0,0.0
24.647253,18.322586,7.8255596,-1.4682077,0.0,0.0
23.192831,20.763306,9.131778,0.5488882,0.0,0.0
23.270819,20.398119,11.804749,2.7602215,0.0,0.0
21.964905,19.597313,16.985922,7.0097194,0.0,0.0
21.689432,19.36777,20.375458,12.629205,0.0,0.0
20.652777,22.22067,23.564154,13.499824,0.0,0.0
20.425722,23.67221,22.423012,9.422899,0.0,0.0
19.971987,24.065577,21.721006,4.885827,0.0,0.0
17.794754,21.411951,23.494667,7.5447154,0.0,0.0
17.433563,20.016106,23.95906,11.895119,0.0,0.0
17.381712,17.038305,22.416115,11.922948,0.0,0.0
18.494535,17.930342,22.661291,9.544641,0.0,0.0
18.92039,16.655079,20.721336,5.086668,0.0,0.0
18.513945,17.475227,22.401834,6.6830277,0.0,0.0
18.16407,16.024588,20.12465,4.801447,0.0,0.0
17.10239,16.029007,22.133179,6.384992,0.0,0.0
16.711538,16.12993,22.729753,4.6539917,0.0,0.0
15.753474,15.926067,21.49093,7.4500937,0.0,0.0
15.692746,15.8727,18.87192,4.5140977,0.0,0.0
16.48297,14.864913,18.078428,5.4090075,0.0,0.0
17.942814,17.543097,19.793348,5.4820085,0.0,0.0
17.722208,17.551283,19.289007,6.4646297,0.0,0.0
16.913261,18.086842,18.03052,3.4616182,0.0,0.0
16.306126,15.97244,15.612714,0.3738682,0.0,0.0
17.277523,18.18933,17.840265,1.9121553,0.0,0.0
17.121603,17.038116,18.966505,1.9444151,0.0,0.0
17.0016,17.3253,21.957476,1.9564043,0.0,0.0
17.018387,15.338779,22.201868,-0.4467155,0.0,0.0
16.935001,15.152835,22.589624,1.4060272,0.0,0.0
15.9353895,14.589541,21.438261,1.3766241,0.0,0.0
13.855446,13.91538,18.030495,1.7779894,0.0,0.0
13.474307,14.4854355,18.339968,4.580097,0.0,0.0
12.955256,14.699811,17.59706,5.095842,0.0,0.0
13.806386,15.348892,16.198866,5.2876163,0.0,0.0
12.511784,16.020851,16.526163,6.004453,0.0,0.0
12.0342245,16.775175,20.017555,7.968001,0.0,0.0
10.85398,15.875381,21.452501,8.008487,0.0,0.0
11.001147,14.69477,19.496407,4.3866124,0.0,0.0
10.431184,14.239098,15.767161,1.911476,0.0,0.0
11.108136,14.191653,14.862021,2.9427898,0.0,0.0
12.003934,14.788856,14.351085,3.6790226,0.0,0.0
13.529216,14.514871,13.278323,5.579334,0.0,0.0
13.407234,14.9938545,15.383817,2.8390577,0.0,0.0
12.818043,15.523114,15.661893,3.8577669,0.0,0.0
13.368142,14.299454,15.870922,4.582414,0.0,0.0
13.910182,12.371037,13.24508,7.4097733,0.0,0.0
15.202975,10.313714,11.700013,6.8746014,0.0,0.0
15.345754,11.571391,15.217715,7.6230483,0.0,0.0
15.040279,12.682185,17.711143,6.668301,0.0,0.0
15.32027,13.728435,19.796476,7.0724487,0.0,0.0
16.426844,14.054282,17.361265,4.9770684,0.0,0.0
18.117134,14.845769,15.967339,4.9028583,0.0,0.0
17.916124,15.679736,15.614433,4.0039153,0.0,0.0
18.475885,14.958623,11.890607,5.6355247,0.0,0.0
20.3267,16.585554,12.507397,9.890847,0.0,0.0
21.517027,16.507418,10.873326,8.093793,0.0,0.0
21.014864,17.907143,14.654057,5.906677,0.0,0.0
20.24968,17.631985,12.972117,3.0115535,0.0,0.0
20.163507,19.352919,12.14603,6.1944137,0.0,0.0
20.190336,19.488852,10.217461,7.3165646,0.0,0.0
20.233156,20.268251,8.978717,5.943064,0.0,0.0
20.266655,18.801691,7.0965133,2.5840175,0.0,0.0
21.621595,20.226988,7.077105,4.2131104,0.0,0.0
21.554602,21.549059,9.038016,6.138727,0.0,0.0
20.993998,22.060389,11.549957,6.7487645,0.0,0.0
19.858877,21.658102,12.5132,6.1119313,0.0,0.0
19.514126,17.790007,14.157105,8.0622,0.0,0.0
17.742468,21.696724,12.812188,8.892777,0.0,0.0
17.322279,22.604765,11.310173,5.990893,0.0,0.0
16.936266,26.361862,12.454796,5.917292,0.0,0.0
19.320341,21.43692,14.322507,7.9365134,0.0,0.0
19.908085,17.504103,12.726715,12.591577,0.0,0.0
20.629389,15.387837,9.364595,9.825948,0.0,0.0
21.035702,15.4154625,7.847552,6.870663,0.0,0.0
20.01785,15.573497,12.01624,10.08197,0.0,0.0
18.997948,14.138486,17.320786,14.734695,24.38517,0.0
17.717295,11.510898,24.367256,21.662811,24.342262,0.0
18.393068,7.723434,28.806772,17.13674,24.28006,0.04771143
17.632185,3.429755,31.851282,15.294221,24.22806,0.044030588
17.071999,1.2421508,36.0545,12.7534895,24.187551,0.03416905
17.040796,0.48324513,37.902927,12.484372,24.113647,0.017801492
18.541164,1.7647576,38.852436,10.384384,24.020151,0.014099064
21.229528,3.992916,35.71182,9.672376,23.968445,0.019692628
22.726776,6.3628044,33.139378,9.149117,24.002909,0.01736045
24.330484,8.454188,30.095312,9.082747,24.069153,0.018964216
23.075127,13.598061,28.683813,5.0631075,24.0699,0.023330772
21.651285,20.146841,27.553022,0.8943853,24.049839,0.031165792
19.644373,24.832365,25.487707,-0.9076459,0.0,0.0
18.157156,27.050837,21.903196,2.2389581,0.0,0.0
14.758723,26.35176,15.503041,6.1925035,0.0,0.0
10.542414,29.056894,10.363376,9.143838,0.0,0.0
5.6448402,28.109192,5.417789,10.062907,0.0,0.0
1.9726363,27.518717,3.4181616,12.589335,0.0,0.0
0.030346513,26.603666,2.4822614,11.8456545,0.0,0.0
1.67178,26.038595,5.736463,12.667503,0.0,0.0
8.019646,23.240227,8.7696085,7.151365,0.0,0.0
16.107788,16.53737,9.111828,-0.24875133,0.0,0.0
23.20151,13.149635,5.948221,-12.533759,0.0,0.0
25.87713,13.072738,4.245053,-18.789711,0.0,0.0
26.912674,13.774368,3.0843637,-20.654844,0.0,0.0
28.455606,13.333847,1.3247576,-19.78424,0.0,0.0
28.780022,12.688436,-0.6443923,-16.648727,0.0,0.0
29.990805,15.517784,0.2264374,-17.66237,0.0,0.0
30.765417,18.881247,4.6475883,-15.094269,17.698778,0.0
33.796795,22.29413,6.090527,-16.966673,17.714983,0.0
34.33106,22.865396,6.9341373,-15.374107,17.815954,0.0
33.84322,23.916597,4.1265798,-17.895529,17.967287,0.009169884
32.72167,25.131905,4.129113,-16.973448,18.16754,0.009169884
32.29337,27.657959,5.6862264,-17.165453,18.336914,0.0
32.130215,28.323051,8.497966,-15.158089,18.494446,0.019894823
32.265285,29.402506,11.6097,-18.216358,18.68995,0.016856566
33.06354,28.357779,10.1939125,-21.404303,18.95836,0.013512703
34.690884,29.209734,6.767876,-26.62337,19.234205,0.0
35.129,27.77128,0.013620853,-30.372644,19.383976,0.0037965633
34.49193,24.584167,-7.787913,-34.062572,0.0,0.0
33.300007,17.684717,-10.883409,-34.654335,0.0,0.0
32.141983,11.4330225,-8.922735,-30.485596,0.0,0.0
31.347094,6.0376134,-5.5816536,-26.693878,0.0,0.0
30.45527,2.091883,-2.798873,-26.939032,0.0,0.0
29.40333,-1.76029,-4.053985,-30.035149,22.429523,0.0
26.940369,-3.5200675,-0.23023064,-29.424988,22.503265,0.0
23.991568,-4.0871706,-0.15467283,-29.038221,22.675955,0.028118009
23.002676,-4.955544,2.520009,-29.173965,22.792738,0.02284714
23.323357,-6.668137,1.0065135,-28.014917,22.858917,0.0149015905
25.444342,-6.9977365,1.7836752,-27.456392,22.879662,0.023515478
28.090446,-5.541595,0.32169923,-23.591743,22.91178,0.034725547
30.07331,-1.1442844,-0.050027996,-23.87818,22.91905,0.035891082
30.790703,3.0047886,-2.3386066,-20.684507,22.869354,0.026345834
29.932144,8.165838,-1.708028,-20.279573,22.923218,0.011088751
29.77337,12.842696,-0.026555697,-15.07563,24.273252,0.07296659
29.79126,15.892758,3.0035298,-13.649884,25.6956,0.13434516
29.48483,12.704113,4.6774907,-13.707105,27.023643,0.20143552
27.912918,5.1634903,3.8281667,-21.177683,27.103354,0.14173743
26.082361,-4.124906,2.194329,-28.071722,27.17447,0.07955774
24.992727,-7.337509,0.2728998,-32.22881,27.263723,0.0145301
25.875437,-8.203864,0.02504762,-32.836613,27.389357,0.007674173
26.555155,-6.6145535,2.5768855,-30.886114,27.571793,0.0044798716
27.230421,-4.169955,4.897219,-28.630465,27.740904,0.004647966
26.726082,-3.2461195,6.287949,-21.9135,27.850685,0.0041181566
27.010523,-3.547734,4.302896,-16.961382,27.882729,0.010274365
28.152613,-2.7126596,3.8248303,-15.554047,27.89621,0.008709776
29.223257,0.5504133,3.7887504,-18.884851,27.949226,0.013946758
30.62358,6.1000953,5.727022,-22.513361,28.010935,0.014910276
31.983316,10.711614,6.2314835,-21.6121,28.192322,0.015760066
34.263027,14.432976,6.150142,-17.343405,28.503517,0.0107972175
35.14503,18.43175,10.611355,-9.700625,28.842894,0.0038185483
34.711887,21.542051,16.75878,-2.1370971,29.101404,0.009251226
34.126358,24.55133,23.0633,3.462756,29.301172,0.012289949
34.482124,28.255209,26.158548,4.0299144,29.580545,0.015644187
34.542778,29.73495,25.521576,4.5676265,29.848825,0.013734068
34.200516,33.459927,27.143934,5.455789,30.045204,0.015462816
33.90607,32.91424,25.273191,7.554386,30.184706,0.012324805
33.270496,32.476948,24.298674,7.595129,30.254196,0.010847121
32.203533,29.055801,22.842924,5.1769695,0.0,0.0
30.154047,28.040121,21.330479,4.2938533,0.0,0.0
29.531748,27.952957,22.658117,-0.6553723,0.0,0.0
30.7911,27.440706,19.638737,-2.5666983,0.0,0.0
33.053207,28.077982,16.512407,-5.2437844,0.0,0.0
