mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
21.945772,27.028814,11.732827,5.286805,0.0,0.0
20.824318,27.324701,10.952769,3.909572,0.0,0.0
20.703104,25.584047,8.874621,3.3579686,0.0,0.0
21.891108,27.936272,11.206013,5.391311,0.0,0.0
23.315659,27.585205,11.529163,7.659752,0.0,0.0
23.997843,30.154922,14.072558,8.988773,0.0,0.0
24.603851,30.021345,15.632195,7.684938,0.0,0.0
24.825647,30.034805,16.991932,7.21631,0.0,0.0
24.437843,27.704863,14.237756,7.326116,0.0,0.0
24.21581,28.657873,14.694486,4.839152,0.0,0.0
23.343702,29.088524,13.469842,4.8450913,0.0,0.0
22.090385,28.346678,11.738629,0.4306213,0.0,0.0
21.86229,27.535925,9.654183,1.2159921,0.0,0.0
21.976942,26.517385,7.664251,-0.280082,0.0,0.0
23.062714,29.298052,12.935684,4.639701,0.0,0.0
22.133844,29.728033,16.832462,8.692666,0.0,0.0
22.589485,31.393532,18.345198,10.74231,0.0,0.0
23.188156,32.62517,17.243258,9.668886,0.0,0.0
23.60906,31.377594,13.751502,4.0545735,0.0,0.0
22.701721,30.053137,13.403056,2.7099164,0.0,0.0
21.741335,27.64827,10.661338,0.24912596,0.0,0.0
20.937117,26.618317,6.5111523,-1.4555222,0.0,0.0
21.548666,28.357,6.0645366,-2.1380444,0.0,0.0
21.422495,29.790596,9.742801,1.7504702,0.0,0.0
21.483223,30.580282,14.789069,5.5690155,0.0,0.0
21.173807,26.036497,15.864612,8.791375,0.0,0.0
18.084486,17.093191,13.093987,8.851187,35.449997,0.0
18.518005,14.564012,13.622182,10.396241,35.35837,0.0
19.100018,15.081962,15.948029,8.267401,35.152325,0.0
22.658722,19.655733,17.437696,3.4052494,34.853832,0.0966659
23.119085,17.149546,13.054123,-4.516058,34.536404,0.07019511
23.947855,13.631688,4.641615,-11.373105,34.178635,0.0235845
