mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
25.291555,21.733215,21.094847,10.489144,0.0,0.0
24.766144,22.663248,21.228708,9.145385,0.0,0.0
23.735693,22.21148,19.900686,4.105448,0.0,0.0
23.397797,21.422487,16.622255,-0.21895783,0.0,0.0
22.815447,20.683756,14.950192,0.12221813,0.0,0.0
23.402122,22.11734,17.149733,4.051616,0.0,0.0
23.370096,23.616072,16.03377,3.7828064,0.0,0.0
23.85647,24.431257,16.779127,5.1942086,0.0,0.0
22.328987,22.77147,13.253934,5.0916195,0.0,0.0
21.05443,19.482895,12.315459,5.358814,0.0,0.0
19.03539,18.200829,11.427051,3.7989826,0.0,0.0
18.147667,18.140991,10.413855,4.0442576,0.0,0.0
19.102453,21.371572,11.87928,4.8515277,0.0,0.0
19.87064,21.884851,11.721047,3.0136528,0.0,0.0
21.582176,24.647491,14.751927,-0.05633052,0.0,0.0
22.001963,23.539583,14.210225,-0.41783175,0.0,0.0
21.215034,24.311615,13.498376,0.49941635,0.0,0.0
21.323847,24.731249,11.807437,2.7093651,0.0,0.0
20.741571,26.126183,11.537562,3.0182343,0.0,0.0
21.890875,26.7027,14.771892,7.6441245,0.0,0.0
21.767416,25.812017,16.853924,9.720664,0.0,0.0
21.005913,23.59408,16.402075,13.025348,0.0,0.0
21.44221,23.35087,12.969026,9.086732,0.0,0.0
21.743505,23.527502,10.554433,7.635349,0.0,0.0
21.131775,23.199408,9.390456,7.986662,0.0,0.0
20.71229,24.356104,9.671608,6.1632247,0.0,0.0
21.263237,24.359568,10.024669,7.752875,0.0,0.0
21.987707,25.138023,12.633186,6.718096,0.0,0.0
21.96373,22.532515,13.175866,8.492073,0.0,0.0
20.98047,22.213402,15.436733,7.9579234,0.0,0.0
20.747747,23.099556,15.377063,7.5653205,0.0,0.0
21.27192,24.368261,14.922519,6.6594048,0.0,0.0
21.012634,24.574697,12.749837,5.0844646,0.0,0.0
21.721643,23.865896,11.277564,4.5314116,0.0,0.0
21.87382,25.46197,12.370067,7.385122,0.0,0.0
23.732437,25.893387,12.025296,10.277017,0.0,0.0
24.525673,26.946386,11.956856,10.588326,0.0,0.0
