mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
22.177362,26.734222,10.419303,3.6078832,0.0,0.0
22.055758,27.638466,13.677132,3.5369492,0.0,0.0
22.126234,29.252869,17.772038,4.749617,0.0,0.0
21.685303,26.794449,19.31375,5.386818,0.0,0.0
22.285995,26.220984,17.382334,8.818473,0.0,0.0
21.90035,25.813606,15.599876,9.122798,0.0,0.0
22.418907,26.730406,13.874855,6.475493,0.0,0.0
21.827673,27.198282,13.720321,4.6618133,0.0,0.0
21.641441,26.76098,13.43308,3.9476392,0.0,0.0
21.44403,26.097557,11.925042,6.633208,0.0,0.0
22.225586,25.950851,13.099579,8.237717,0.0,0.0
23.182184,26.594278,16.033007,8.621058,0.0,0.0
21.339197,26.618406,17.418566,10.446575,0.0,0.0
20.432955,26.661224,17.587608,9.153174,0.0,0.0
19.828009,26.803576,16.863937,8.80395,0.0,0.0
19.426077,26.203003,18.173779,4.539654,0.0,0.0
13.854032,21.742163,19.992815,1.8007793,0.0,0.0
12.755445,20.205679,22.010038,1.9496938,0.0,0.0
13.506935,20.827286,23.308441,2.9085455,0.0,0.0
18.151789,24.288834,21.35427,6.258705,0.0,0.0
18.586853,24.962257,20.327715,9.203168,0.0,0.0
20.203789,26.95275,20.009691,8.508962,0.0,0.0
21.616537,28.266953,21.000107,8.728303,0.0,0.0
20.657316,27.641022,18.007736,8.366497,0.0,0.0
19.048155,23.624456,13.975118,11.115859,0.0,0.0
17.569124,22.558426,16.146162,11.278134,0.0,0.0
17.972229,22.280993,15.544128,7.3868327,0.0,0.0
18.79991,24.966105,18.540545,6.6508636,0.0,0.0
18.789549,25.357912,15.0444565,6.0027256,0.0,0.0
19.884493,26.327784,14.768514,9.124957,0.0,0.0
18.884508,25.224243,14.527687,6.2880254,0.0,0.0
20.093653,24.931702,15.554019,6.2111964,0.0,0.0
20.74195,24.115892,15.0983,4.8676944,0.0,0.0
21.238073,25.814997,14.799666,5.7369437,0.0,0.0
21.03422,28.093178,16.01845,6.4823775,0.0,0.0
20.503298,28.316767,15.679591,6.253713,0.0,0.0
22.250061,28.527735,14.516358,4.818456,0.0,0.0
22.118544,27.905678,15.061134,3.8102562,0.0,0.0
21.462461,27.786415,16.845867,5.253488,0.0,0.0
20.44724,26.539154,17.155546,8.202018,0.0,0.0
20.350595,24.155928,11.900906,8.387497,0.0,0.0
21.337364,25.023855,12.52946,6.2901406,0.0,0.0
21.457512,24.609558,12.296333,3.955083,0.0,0.0
21.66659,25.649445,14.309731,2.7460678,0.0,0.0
21.233034,26.255835,12.489131,3.3381188,0.0,0.0
21.344147,27.851454,14.787384,5.5339622,0.0,0.0
21.637594,30.154158,15.891941,6.459867,0.0,0.0
21.450674,30.137558,16.419672,6.5417113,0.0,0.0
21.019728,28.422089,14.349019,6.5110393,0.0,0.0
20.444122,27.293734,14.176322,5.814699,0.0,0.0
20.704782,26.807938,14.193646,5.274346,0.0,0.0
20.813574,25.501877,14.811143,2.5899677,0.0,0.0
20.467466,23.942133,13.886769,0.98138136,0.0,0.0
20.649916,23.452524,14.832562,1.5600189,0.0,0.0
20.453344,24.8396,13.219707,1.321736,0.0,0.0
21.747444,27.103264,12.996869,0.6843486,0.0,0.0
23.898722,28.410631,13.438472,-1.3164377,0.0,0.0
26.372597,31.575476,15.665069,-4.3155055,34.767296,0.0
27.883255,27.144434,16.021898,-4.802057,34.742397,0.11328186
28.520805,23.921766,8.275758,-13.034279,34.656376,0.08123656
30.55332,17.452818,-2.391372,-19.158121,34.598892,0.0475954
30.754784,14.801288,-11.651462,-30.544317,34.444813,0.013424654
28.260307,9.976242,-15.581398,-26.739542,34.26645,0.0129844295
22.719007,7.2012043,-12.58538,-25.698874,34.11661,0.009799198
18.796385,5.0475664,-11.201886,-24.0357,34.033,0.011261837
17.314749,2.7072613,-7.7443385,-29.438463,33.98051,0.007047342
18.891699,0.6654285,-7.317061,-28.80453,33.94736,0.0059244097
21.321234,-0.5490504,-7.3052654,-26.528467,33.94497,0.0047444995
24.887686,0.08923644,-10.773753,-26.586939,33.99965,0.0044826926
28.06006,0.43486562,-14.128312,-31.667048,34.12609,0.0034984902
30.8426,3.4609423,-14.218654,-32.457188,34.201107,0.0026646026
32.47127,8.200303,-10.667759,-32.773773,34.181347,0.0056890375
30.150244,16.056131,-10.583312,-27.028154,34.071514,0.0068833698
24.750673,24.415812,-11.058206,-27.114344,33.970776,0.009132018
18.193567,31.073288,-12.393292,-22.17423,33.936386,0.007963178
12.558034,34.57762,-13.928172,-19.334154,0.0,0.0
