mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
21.459951,29.071335,18.637022,15.780593,0.0,0.0
20.27434,28.79236,16.57112,12.759617,0.0,0.0
19.196564,29.412363,14.746189,13.477756,0.0,0.0
20.425144,30.987814,15.358032,14.040695,0.0,0.0
19.54908,29.696709,14.974636,16.274052,0.0,0.0
20.069574,29.903921,16.636675,12.4633255,0.0,0.0
19.401525,29.527086,15.091638,11.273418,0.0,0.0
21.065363,31.58507,15.444095,8.371386,0.0,0.0
20.013807,30.244352,15.033023,11.053264,0.0,0.0
20.85196,31.03354,19.276884,13.204238,0.0,0.0
20.906088,28.262655,20.115364,19.277933,0.0,0.0
22.577803,29.3685,19.761068,19.463465,0.0,0.0
22.285135,29.991003,17.566557,17.344076,0.0,0.0
22.486351,32.211575,19.302507,15.654884,0.0,0.0
22.148071,31.38577,20.737555,16.26851,0.0,0.0
20.778374,30.05481,23.639814,15.855301,0.0,0.0
20.65143,31.164804,22.87886,14.913714,0.0,0.0
20.706022,30.647116,21.250002,14.833674,0.0,0.0
21.697195,32.649532,20.633596,15.398984,0.0,0.0
21.176407,31.093079,17.088312,12.501906,0.0,0.0
21.154884,31.41723,17.585932,11.072711,0.0,0.0
21.355177,30.649801,17.52963,10.790408,0.0,0.0
21.687134,32.41973,21.045824,13.181392,0.0,0.0
21.455156,33.75062,19.971659,13.343399,0.0,0.0
20.161827,33.47412,19.938782,17.50717,14.3746195,0.0
18.684746,29.790703,18.100931,18.003107,14.537965,0.0
12.903374,30.30129,20.910706,16.978628,14.574866,0.0
12.507477,31.050089,19.394915,13.9940195,14.201802,0.0
13.317299,34.173748,19.627407,16.07811,13.728503,0.0
19.111025,33.162655,17.293678,18.278196,13.511518,0.007960701
20.668741,31.963472,17.699877,16.939352,13.326293,0.0
21.888823,30.284266,19.660723,16.298555,13.323304,0.029104043
21.325308,29.239548,20.908693,17.040361,13.306615,0.0
21.285765,29.22788,20.088799,16.4521,0.0,0.0
20.997808,29.194212,19.107248,14.519048,0.0,0.0
22.131104,31.30221,18.207022,14.383775,0.0,0.0
22.818132,32.665714,17.284563,16.309126,0.0,0.0
15.828208,29.312372,19.537672,16.766771,0.0,0.0
8.035035,23.350685,24.11086,14.147557,30.756115,0.0
2.3928525,17.747911,29.880182,12.555301,30.832268,0.0
4.4804597,18.942316,29.418608,15.15388,30.970514,0.0
8.053673,18.524546,28.282059,16.835669,31.111563,0.0072353277
10.261497,20.475048,26.20141,18.54885,31.227926,0.007910223
11.761017,20.79917,25.816446,18.77926,31.370209,0.0057933326
11.607171,25.669317,25.487358,19.670458,31.410583,0.007767186
10.576465,28.9428,23.76959,20.553253,31.389236,0.005379759
12.621613,31.41179,22.490341,19.032915,31.292763,0.011832088
15.893758,30.123007,20.506609,19.902552,31.293463,0.010435465
20.18147,29.641243,22.283012,19.618917,31.37217,0.018360361
22.421282,29.069021,23.705206,21.054148,31.448364,0.011390586
23.775469,29.924448,25.5344,18.143242,31.49485,0.015994702
24.778025,29.096884,24.821974,18.016241,0.0,0.0
23.010233,29.917707,25.725067,17.927046,0.0,0.0
15.870594,29.755796,23.59137,20.537756,0.0,0.0
5.7688165,28.058252,22.272528,20.1169,0.0,0.0
-3.552283,27.474127,16.539413,16.529877,0.0,0.0
-9.055133,26.578981,12.244542,15.305847,0.0,0.0
-13.009888,25.107553,4.3170037,15.317107,0.0,0.0
-17.54422,18.682932,-2.4632344,13.762998,0.0,0.0
