mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz
29.464182,26.932823,12.012212,11.994759,0.0,0.0
28.68126,27.04407,12.150661,11.054607,0.0,0.0
28.392618,29.783247,12.747869,10.167594,0.0,0.0
27.51381,31.678045,12.729266,7.5396695,0.0,0.0
26.614761,32.538456,11.016849,6.1210046,0.0,0.0
23.898306,29.48385,11.638954,7.456993,0.0,0.0
21.761286,27.970505,12.01578,11.36229,0.0,0.0
20.947046,29.088766,14.340842,12.358888,0.0,0.0
22.417974,31.268534,13.929698,11.121265,0.0,0.0
22.37665,31.275818,13.9854555,11.364392,0.0,0.0
22.200735,29.538946,14.21819,12.1313095,0.0,0.0
21.387346,29.652578,17.659185,14.935994,0.0,0.0
21.938904,30.87368,17.237963,10.190913,0.0,0.0
21.734781,32.18455,17.796818,8.259121,0.0,0.0
21.223051,31.70101,15.668439,7.9788423,0.0,0.0
20.530973,29.438547,14.567412,10.439145,0.0,0.0
17.9202,18.037786,17.056658,16.572863,0.0,0.0
15.607334,10.843341,15.524039,19.025518,0.0,0.0
15.154668,9.369502,15.68335,20.93886,0.0,0.0
16.799955,15.068372,12.436208,20.677011,0.0,0.0
21.45719,20.719742,14.534255,20.42261,0.0,0.0
22.670038,20.024485,13.600334,19.699242,0.0,0.0
23.235855,25.966085,15.772888,21.070612,0.0,0.0
12.805378,24.511106,10.246118,15.994359,0.0,0.0
1.3388449,25.075735,7.516394,18.827085,0.0,0.0
-9.490615,21.726295,0.25378013,16.79054,0.0,0.0
-13.351188,21.718262,-1.9884478,21.839653,0.0,0.0
-12.685998,22.370651,-2.4269257,20.06073,35.656345,0.0
-4.123328,21.348478,-4.358653,16.897093,35.556305,0.0
7.9083037,18.412607,-6.850431,7.0543437,35.34073,0.0
17.810575,14.279897,-11.299546,-6.731336,35.126568,0.014902559
20.66648,13.214531,-12.834043,-16.81736,35.00641,0.013371821
20.265348,15.153356,-12.507362,-22.90165,34.928745,0.013045096
20.484015,18.6825,-11.466133,-25.047256,34.85894,0.012323156
21.250084,24.382166,-6.6013427,-29.83754,34.76406,0.013031527
21.845747,29.720469,-2.4722707,-35.131954,34.78581,0.01026595
