jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.03712309,29.630507,10.986177,-29.114798
0.006811313,15.010206,18.656494,-112.290474
0.021511184,32.74745,15.758041,1.3012718
0.015782297,33.12988,15.758691,0.89341027
0.026092457,37.661976,16.515976,7.8236704
0.02765738,37.47429,11.595716,7.501768
0.006749103,36.911255,5.6563616,3.0958555
0.0043953913,8.183817,8.150023,-156.95691
0.0,25.544952,10.1742325,-68.889046
0.03267953,40.27717,24.830215,15.096041
0.020794312,8.229307,11.375585,-143.18108
0.016534291,22.702986,15.9753685,-49.440384
0.0,0.0,5.104202,-201.0
0.0,0.0,8.256082,-201.0
0.0,0.0,29.858765,-201.0
0.0,0.0,32.525276,-201.0
0.0,0.0,27.532545,-201.0
0.0,0.0,24.907951,-201.0
0.0,0.0,26.111393,-201.0
0.0,0.0,23.83516,-201.0
