jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.539717,-201.0
0.0,0.0,30.857775,-201.0
0.0,0.0,28.186531,-201.0
0.0,0.0,29.162188,-201.0
0.0026459917,12.416674,22.216759,-139.15384
0.018150758,35.710487,14.228929,-32.657562
0.008833277,42.883633,24.907999,-10.268781
0.0076527847,43.294075,16.343145,-0.36887315
0.009595109,45.473404,5.1084876,-2.8404226
0.012894409,37.53287,9.044119,-33.38817
0.0,3.087041,13.007797,-185.53847
0.022979103,41.846584,19.322771,10.121914
0.027275123,26.03159,24.245008,-85.771866
0.0,0.0,19.976313,-201.0
0.0,0.0,5.837171,-201.0
0.0,0.0,16.228205,-201.0
0.0,0.0,30.126303,-201.0
0.0,0.0,27.938986,-201.0
0.0,0.0,30.78789,-201.0
0.0,0.0,31.39268,-201.0
