jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,37.960514,-201.0
0.0,0.0,34.02903,-201.0
0.0,0.0,23.905516,-201.0
0.0,0.0,16.78768,-201.0
0.0,0.0,31.979097,-201.0
0.006821246,32.669132,25.70059,-30.042568
0.024380496,32.045845,32.42002,-33.60067
0.008997051,29.154629,15.375201,-45.14652
0.019131234,24.322247,27.99289,-90.84052
0.019873118,30.601196,37.169804,-34.14981
0.014740319,16.635006,33.44648,-96.08739
0.013442112,28.552637,29.568064,-34.593773
0.0045569586,11.7422905,29.06707,-143.49193
0.007436361,23.50735,23.775852,-90.32408
0.004090793,6.4193616,28.766853,-170.75642
0.0,0.0,24.86356,-201.0
0.0,0.0,34.114292,-201.0
0.0,0.0,33.689995,-201.0
0.0,0.0,34.640377,-201.0
0.0,0.0,31.653032,-201.0
