jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,34.73293,-201.0
0.0,0.0,32.586178,-201.0
0.0,0.0,34.07055,-201.0
0.0,0.0,32.789555,-201.0
0.0,0.0,33.704964,-201.0
0.00283039,6.409545,34.783535,-162.5124
0.0018882873,8.941747,27.834766,-143.55327
0.0015119711,8.371862,25.180134,-145.6821
0.013564359,9.431061,26.306946,-133.96004
0.0,0.0,26.256718,-201.0
0.0,0.0,17.391903,-201.0
0.0,0.0,24.102047,-201.0
0.0,0.0,20.345407,-201.0
0.0,0.0,27.563864,-201.0
0.0,0.0,25.641178,-201.0
0.0,0.0,33.38382,-201.0
0.0,0.0,33.47282,-201.0
0.0,0.0,36.1884,-201.0
0.0,0.0,33.550545,-201.0
0.0,0.0,32.888233,-201.0
