jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,35.026493,-201.0
0.0,0.0,35.997128,-201.0
0.0,0.0,36.560757,-201.0
0.0,0.0,35.800087,-201.0
0.0,0.0,35.39207,-201.0
0.0,8.04113,29.507929,-152.9986
0.008315814,17.635828,24.206337,-89.54988
0.015448576,32.464584,21.796696,6.967299
0.027839677,30.739542,15.671401,4.122915
0.01349159,32.931046,12.347396,10.10721
0.0015138936,9.108051,12.036829,-144.19398
0.0204472,16.1337,10.001288,-80.531784
0.0,0.0,18.069588,-201.0
0.0060694036,20.436129,20.20697,-66.89757
0.0016330051,13.195025,19.68255,-114.44622
0.0,0.0,15.423942,-201.0
0.0,0.0,26.275421,-201.0
0.0,0.0,27.759295,-201.0
0.0,2.3091607,31.118805,-168.07678
0.003827016,2.1251678,35.75641,-170.89677
