jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,33.873188,-201.0
0.0,0.0,32.41272,-201.0
0.0,0.0,32.781143,-201.0
0.062781245,9.022771,33.578823,-136.29816
0.05489272,36.46459,35.165623,-23.461065
0.017427834,36.895947,32.90144,-12.115554
0.012937485,37.837116,29.169111,-13.1763735
0.004331649,38.086964,28.422453,-2.5897696
0.017683156,37.1217,27.668022,-1.1272048
0.006364442,14.800153,21.32143,-119.68561
0.0,6.3130856,27.433216,-166.89421
0.038325816,34.7235,33.07869,-3.7934697
0.010236918,34.767212,29.96953,-8.656061
0.06703968,27.992073,30.732788,-30.17676
0.005210195,5.7705274,33.673527,-167.61024
0.0,0.0,35.127644,-201.0
0.0,0.0,32.737232,-201.0
0.0,0.0,31.945005,-201.0
0.0,0.0,32.358658,-201.0
0.0,0.0,30.160324,-201.0
