jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,34.2605,-201.0
0.0,0.0,33.052414,-201.0
0.0,0.0,34.813507,-201.0
0.0,0.0,31.341076,-201.0
0.0,0.0,26.247332,-201.0
0.0,0.0,34.88759,-201.0
0.0,0.0,30.44182,-201.0
0.0,0.0,29.447536,-201.0
0.0,0.0,24.176046,-201.0
0.0,0.0,29.973309,-201.0
0.0,0.0,20.179585,-201.0
0.010398136,8.777202,19.869066,-130.86444
0.0,0.0,25.191385,-201.0
0.0,0.0,21.747244,-201.0
0.0,0.0,24.565573,-201.0
0.0,0.0,27.848085,-201.0
0.0,0.0,30.557692,-201.0
0.0,0.0,33.34071,-201.0
0.0,0.0,36.207153,-201.0
0.0,0.0,31.541967,-201.0
