jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,27.809017,-201.0
0.0,0.0,31.392052,-201.0
0.0,0.0,28.580256,-201.0
0.0,0.0,25.817062,-201.0
0.0,0.0,26.357225,-201.0
0.0,0.0,25.798887,-201.0
0.0,0.0,29.216166,-201.0
0.0,0.0,22.230001,-201.0
0.0022092133,12.347793,29.103273,-100.584816
0.009922043,26.472002,27.194695,1.4039019
0.0017510952,4.1730785,26.757257,-167.58496
0.0,4.1267076,24.32987,-168.09146
0.0021625112,12.129949,27.64253,-105.37619
0.0,0.0,24.023596,-201.0
0.0,0.0,26.726507,-201.0
0.0,0.0,28.812403,-201.0
0.0,0.0,30.561655,-201.0
0.0,0.0,31.503021,-201.0
0.0,0.0,32.257168,-201.0
0.0,0.0,32.329433,-201.0
