jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.281433,-201.0
0.0,0.0,29.262098,-201.0
0.0,0.0,31.838999,-201.0
0.037848085,24.952688,30.95043,-41.33758
0.024471493,30.307877,27.232222,-34.028595
0.0,0.0,17.616188,-196.05507
0.015005511,32.592285,27.805061,-11.411426
0.016668884,34.681538,30.16408,3.0664682
0.04040956,33.70147,24.011703,-2.256734
0.018098975,25.52774,35.516464,-36.603138
0.024661066,20.57335,29.935495,-74.40629
0.0,0.0,25.869446,-196.07811
0.01813166,35.627453,30.140116,-6.7024016
0.01103649,22.217989,28.642458,-81.39117
0.0,0.0,34.55393,-201.0
0.0,0.0,20.161554,-201.0
0.0,0.0,16.342136,-201.0
0.0,0.0,29.662497,-201.0
0.0,0.0,27.398773,-201.0
0.0,0.0,27.610521,-201.0
