jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.50658,-201.0
0.0,0.0,25.41906,-201.0
0.0,0.0,28.160837,-201.0
0.005119157,11.696121,25.744884,-102.98338
0.0,0.0,15.483928,-201.0
0.0,0.0,17.535555,-201.0
0.0,0.0,26.118107,-201.0
0.0038331437,17.844421,17.294125,-85.690445
0.013435098,29.438358,20.874401,-1.4976547
0.008191954,30.00147,20.516666,-8.211725
0.0,0.0,25.210495,-187.56435
0.059133667,33.78246,29.130106,-4.568183
0.015811246,36.148357,21.407759,-1.4350563
0.013957451,16.694494,21.60915,-99.28929
0.0,0.0,21.002827,-201.0
0.0,0.0,24.694376,-201.0
0.0,0.0,29.308697,-201.0
0.0,0.0,30.521902,-201.0
0.0,0.0,31.31709,-201.0
0.0,0.0,28.881458,-201.0
