jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,33.162148,-201.0
0.0,0.0,33.73088,-201.0
0.0,0.0,31.876293,-201.0
0.0,0.0,30.803358,-201.0
0.0,0.0,12.202669,-201.0
0.0,10.536103,16.345013,-134.60506
0.016489768,32.046253,17.520096,-4.1911044
0.011273816,33.9331,11.490324,-0.9778989
0.031286296,35.182526,13.547018,-13.627526
0.0,0.0,13.483325,-193.50366
0.002921728,27.536633,18.16302,-51.3905
0.008288565,33.54334,19.865732,-26.348562
0.0,0.0,22.954119,-201.0
0.0,0.0,22.412422,-201.0
0.0,0.0,11.093961,-201.0
0.0,0.0,21.959293,-201.0
0.0,0.0,31.392822,-201.0
0.0,0.0,28.997467,-201.0
0.0,0.0,30.882069,-201.0
0.0,0.0,30.460629,-201.0
