jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,32.369076,-201.0
0.0,0.0,33.204933,-201.0
0.0,0.0,30.60001,-201.0
0.0,0.0,29.496761,-201.0
0.0,0.0,29.170391,-201.0
0.0,0.0,21.692436,-201.0
0.0,0.0,28.193203,-201.0
0.008229043,22.915905,14.530607,-64.2461
0.015246846,28.58186,24.741114,0.18081959
0.010829033,22.154615,28.647139,-38.279472
0.014176415,13.432946,30.165014,-101.93571
0.0,0.0,21.844114,-201.0
0.0016901998,6.0622787,26.684814,-141.75697
0.0011258911,2.8201396,24.835087,-173.37077
0.0,0.0,25.07945,-201.0
0.0,0.0,31.06457,-201.0
0.0,0.0,27.979921,-201.0
0.0,0.0,31.381853,-201.0
0.0,0.0,29.360582,-201.0
0.0,0.0,27.479822,-201.0
