jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,29.205568,-201.0
0.0,0.0,27.667053,-201.0
0.0,0.0,29.02553,-201.0
0.0,0.0,29.533367,-201.0
0.0050796303,14.766222,19.694653,-103.86719
0.0,2.2216527,1.7803923,-186.78723
0.0076798303,24.736288,30.162716,-43.97986
0.017849416,10.5048065,24.086752,-136.51694
0.0,0.0,13.220915,-196.37195
0.0,0.0,22.11063,-201.0
0.0,0.0,19.125448,-201.0
0.0,0.0,1.4964465,-201.0
0.0,4.380707,4.921722,-173.58223
0.014541189,32.08968,26.079727,-5.2420545
0.008107721,6.925065,26.850834,-160.87979
0.0,0.0,22.559397,-201.0
0.0,0.0,29.204254,-201.0
0.0,0.0,30.500397,-201.0
0.0,0.0,31.572887,-201.0
0.0,0.0,27.756588,-201.0
