jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.160763,-201.0
0.0,0.0,29.477982,-201.0
0.0,0.0,29.646042,-201.0
0.0,0.0,23.363274,-201.0
0.0,0.0,18.224558,-201.0
0.0,0.0,28.41721,-201.0
0.0,0.0,24.297485,-201.0
0.0,0.0,25.827658,-201.0
0.0037762683,7.658727,23.146591,-144.02493
0.0030148749,10.008248,26.528534,-124.41694
0.0,0.0,31.561758,-201.0
0.0,0.0,28.049456,-201.0
0.0,0.0,33.129005,-201.0
0.0,0.0,32.033108,-201.0
0.0,0.0,30.043348,-201.0
0.0,0.0,34.002335,-201.0
0.0,0.0,29.699554,-201.0
0.0,0.0,29.886917,-201.0
0.0,0.0,29.521507,-201.0
0.0,0.0,33.007954,-201.0
