jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,28.74694,-201.0
0.0,0.0,29.669846,-201.0
0.0,0.0,23.409286,-201.0
0.0076057203,19.23844,22.889288,-103.51231
0.0011539118,9.452359,20.019146,-153.54526
0.009413948,27.80674,18.986132,-47.098953
0.003811596,8.792381,27.124517,-150.10495
0.012900029,29.13151,22.253294,-30.640173
0.0013854584,8.793808,24.855959,-150.81569
0.0,0.0,20.786762,-201.0
0.0,0.0,22.601397,-201.0
0.0,0.0,31.358196,-201.0
0.0,0.0,20.035408,-201.0
0.0,0.0,27.64874,-201.0
0.0,0.0,25.854425,-201.0
0.0,0.0,29.903124,-201.0
0.0,0.0,22.49834,-201.0
0.0,0.0,28.181952,-201.0
0.0,0.0,31.49903,-201.0
0.0,0.0,31.821598,-201.0
