jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.773438,-201.0
0.0013309511,10.703841,31.098583,-138.10857
0.010014824,26.760729,24.239809,-51.162678
0.001621627,2.7081997,26.252298,-185.55397
0.0,0.0,26.872751,-201.0
0.0,0.0,28.179806,-201.0
0.0,0.0,16.366804,-201.0
0.0,0.0,25.031258,-201.0
0.0,2.6300168,21.878794,-185.87102
0.019585388,28.791996,29.134794,-41.617165
0.0,0.0,20.465336,-196.34442
0.0028015776,19.857988,12.805704,-82.01612
0.0,0.0,27.944857,-201.0
0.0,0.0,23.517527,-201.0
0.0,0.0,31.817514,-201.0
0.0,0.0,25.56798,-201.0
0.0,0.0,30.215822,-201.0
0.0,0.0,32.43437,-201.0
0.0,0.0,31.802406,-201.0
0.0,0.0,30.061695,-201.0
