jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.86032,-201.0
0.0,0.0,30.39449,-201.0
0.0,0.0,29.637318,-201.0
0.0,0.0,29.05835,-201.0
0.0,2.3102188,29.14301,-186.47739
0.01323154,32.97968,37.80502,-7.8096476
0.006971412,12.95874,16.279243,-128.36476
0.009349972,16.081102,16.26717,-100.78389
0.01307678,14.439615,22.863533,-106.73499
0.0010969111,6.2062187,24.764254,-157.98776
0.005630936,8.732444,28.578463,-142.06902
0.0058313916,8.889151,19.130274,-143.28484
0.0065772366,22.933804,28.535522,-60.60958
0.01176288,34.079113,38.478046,-3.742103
0.013631378,19.890108,34.25961,-90.17071
0.0,0.0,31.362383,-201.0
0.0,0.0,20.870918,-201.0
0.0,0.0,21.698797,-201.0
0.0,0.0,30.186464,-201.0
0.0,0.0,32.29457,-201.0
