jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,33.00882,-201.0
0.0,0.0,31.84123,-201.0
0.0,0.0,31.077587,-201.0
0.0,0.0,32.267902,-201.0
0.006801148,20.007515,28.575077,-99.828094
0.004914271,20.23576,25.224197,-100.46099
0.005322964,21.207008,23.864302,-71.97763
0.0030327751,12.9719,26.066929,-120.90868
0.013004662,16.629417,18.657215,-113.9026
0.014983385,33.97014,30.216398,-7.8504124
0.029563248,32.858696,29.270102,-4.434607
0.0077132243,7.1673822,29.072836,-157.51851
0.0029135363,7.5700083,29.400227,-156.8827
0.0,0.0,19.148893,-201.0
0.0,0.0,30.481398,-201.0
0.0,0.0,29.676365,-201.0
0.01405839,13.839399,24.388018,-132.83647
0.0,0.0,24.618279,-201.0
0.0,0.0,32.069168,-201.0
0.0,0.0,31.264978,-201.0
