jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,20.672838,-201.0
0.0,0.0,22.886223,-201.0
0.0,0.0,27.848986,-201.0
0.007089818,8.915036,20.839098,-154.35814
0.020831188,19.519728,35.979897,-41.77686
0.008226947,19.97133,25.110168,-51.509766
0.0077864886,23.625435,26.824844,-11.449331
0.008145749,25.419527,38.32894,-9.38804
0.011805689,20.689228,36.87681,-42.44254
0.0024093704,2.2973833,29.80645,-183.91734
0.0,0.0,30.35224,-201.0
0.0,0.0,33.74738,-201.0
0.0,0.0,14.262583,-201.0
0.0,0.0,32.861668,-201.0
0.0,0.0,27.15594,-201.0
0.0,0.0,29.22274,-201.0
0.0,0.0,11.755732,-201.0
0.0,0.0,25.713026,-201.0
0.0,0.0,31.570093,-201.0
0.0,5.1442404,30.761286,-128.65227
