jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,28.118929,-201.0
0.0,0.0,19.979485,-201.0
0.0040786434,7.9159355,20.926304,-124.258446
0.0039824843,13.768553,29.273521,-75.08266
0.0024246983,14.039932,29.344618,-78.00801
0.0,0.0,20.437729,-201.0
0.0,0.0,20.701479,-201.0
0.0,0.0,24.00595,-201.0
0.0,0.0,29.762306,-201.0
0.0,0.0,22.757475,-201.0
0.0,0.0,27.944183,-201.0
0.0,0.0,30.17284,-201.0
0.0,0.0,24.654219,-201.0
0.0,0.0,25.615198,-201.0
0.0,0.0,30.898048,-201.0
0.0,0.0,29.543297,-201.0
0.0,0.0,31.073298,-201.0
0.0,0.0,30.888456,-201.0
0.0,0.0,32.414257,-201.0
0.0,0.0,31.562874,-201.0
