jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,29.445312,-201.0
0.0,0.0,26.893805,-201.0
0.0,0.0,28.671692,-201.0
0.0,0.0,29.96901,-201.0
0.0,0.0,29.905594,-201.0
0.018789016,22.54688,27.808758,-63.262417
0.008232138,25.001148,27.404772,-48.527916
0.0035440335,10.98139,31.049704,-129.96777
0.009517913,18.36046,20.907322,-88.815475
0.006366884,21.384188,22.725931,-72.616455
0.008696775,24.154943,27.335535,-61.550323
0.0038848536,8.96991,29.917751,-145.2742
0.0,0.0,16.283152,-201.0
0.0,0.0,24.67052,-201.0
0.0,0.0,30.036303,-201.0
0.0,0.0,28.357113,-201.0
0.0,0.0,30.598743,-201.0
0.0,0.0,29.555288,-201.0
0.0,0.0,30.703775,-201.0
0.0,0.0,31.644592,-201.0
