jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.406872,-201.0
0.0,0.0,30.882847,-201.0
0.0,0.0,29.583311,-201.0
0.0,0.0,28.514465,-201.0
0.0,0.0,26.345318,-194.79607
0.007261315,51.74125,15.231011,-9.975109
0.0073358417,31.855438,30.514374,-78.96059
0.010090071,21.32629,19.252676,-120.6
0.0054072426,37.647274,8.947349,-62.13141
0.0068161637,49.798843,7.0978065,8.786753
0.0075773126,51.30144,10.872613,-13.628141
0.032901507,37.45534,15.848476,-58.98716
0.02978521,50.867912,12.316486,10.208887
0.047772825,39.285583,10.832863,-60.3
0.01370045,34.144466,12.177476,-85.65993
0.01648408,34.637627,18.780684,-36.221443
0.0018384869,4.344173,19.500324,-179.59619
0.0,0.0,24.145882,-201.0
0.0,0.0,30.232494,-201.0
0.0,0.0,31.489985,-201.0
