jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,25.182138,-201.0
0.0,0.0,26.44336,-201.0
0.0,0.0,27.378113,-201.0
0.0051006866,8.700018,26.95079,-133.044
0.029068548,33.77077,29.850103,-4.0828347
0.0067086006,27.781942,26.76766,-24.78985
0.07596286,28.510277,30.816338,-27.711744
0.0,0.0,28.082073,-201.0
0.0,0.0,28.456676,-201.0
0.0,0.0,26.210869,-201.0
0.0,0.0,28.539303,-201.0
0.0,0.0,26.257885,-201.0
0.0,0.0,28.795,-201.0
0.0,0.0,26.461878,-201.0
0.0,0.0,26.50913,-201.0
0.0,0.0,26.770628,-201.0
0.0,0.0,28.05833,-201.0
0.0,0.0,29.297043,-201.0
0.007946737,13.650043,29.065804,-104.19406
0.0,0.0,29.982203,-201.0
