jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.8855,-201.0
0.0,0.0,31.095636,-201.0
0.0,0.0,30.195232,-201.0
0.0,0.0,31.053844,-201.0
0.0,0.0,32.80229,-201.0
0.0,0.0,29.72236,-201.0
0.011147493,16.967686,18.3055,-57.100586
0.012852882,24.48698,21.579666,2.278025
0.012672973,24.83328,16.99799,9.653088
0.012826463,23.582043,21.397762,1.0709116
0.007817709,23.880543,24.339779,1.5583817
0.0055378745,24.204767,14.725125,8.738727
0.0115796365,23.601559,20.339079,-1.332799
0.0105447965,23.725475,23.922266,-10.963388
0.0062687933,24.11535,16.847752,-2.4888616
0.0049879835,6.9934287,16.347984,-140.60657
0.0,0.0,21.445261,-201.0
0.0,0.0,27.439905,-201.0
0.0,0.0,33.762753,-201.0
0.0,0.0,27.699835,-201.0
