jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.11035,-201.0
0.0,0.0,33.034477,-201.0
0.0,0.0,32.377884,-201.0
0.0,0.0,31.492033,-201.0
0.0,0.0,24.8229,-201.0
0.014480869,27.588491,19.860126,-24.185532
0.015712718,33.28841,23.655191,-1.4556631
0.01422159,33.236057,23.188623,-6.9129066
0.0035465334,7.968785,18.637846,-149.80424
0.003996526,14.36793,12.103915,-119.31512
0.009958102,35.764034,28.808853,15.525548
0.0031829579,21.175121,21.741335,-82.96025
0.0,0.0,16.037706,-201.0
0.0,0.0,5.5333753,-201.0
0.0,0.0,25.732758,-201.0
0.0,0.0,29.783285,-201.0
0.0,0.0,31.991133,-201.0
0.0,0.0,32.202774,-201.0
0.0,0.0,30.528948,-201.0
0.0,0.0,33.24439,-201.0
