jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,26.736454,-201.0
0.0,0.0,25.625631,-201.0
0.0,0.0,31.83939,-201.0
0.0,0.0,30.753199,-201.0
0.0,0.0,30.458736,-201.0
0.0,0.0,12.973358,-201.0
0.0,0.0,6.151517,-201.0
0.0,0.0,6.9109945,-201.0
0.006437095,12.731117,20.471539,-119.66423
0.018704755,15.012356,25.84954,-109.70755
0.006481253,19.18372,29.218182,-75.03003
0.010469862,30.638866,27.56459,-30.338692
0.015188683,33.0757,29.208954,-2.5069897
0.008575898,17.566792,26.963402,-96.71366
0.0,0.0,20.003105,-201.0
0.0,0.0,25.815998,-201.0
0.0,0.0,29.972052,-201.0
0.0,0.0,30.250563,-201.0
0.0,0.0,29.040977,-201.0
0.0,0.0,26.744202,-201.0
