jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.196362,-201.0
0.0,0.0,31.899687,-201.0
0.0,0.0,30.473583,-201.0
0.0,4.618113,31.330858,-169.6853
0.019256717,28.962305,22.941261,3.730057
0.015451442,18.950907,31.827507,-79.16285
0.009545752,25.000284,22.451958,-41.886234
0.010270902,29.333183,29.577513,-16.090057
0.004437147,13.342102,22.1139,-107.24677
0.012685052,29.574476,35.974277,-13.896617
0.011573476,11.814181,26.089437,-123.49616
0.0,0.0,8.417323,-201.0
0.0083800275,16.054598,21.176687,-111.26459
0.004688558,11.336537,36.404526,-118.988434
0.0,0.0,35.209724,-201.0
0.0,0.0,33.816593,-201.0
0.0,0.0,31.700472,-201.0
0.0,0.0,31.605577,-201.0
0.0,0.0,34.367283,-201.0
0.0,0.0,32.403553,-201.0
