jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.089142,-201.0
0.0,0.0,30.466175,-201.0
0.0,0.0,29.9435,-201.0
0.0,0.0,29.46215,-201.0
0.0,0.0,26.299438,-201.0
0.0073398496,8.130612,21.980299,-157.73056
0.008034015,13.96934,18.276983,-116.09292
0.0022984378,7.6835947,22.253073,-155.05984
0.0026499704,10.22306,20.933807,-141.49435
0.014319509,32.943264,30.116083,-7.8427405
0.0024175828,7.5982203,22.568356,-155.7615
0.0,0.0,16.62706,-201.0
0.0,0.0,27.877634,-201.0
0.0,0.0,31.766388,-196.2998
0.0025021997,19.95103,40.165165,-67.45991
0.00084094546,5.059296,34.92744,-166.10876
0.0,0.0,30.334404,-201.0
0.0,0.0,30.152714,-201.0
0.0,0.0,29.659966,-201.0
0.0,0.0,30.448822,-201.0
