jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.467102,-201.0
0.0,0.0,29.197891,-201.0
0.0,0.0,30.637646,-201.0
0.0,0.0,30.273815,-201.0
0.0,0.0,29.748425,-201.0
0.054307062,33.77689,8.085323,-7.651613
0.001052581,6.299709,7.2856674,-161.61777
0.01761623,31.311768,21.180529,-19.34891
0.0065006567,16.944962,32.884327,-96.13974
0.014137079,21.217882,20.613882,-72.85616
0.0018698705,5.7285986,10.467637,-162.83203
0.011566514,33.40021,26.92389,-4.4128585
0.020246183,31.142105,25.491562,-11.61423
0.0,0.0,7.4672265,-201.0
0.0,0.0,18.09247,-201.0
0.0069339694,5.8239307,28.271545,-157.82874
0.0,0.0,30.845366,-201.0
0.0,0.0,30.03453,-201.0
0.0,0.0,29.168419,-201.0
0.0,0.0,28.33711,-201.0
